speed_ratio_band,label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r
<=1.0,CURRENT_PRECALM_SHELF6_RR15,28,60.71428571428571,14.203289921520149,0.5072603543400053,1.4785647746173725,2.269227773252786,6.126079969013979,6,1.3153353268897547,0.6890412650558412,11.821428571428571,5,4.931994433991882
1.0-1.2,CURRENT_PRECALM_SHELF6_RR15,3,100.0,4.40279079946549,1.4675969331551633,1.4886008006031448,inf,0.0,0,1.8642803056077655,0.7254339196585827,17.0,0,0.0
>2.0,,0,0.0,0.0,0.0,,,0.0,0,,,,0,0.0
1.2-1.5,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.0196144197923238,-1.0196144197923238,-1.0196144197923238,0.0,0.0,1,1.400469573173196,1.3141661260868984,33.0,0,0.0
1.5-2.0,CURRENT_PRECALM_SHELF6_RR15,2,0.0,-2.0410515354764778,-1.0205257677382389,-1.0205257677382389,0.0,1.0124454062071175,2,0.6863055163439448,1.3996240208737554,13.5,0,0.0
