drop_atr_band,label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r
4-5,CURRENT_PRECALM_SHELF6_RR15,10,80.0,9.794078566214985,0.9794078566214985,1.4798407736152406,5.828717768695193,1.0193882681259,1,1.620824502179309,0.7650923475425329,12.8,2,2.983355882263962
3-4,CURRENT_PRECALM_SHELF6_RR15,13,53.84615384615385,4.356246511410316,0.33509588549310126,1.4788988803590435,1.7125429047198861,6.113662044144331,6,1.1021996429206635,0.6790482346263809,12.461538461538462,0,0.0
<=3,CURRENT_PRECALM_SHELF6_RR15,4,75.0,3.505369831553794,0.8763424578884484,1.4957527160867925,4.431312537319585,1.021582788926613,1,1.6883862583312437,0.5006280445316923,10.5,1,1.4782306688757012
>7,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.4886008006031448,1.4886008006031448,1.4886008006031448,inf,0.0,0,1.6232459941136546,0.4012518187696651,15.0,0,0.0
5-7,CURRENT_PRECALM_SHELF6_RR15,6,16.666666666666664,-3.5988809440654017,-0.599813490677567,-1.0162967484756704,0.2926199935626483,3.055026892817383,4,1.0469465447328614,1.1167594709848327,15.833333333333334,2,0.470407882852218
