symbol,entry_time,signal_time,v_start_time,v_low_time,context_time,drop_bars,recovery_bars_signal,drop_atr,drop_speed,recovery_speed_signal,speed_ratio_signal,shelf_bars,shelf_range_atr,shelf_hold_actual,breakout_atr,body_ratio,close_location,pre_adx14,pre_ema50_slope_20_atr,pre_close_ema50_stretch_atr,pre_range60_atr,signal_adx14,signal_ema50_slope_20_atr,signal_range60_atr,entry,stop,target,risk,risk_atr_entry,r_after_cost,mfe_r,mae_r,mfe_atr_trade,mae_atr_trade,bars_held,exit_time,exit_reason
EURJPY,2015-04-27 16:00:00,2015-04-27 12:00:00,2015-04-17 08:00:00,2015-04-21 04:00:00,2015-04-22 20:00:00,11,26,2.830295166243616,0.25729956056760145,0.17515069100809233,0.6807267397647739,6,1.7199346825172146,1.086614173228334,0.13681298610936682,0.6060606060605918,0.8636363636363636,24.089481337950854,-1.3092512021985263,0.522691873579266,9.219862310857852,17.23270088452804,1.0916656808025371,7.837429632834176,129.75,128.692088165768,131.386867751348,1.0579118342319873,2.067658244023871,1.5354471883068221,2.9303009000277442,0.37810334193906986,6.058860813412935,0.7817884920532945,11,2015-04-29 12:00:00,TP
EURJPY,2015-05-29 12:00:00,2015-05-29 08:00:00,2015-05-21 08:00:00,2015-05-26 00:00:00,2015-05-27 12:00:00,16,20,4.859537221193954,0.30372107632462214,0.32925045673298775,1.084055346824464,6,1.7139064871032748,0.9155555555555439,0.22551401146093866,0.7777777777777357,0.9555555555555345,25.95984924880627,-0.05991094351075224,-0.026734284195297484,6.665550095376889,25.248904309314625,0.7354594624569893,8.704840842392693,135.99,135.0291421431509,137.45628678527368,0.9608578568491168,2.16686909741817,1.5130092082932989,1.9773996605809443,0.9054408972133954,4.284766217758027,1.9619718997102882,11,2015-06-02 08:00:00,TP
AUDJPY,2015-11-19 00:00:00,2015-11-18 20:00:00,2015-11-12 00:00:00,2015-11-15 20:00:00,2015-11-17 08:00:00,12,18,3.4881995999723503,0.2906832999976958,0.20146514333030896,0.6930743642029175,6,1.6804321501137789,0.49602122015915734,0.06049555740409834,0.6028169014084401,0.6901408450704276,13.210225730251226,0.25842623426598826,2.9271368852631037,7.355057602203717,11.237778841618423,0.9344615077108703,5.222783122553632,87.897,87.30461437247465,88.78557844128804,0.5923856275253598,1.9909277075178813,1.4788988803590435,1.882219871973957,0.06583549327980937,3.7473636947537097,0.13107370770887972,9,2015-11-20 12:00:00,TP
AUDJPY,2016-03-04 08:00:00,2016-03-04 04:00:00,2016-02-22 16:00:00,2016-02-24 12:00:00,2016-02-26 00:00:00,11,41,4.214052906360846,0.38309571876007686,0.2137135544395704,0.5578594173050881,6,1.5141112606335654,1.4592132505176034,0.057136273986184864,0.4900849858357069,0.9575070821529722,18.904934757987384,-0.5214402175474684,0.6803798698791996,8.804226012538216,33.45832050999135,2.041343390801807,8.792864450229267,83.9,83.00648588573182,85.23777117140227,0.8935141142681857,1.8232881158335636,1.4832123524850125,1.9216260522154953,0.6211429580545217,3.5036779440806796,1.1325225736545153,26,2016-03-10 12:00:00,TP
GBPJPY,2016-08-24 12:00:00,2016-08-24 08:00:00,2016-08-18 08:00:00,2016-08-19 12:00:00,2016-08-22 04:00:00,7,18,3.1361634318045946,0.4480233474006564,0.2766963854262266,0.617593674596569,6,1.2561526170234631,0.8499999999999953,0.3526042433750665,0.7543859649122641,0.7719298245614201,19.83572669401971,-1.7407932411065126,0.39252627716779787,6.792271497845146,16.773381652699133,0.3386067898157485,7.691180058617456,132.57,131.73655837032155,133.8451624445177,0.8334416296784468,1.8367190951875323,1.5059992203677126,1.6317879399961341,0.2639656961758412,2.997136068687627,0.48483083464063814,15,2016-08-28 20:00:00,TP
AUDJPY,2016-10-03 20:00:00,2016-10-03 16:00:00,2016-09-23 00:00:00,2016-09-27 00:00:00,2016-09-27 20:00:00,13,29,3.4275761705450383,0.26365970542654144,0.1725465607644815,0.6544290129025988,6,1.492128967693287,1.0302768166090062,0.1523156224110418,0.6232558139534801,0.7534883720930399,16.370968755712497,-0.16779322622867426,0.8336006387849285,6.320469199051642,12.170975719313974,1.0080491317222655,5.630036709859762,77.955,77.28436825109398,78.96344762335903,0.6706317489060183,1.8916239304300333,1.4850886868742845,1.5850725852661207,0.0790299595664157,2.9983612337579935,0.14949496273674986,11,2016-10-05 16:00:00,TP
EURJPY,2016-10-04 00:00:00,2016-10-03 20:00:00,2016-09-23 16:00:00,2016-09-27 12:00:00,2016-09-28 20:00:00,12,27,3.6257471955113645,0.30214559962594706,0.17583553341913108,0.5819562940410634,6,1.1494091184555726,1.014598540145993,0.12493577374516554,0.8275862068965162,0.9310344827585869,21.318947870450007,-2.0054440565903353,-0.6626303553534814,10.122017231743254,13.593044819539307,0.672057071373425,5.672084128030828,114.12,113.5199485925825,115.04507711112625,0.6000514074175101,1.4993577374517288,1.520831548506462,2.0498243730377044,0.08332619402594259,3.0734200341312214,0.12493577374520105,3,2016-10-04 12:00:00,TP
USDJPY,2016-10-04 00:00:00,2016-10-03 20:00:00,2016-09-23 00:00:00,2016-09-27 00:00:00,2016-09-29 00:00:00,13,30,3.383226350794956,0.2602481808303812,0.17219523561220174,0.6616577878192023,6,1.3962573676212213,0.9482312338222588,0.525441461810939,0.8536585365853139,0.93031358885014,14.46774487600058,-1.4387154184106525,-1.0329003150976546,7.549133746554811,31.355782736366518,0.6246716760305506,7.967227558582879,101.835,101.09930930991507,102.93853603512738,0.7356906900849225,2.171698829432169,1.486407331049915,1.537330858257084,0.017670469635126685,3.3386196253268605,0.038374938222121305,4,2016-10-04 16:00:00,TP
GBPJPY,2016-11-08 20:00:00,2016-11-08 16:00:00,2016-11-01 08:00:00,2016-11-03 04:00:00,2016-11-03 16:00:00,11,22,4.310575908564978,0.3918705371422707,0.3449711933453481,0.880319290807271,6,1.4808519519214987,1.1214574898785479,0.4113477644226158,0.7065217391304197,0.836956521739122,15.257140732688434,0.8031803986223341,1.8400278804657582,6.84085400860003,39.47734101637452,2.071046270691898,7.897877076914649,130.16,129.12844834875867,131.73232747686197,1.0315516512413296,2.1216323281230145,-1.0193882681259,0.15510614500733796,2.743439939817347,0.3290782115381043,5.820570866580341,1,2016-11-09 00:00:00,SL
EURJPY,2017-03-03 12:00:00,2017-03-03 08:00:00,2017-02-22 16:00:00,2017-02-27 00:00:00,2017-02-27 16:00:00,15,26,4.367996769595496,0.29119978463969975,0.3051739634887621,1.0479882870323978,6,1.5869046101415334,1.1503267973856235,0.275983410459444,0.8979591836735031,0.9387755102041077,24.342528743535517,-1.5978902597915519,-1.8017941020489807,7.548304405997034,30.780151808466208,0.713295522084976,8.038016829630045,120.56,119.92753187604028,121.4587021859396,0.6324681239597254,2.1818838732158015,1.401180790569046,1.9921952621286978,0.8696090429926874,4.346738714735532,1.8973859469083711,25,2017-03-09 12:00:00,TP
