test_year,train_trades,train_win_rate,train_total_r_after_cost,train_avg_r_after_cost,train_median_r_after_cost,train_pf_after_cost,train_max_dd_r,train_max_losing_streak,train_avg_mfe_r,train_avg_mae_r,train_avg_bars_held,train_oos_trades,train_oos_total_r,test_trades,test_win_rate,test_total_r_after_cost,test_avg_r_after_cost,test_median_r_after_cost,test_pf_after_cost,test_max_dd_r,test_max_losing_streak,test_avg_mfe_r,test_avg_mae_r,test_avg_bars_held,test_oos_trades,test_oos_total_r
2015,0,0.0,0.0,0.0,,,0.0,0,,,,0,0.0,3,100.0,4.527355276959165,1.509118425653055,1.5130092082932989,inf,0.0,0,2.263306810860882,0.4497932441440915,10.333333333333334,0,0.0
2016,3,100.0,4.527355276959165,1.509118425653055,1.5130092082932989,inf,0.0,0,2.263306810860882,0.4497932441440915,10.333333333333334,0,0.0,6,83.33333333333334,6.462150871157487,1.0770251451929145,1.4857480089620998,7.339243910505134,1.0193882681259003,1,1.4801246589633126,0.6347625362125324,10.0,0,0.0
2017,9,88.88888888888889,10.989506148116652,1.221056238679628,1.486407331049915,11.780491096214368,1.0193882681258994,1,1.7411853762625025,0.5731061055230522,10.11111111111111,0,0.0,1,100.0,1.401180790569046,1.401180790569046,1.401180790569046,inf,0.0,0,1.9921952621286978,0.8696090429926874,25.0,0,0.0
2018,10,90.0,12.390686938685699,1.2390686938685698,1.4857480089620998,13.15502211092288,1.0193882681258994,1,1.7662863648491218,0.6027563992700157,11.6,0,0.0,1,0.0,-1.0242567422800846,-1.0242567422800846,-1.0242567422800846,0.0,0.0,1,0.4972632167421819,1.0163575015364605,5.0,0,0.0
2019,8,75.0,6.839074919446448,0.854884364930806,1.4841505196796485,4.3465082656834895,1.0242567422800848,1,1.4212758040813445,0.7118177202255428,11.25,0,0.0,2,0.0,-2.0470927485795176,-1.0235463742897588,-1.0235463742897588,0.0,1.027379342517465,2,0.32505079598156916,1.160672241908073,9.5,0,0.0
2020,4,25.0,-1.6701687002905563,-0.4175421750726391,-1.0219850741710685,0.4562101430459113,3.0713494908596024,3,0.7848900177085045,1.0518277570863237,12.25,0,0.0,2,0.0,-2.035342210028478,-1.017671105014239,-1.017671105014239,0.0,1.0142619341002372,2,0.14074358966981285,1.1884673951464981,10.0,0,0.0
2021,5,0.0,-5.10669170088808,-1.021338340177616,-1.021080275928241,0.0,4.082434958607995,5,0.28577039760898915,1.1429273551291206,8.8,0,0.0,4,50.0,0.9004081665814334,0.22510204164535835,0.2262725505526625,1.439605084029609,2.048220549061684,2,1.5657286488312747,0.8270759633829863,18.75,0,0.0
2022,8,25.0,-3.182026792026562,-0.39775334900332027,-1.019663912927188,0.48096467204106846,3.062721552545943,4,0.8993129208284829,1.0008228909551358,14.25,0,0.0,2,50.0,0.5043650369312371,0.25218251846561857,0.25218251846561857,1.4999109670075144,1.0089097263666467,1,1.425189104847271,0.627101014209034,18.0,0,0.0
2023,8,37.5,-0.6305690065158074,-0.07882112581447592,-1.0115858302334417,0.876176256559736,2.048220549061684,2,1.1743474980449082,0.8674300840303761,16.375,0,0.0,3,66.66666666666666,1.972803540906871,0.6576011803022903,1.4886008006031448,2.95561976204066,0.0,1,1.4839483055355462,0.5620507118219118,11.666666666666666,0,0.0
2024,9,55.55555555555556,3.3775767444195415,0.37528630493550463,1.4721595208976488,1.8307047641790886,2.5526423832798155,2,1.5072375246251424,0.6942953352684165,16.22222222222222,0,0.0,5,40.0,-0.048151650492201714,-0.009630330098440342,-1.0068063437556993,0.9841649883029192,1.021582788926613,2,0.8032020469590764,0.9756071060922169,17.0,0,0.0
2025,10,50.0,2.4290169273459066,0.24290169273459067,0.24089722842372274,1.4801822627649077,2.0340281951337302,2,1.1318233361096564,0.7818389694344886,15.6,0,0.0,4,100.0,5.950325996842985,1.4875814992107463,1.487716505957893,inf,0.0,0,1.9615947611725866,0.30783005718812523,7.25,4,5.950325996842985
2026,12,66.66666666666666,7.874977887257655,0.6562481572714712,1.4876471834078044,2.9446207657179997,2.0340281951337302,2,1.3595195163410307,0.6496256578899434,12.416666666666666,4,5.950325996842985,1,0.0,-1.0183315628511038,-1.0183315628511038,-1.0183315628511038,0.0,0.0,1,0.6760680379493417,1.4826568033986174,22.0,1,-1.0183315628511038
