label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r,family,shelf_bars,shelf_range,shelf_hold,breakout_buffer,body,close_location,adx_max,range60_max,ema_slope_mode,rr,stop_buffer,max_hold,entry_mode,target_basis,robust_min_trades
ENVGRID_ADX22_R12_none,30,60.0,14.595687050588877,0.4865229016862959,1.4781417671089288,2.1920400960959827,6.141119059907936,6,1.3533427668535558,0.7140925515485875,12.4,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,12.0,none,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R12_weak,27,55.55555555555556,10.124384899908694,0.3749772185151368,1.4764691947454684,1.8268656834837353,6.141119059907938,6,1.1453224201648662,0.7600749232898323,12.444444444444445,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,12.0,weak,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R12_standard,25,60.0,12.1880731837563,0.487522927350252,1.4782306688757012,2.1971856959692904,5.101823226733897,5,1.2063184882069913,0.7086999129546327,12.52,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,12.0,standard,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R12_strict,20,60.0,9.757883576604534,0.48789417883022673,1.477349931810585,2.198737285291615,3.061354682679755,3,1.2225207892265726,0.617782644680365,10.95,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,12.0,strict,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R14_none,33,63.63636363636363,18.83315311893138,0.5707016096645873,1.4780528653421565,2.5381169502928986,4.676197653753814,4,1.3855652173271635,0.6895106321116065,12.636363636363637,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,14.0,none,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R14_weak,28,57.14285714285714,11.609270441521582,0.41461680148291363,1.477349931810585,1.9481373370606287,6.141119059907938,6,1.1710836055450564,0.7491234528728304,12.392857142857142,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,14.0,weak,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R14_standard,25,60.0,12.1880731837563,0.487522927350252,1.4782306688757012,2.1971856959692904,5.101823226733897,5,1.2063184882069913,0.7086999129546327,12.52,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,14.0,standard,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R14_strict,20,60.0,9.757883576604534,0.48789417883022673,1.477349931810585,2.198737285291615,3.061354682679755,3,1.2225207892265726,0.617782644680365,10.95,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,14.0,strict,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R16_none,33,63.63636363636363,18.83315311893138,0.5707016096645873,1.4780528653421565,2.5381169502928986,4.676197653753814,4,1.3855652173271635,0.6895106321116065,12.636363636363637,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,16.0,none,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R16_weak,28,57.14285714285714,11.609270441521582,0.41461680148291363,1.477349931810585,1.9481373370606287,6.141119059907938,6,1.1710836055450564,0.7491234528728304,12.392857142857142,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,16.0,weak,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R16_standard,25,60.0,12.1880731837563,0.487522927350252,1.4782306688757012,2.1971856959692904,5.101823226733897,5,1.2063184882069913,0.7086999129546327,12.52,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,16.0,standard,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R16_strict,20,60.0,9.757883576604534,0.48789417883022673,1.477349931810585,2.198737285291615,3.061354682679755,3,1.2225207892265726,0.617782644680365,10.95,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,16.0,strict,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R18_none,33,63.63636363636363,18.83315311893138,0.5707016096645873,1.4780528653421565,2.5381169502928986,4.676197653753814,4,1.3855652173271635,0.6895106321116065,12.636363636363637,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,18.0,none,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R18_weak,28,57.14285714285714,11.609270441521582,0.41461680148291363,1.477349931810585,1.9481373370606287,6.141119059907938,6,1.1710836055450564,0.7491234528728304,12.392857142857142,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,18.0,weak,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R18_standard,25,60.0,12.1880731837563,0.487522927350252,1.4782306688757012,2.1971856959692904,5.101823226733897,5,1.2063184882069913,0.7086999129546327,12.52,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,18.0,standard,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R18_strict,20,60.0,9.757883576604534,0.48789417883022673,1.477349931810585,2.198737285291615,3.061354682679755,3,1.2225207892265726,0.617782644680365,10.95,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,18.0,strict,1.5,0.25,120,next_open,signal,True
ENVGRID_ADX22_R20_none,34,64.70588235294117,20.319334164431616,0.5976274754244593,1.4781417671089288,2.6594944085895706,4.676197653753814,4,1.3895216813755877,0.6795138355449095,12.764705882352942,4,3.4432549882885595,environment,6,1.8,0.5,0.05,0.4,0.6,22.0,20.0,none,1.5,0.25,120,next_open,signal,True
