adx_band,label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r
18-22,CURRENT_PRECALM_SHELF6_RR15,12,66.66666666666666,7.885532340472327,0.6571276950393606,1.4807215106803568,2.9385673235604997,2.0484596184457065,2,1.2642342695571254,0.5847072541490957,11.583333333333334,2,2.974892984927199
<=18,CURRENT_PRECALM_SHELF6_RR15,13,53.84615384615385,4.302540843283975,0.33096468025261344,1.4764691947454684,1.70384698043445,3.05336360828819,3,1.1528577669607136,0.8231546749289745,13.384615384615385,2,0.46836200336136025
22-26,CURRENT_PRECALM_SHELF6_RR15,9,55.55555555555556,3.3573415819605366,0.37303795355117075,1.401180790569046,1.8247862750746973,4.0705594690654605,4,1.670816496713637,0.8739303916119879,14.333333333333334,1,1.4887394457033218
26-30,,0,0.0,0.0,0.0,,,0.0,0,,,,0,0.0
>30,,0,0.0,0.0,0.0,,,0.0,0,,,,0,0.0
