feature,bucket,label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r
shelf_range_atr,"(1.125, 1.301]",CURRENT_PRECALM_SHELF6_RR15,9,66.66666666666666,5.938602795222334,0.6598447550247037,1.4895244181535077,2.9537680757568006,1.0183315628511043,1,1.3674088000452231,0.5414879640423498,8.222222222222221,2,0.4783307532003942
shelf_range_atr,"(1.301, 1.454]",CURRENT_PRECALM_SHELF6_RR15,8,62.5,4.37329498344713,0.5466618729308913,1.4814382628976919,2.4253743020730587,3.0681730245077588,3,1.3045063920478495,0.7017842078110745,16.375,2,2.975433011915786
shelf_range_atr,"(1.454, 1.585]",CURRENT_PRECALM_SHELF6_RR15,8,50.0,1.845940902723946,0.23074261284049324,0.22942120037490055,1.4514195177266527,3.067608817187584,3,1.2713029866381649,1.0560932891639845,16.125,1,1.4782306688757012
shelf_range_atr,"(1.585, 1.726]",CURRENT_PRECALM_SHELF6_RR15,9,55.55555555555556,3.3875760843234266,0.37639734270260294,1.401180790569046,1.835564859002226,2.5409599832047842,2,1.3646840495224881,0.7384955217991214,12.0,0,0.0
shelf_hold_actual,"(0.495, 0.757]",CURRENT_PRECALM_SHELF6_RR15,9,66.66666666666666,5.8594663859956775,0.6510518206661864,1.4788988803590435,2.910670326279164,2.0470927485795176,2,1.378729025876644,0.6738349952606016,16.88888888888889,2,2.983355882263962
shelf_hold_actual,"(0.757, 0.936]",CURRENT_PRECALM_SHELF6_RR15,8,62.5,4.425294381813547,0.5531617977266934,1.4834850572895115,2.4491706419708814,2.035342210028478,2,1.3718085530243003,0.664300263057914,10.25,3,1.9486385517279192
shelf_hold_actual,"(0.936, 1.129]",CURRENT_PRECALM_SHELF6_RR15,8,62.5,4.482194834642746,0.5602743543303432,1.4857480089620998,2.4767844314801084,2.028297994492547,2,1.3956198382505876,0.7581541400839369,7.875,0,0.0
shelf_hold_actual,"(1.129, 1.782]",CURRENT_PRECALM_SHELF6_RR15,9,44.44444444444444,0.7784591632648667,0.0864954625849852,-1.0087868711493688,1.1527685173125335,3.042815066283099,3,1.1830358125009575,0.9043023517659433,16.11111111111111,0,0.0
breakout_atr,"(0.0561, 0.138]",CURRENT_PRECALM_SHELF6_RR15,9,55.55555555555556,3.4163314864317798,0.37959238738130885,1.4721595208976488,1.83852446849294,3.0499612618431247,3,1.4901036908295935,0.6991851476309557,12.11111111111111,0,0.0
breakout_atr,"(0.138, 0.209]",CURRENT_PRECALM_SHELF6_RR15,8,62.5,4.417125851527437,0.5521407314409297,1.4807789408098766,2.4559114596091773,1.0183315628511034,1,1.2497869995590123,0.6865326661786204,12.5,2,0.46836200336136025
breakout_atr,"(0.209, 0.359]",CURRENT_PRECALM_SHELF6_RR15,8,75.0,6.839915411385375,0.8549894264231719,1.483415734739423,4.359743173937124,1.021582788926613,1,1.511297499754954,0.644033949460492,12.75,2,2.966970114579023
breakout_atr,"(0.359, 0.525]",CURRENT_PRECALM_SHELF6_RR15,9,44.44444444444444,0.8720420163722458,0.09689355737469398,-1.0193882681259,1.170748387264321,5.107175712425983,5,1.077300162624382,0.9606302327313568,14.555555555555555,1,1.496662316051498
body_ratio,"(0.489, 0.589]",CURRENT_PRECALM_SHELF6_RR15,9,66.66666666666666,5.851209118947555,0.6501343465497283,1.4764691947454684,2.9149395533483933,2.0339753401622893,2,1.3976789239003184,0.5518064849319683,10.777777777777779,2,2.9854017617548196
body_ratio,"(0.589, 0.635]",CURRENT_PRECALM_SHELF6_RR15,8,62.5,4.421748588393356,0.5527185735491695,1.4819937836166641,2.446259214934577,3.0573693448123533,3,1.451483843451068,0.660217376915222,11.375,1,1.486693566212464
body_ratio,"(0.635, 0.759]",CURRENT_PRECALM_SHELF6_RR15,8,37.5,-0.5594867212421155,-0.06993584015526444,-1.007796607452534,0.8899064109524245,2.5503128490024447,2,1.0279508226102132,1.1778590412387182,18.5,1,-1.0183315628511038
body_ratio,"(0.759, 0.952]",CURRENT_PRECALM_SHELF6_RR15,9,66.66666666666666,5.831943779618043,0.6479937532908937,1.4782306688757012,2.908160901964741,2.0438711620724086,2,1.4200803368893775,0.6568890709727195,11.777777777777779,1,1.4782306688757012
close_location,"(0.623, 0.76]",CURRENT_PRECALM_SHELF6_RR15,9,66.66666666666666,5.83306579204264,0.6481184213380711,1.4764691947454684,2.908870334707308,1.0273793425174653,1,1.2171123479727821,0.619985617806643,9.222222222222221,1,1.486693566212464
close_location,"(0.76, 0.841]",CURRENT_PRECALM_SHELF6_RR15,8,37.5,-0.608918419500424,-0.076114802437553,-1.0115858302334417,0.8801786956101973,5.08188775444716,5,1.152274032404038,0.9856766186687425,13.5,2,2.966970114579023
close_location,"(0.841, 0.954]",CURRENT_PRECALM_SHELF6_RR15,8,62.5,4.383356747616536,0.547919593452067,1.4437940608094806,2.43075421888511,2.0453370182083255,2,1.4662446322113922,0.7498801289899499,17.375,1,-1.0183315628511038
close_location,"(0.954, 1.0]",CURRENT_PRECALM_SHELF6_RR15,9,66.66666666666666,5.937910645558086,0.659767849506454,1.4886008006031448,2.946959102048763,1.0286061292693602,1,1.477016691879893,0.6798385340938206,12.444444444444445,1,1.496662316051498
pre_adx14,"(12.999, 14.665]",CURRENT_PRECALM_SHELF6_RR15,9,55.55555555555556,3.3698224128590586,0.3744247125398954,1.4764691947454684,1.8275755216549998,2.0339753401622893,2,1.2410693741206456,0.6786752140464105,14.555555555555555,2,0.46836200336136025
pre_adx14,"(14.665, 19.207]",CURRENT_PRECALM_SHELF6_RR15,8,62.5,4.338941630165813,0.5423677037707266,1.475195094886675,2.4140958707890423,2.046767610643365,2,1.1509693802887233,0.8569677969388761,10.25,1,1.4782306688757012
pre_adx14,"(19.207, 22.014]",CURRENT_PRECALM_SHELF6_RR15,8,62.5,4.47930914073143,0.5599136425914287,1.4948259637522965,2.473296042204022,2.019251749962817,2,1.2225728494723982,0.5942098152421393,12.5,1,1.496662316051498
pre_adx14,"(22.014, 25.96]",CURRENT_PRECALM_SHELF6_RR15,9,55.55555555555556,3.3573415819605366,0.37303795355117075,1.401180790569046,1.8247862750746973,4.0705594690654605,4,1.670816496713637,0.8739303916119879,14.333333333333334,1,1.4887394457033218
pre_ema50_slope_20_atr,"(-2.006, -0.792]",CURRENT_PRECALM_SHELF6_RR15,9,66.66666666666666,5.87956438306075,0.6532849314511944,1.486407331049915,2.9233148497937376,3.0569952619516734,3,1.5168623275193673,0.7412254298205178,12.555555555555555,1,1.486693566212464
pre_ema50_slope_20_atr,"(-0.792, -0.0997]",CURRENT_PRECALM_SHELF6_RR15,8,87.5,9.403105820085113,1.175388227510639,1.4841505196796485,10.270885068191692,1.014261934100237,1,1.6354094896353917,0.2833072144051491,9.0,3,4.463632430630521
