symbol,direction,kind_sequence,p0_time,p1_time,p2_time,p3_time,p4_time,p0_price,p1_price,p2_price,p3_price,p4_price,wave1,wave3,wave2_retrace,wave4_retrace,structure_ok,no_overlap,trend_ok,pre_break_range_atr,signal_time,entry_time,entry_price,sl_price,risk_price,mfe_24,mae_24,wave5_ext_wave1_24,mfe_48,mae_48,wave5_ext_wave1_48,mfe_120,mae_120,wave5_ext_wave1_120,tp1_hit_120,tp2_hit_120,tp3_hit_120,exit_time,exit_price,outcome_2r,r_result_2r,exit_reason,wave3_vs_wave1,entry_over_wave3,period,timeframe,method,variant
XAUUSD,long,LHLHL,2017-02-01 16:00,2017-02-02 14:00,2017-02-03 14:00,2017-02-06 21:00,2017-02-07 14:00,1198.148,1225.288,1206.351,1235.599,1227.691,27.1400000000001,29.24799999999982,0.6977523949889399,0.2703774617067817,1,1,1,4.084078079071244,2017-02-08 08:00,2017-02-08 09:00:00,1236.972,1227.0386495922903,9.93335040770944,0.7787906076479557,0.2147311745234096,0.627008106116433,0.7787906076479557,1.5486214991530989,0.627008106116433,0.7787906076479557,1.7792586866041582,0.627008106116433,0,0,0,2017-02-09 21:00,1227.0386495922903,-1,-1.0,SL,1.0776713338246025,0.0469433807439844,Research_2015_2024,H1,W5_CLASSIC,W3_CAP_1_2
XAUUSD,long,LHLHL,2018-08-16 01:00,2018-08-16 09:00,2018-08-17 01:00,2018-08-21 07:00,2018-08-21 16:00,1160.168,1181.992,1171.838,1196.319,1187.638,21.82400000000007,24.480999999999995,0.4652675953079162,0.3546015277153728,1,1,1,4.588349019588088,2018-08-22 08:00,2018-08-22 09:00:00,1196.469,1187.1339515960692,9.33504840393084,0.5451498245962008,1.0786232233953992,0.6378299120234617,0.5451498245962008,1.4302014753751269,0.6378299120234617,1.9035787744300623,1.4302014753751269,1.2188874633431095,0,0,0,2018-08-23 07:00,1187.1339515960692,-1,-1.0,SL,1.1217467008797617,0.0061272006862501,Research_2015_2024,H1,W5_CLASSIC,W3_CAP_1_2
XAUUSD,short,HLHLH,2023-02-14 14:00,2023-02-14 15:00,2023-02-15 03:00,2023-02-15 16:00,2023-02-16 09:00,1870.467,1843.165,1859.998,1830.475,1844.705,27.302000000000135,29.52300000000014,0.6165482382243059,0.4819970870169004,1,0,1,3.1232081613032463,2023-02-16 14:00,2023-02-16 15:00:00,1828.735,1846.0617779607207,17.326777960720847,0.5731013592088946,0.947839236886992,0.9486484506629456,0.5731013592088946,1.0775228979285276,0.9486484506629456,0.6544782893684719,1.0775228979285276,1.0002930188264527,0,0,0,2023-02-20 07:00,1846.0617779607207,-1,-1.0,SL,1.081349351695846,0.0589370998882227,Research_2015_2024,H1,W5_CLASSIC,W3_CAP_1_2
XAUUSD,long,LHLHL,2024-02-14 16:00,2024-02-15 15:00,2024-02-16 14:00,2024-02-19 08:00,2024-02-19 17:00,1984.088,2008.175,1994.985,2022.895,2013.185,24.08699999999999,27.91000000000008,0.5475982895337759,0.3479039770691511,1,1,1,4.574962222973412,2024-02-20 09:00,2024-02-20 10:00:00,2023.985,2012.534721406428,11.450278593571966,0.7170131218125139,0.100434237525492,0.7892224021256279,0.9364837643356496,0.355449866720691,0.8935525387138352,1.5108802688619447,0.7012929802867773,1.1666043924108502,1,0,0,2024-02-27 15:00,2033.685,0,0.8471409599977329,not_reached_120,1.1587163200066466,0.0390541024722291,Research_2015_2024,H1,W5_CLASSIC,W3_CAP_1_2
XAUUSD,short,HLHLH,2017-02-27 20:00,2017-03-01 16:00,2017-03-01 20:00,2017-03-03 20:00,2017-03-06 00:00,1263.831,1236.849,1250.599,1222.808,1236.868,26.98199999999997,27.79099999999994,0.5095989919205401,0.5059191824691438,1,0,1,4.190226341095458,2017-03-07 12:00,2017-03-07 16:00:00,1220.141,1238.0916212516051,17.95062125160507,1.4090320131810772,0.0321437342982435,1.55733451930917,1.4090320131810772,0.7552384850628947,1.55733451930917,1.4090320131810772,2.2768571308553094,1.55733451930917,1,0,0,2017-03-21 12:00,1238.0916212516051,-1,-1.0,SL,1.0299829515973602,0.0959663200316621,Research_2015_2024,H4,W5_CLASSIC,W3_CAP_1_2
XAUUSD,short,HLHLH,2018-07-09 12:00,2018-07-10 12:00,2018-07-11 00:00,2018-07-13 16:00,2018-07-16 08:00,1265.868,1247.299,1256.849,1236.338,1245.528,18.56899999999996,20.510999999999967,0.5142980235876986,0.44805226463849,1,1,1,4.359433806441876,2018-07-17 12:00,2018-07-17 16:00:00,1227.489,1246.6468379538628,19.15783795386278,0.834123351418054,0.3963390868158535,1.832031881092147,0.834123351418054,0.3988967867044309,1.832031881092147,1.8723407143532955,0.3988967867044309,2.9031719532554376,1,0,0,2018-08-14 00:00,1195.069,0,1.692257763014602,not_reached_120,1.1045829069955309,0.4314270391497219,Research_2015_2024,H4,W5_CLASSIC,W3_CAP_1_2
XAUUSD,short,HLHLH,2021-02-10 16:00,2021-02-19 04:00,2021-02-23 04:00,2021-02-26 20:00,2021-03-01 08:00,1855.232,1760.44,1815.875,1717.09,1759.715,94.79199999999992,98.78500000000008,0.5848067347455481,0.4314926355215869,1,1,1,3.717403409675134,2021-03-02 00:00,2021-03-02 04:00:00,1713.216,1763.2557106922382,50.03971069223826,0.521146098553383,0.5441678143879378,0.7656447801502243,0.7298203665606855,0.5441678143879378,0.8758017554223994,0.7298203665606855,0.8431703424405385,0.8758017554223994,0,0,0,2021-03-29 12:00,1711.628,0,0.0317347957858254,not_reached_120,1.0421238079162816,0.0392164802348536,Research_2015_2024,H4,W5_CLASSIC,W3_CAP_1_2
XAUUSD,long,LHLHL,2022-02-03 16:00,2022-02-10 20:00,2022-02-11 08:00,2022-02-15 08:00,2022-02-15 16:00,1788.538,1841.838,1820.838,1879.378,1844.398,53.299999999999955,58.53999999999997,0.3939962476547846,0.5975401434916303,1,1,1,5.324002282393502,2022-02-17 08:00,2022-02-17 12:00:00,1883.528,1842.107429982716,41.42057001728381,0.7362284002193852,0.0202797788550328,1.306285178236399,2.1938375054250105,0.1349570997614795,2.4390243902439046,4.51056081367399,0.1349570997614795,4.239399624765487,1,1,1,2022-02-24 08:00,1966.3691400345676,1,2.0,TP2,1.0983114446529083,0.0708916979842858,Research_2015_2024,H4,W5_CLASSIC,W3_CAP_1_2
XAUUSD,long,LHLHL,2022-02-11 08:00,2022-02-15 08:00,2022-02-15 16:00,2022-02-21 04:00,2022-02-21 08:00,1820.838,1879.378,1844.398,1908.158,1887.453,58.53999999999997,63.75999999999999,0.5975401434916303,0.324733375156837,1,1,1,2.938019484855745,2022-02-21 20:00,2022-02-22 00:00:00,1909.418,1885.192123231061,24.22587676893886,2.682255863008184,1.2994369739534788,1.485223778612914,2.682255863008184,1.2994369739534788,1.485223778612914,6.643309612073526,1.2994369739534788,3.1244448240519356,1,1,0,2022-02-24 08:00,1957.8697535378776,1,2.0,TP2,1.0891697984284254,0.0197616060225845,Research_2015_2024,H4,W5_CLASSIC,W3_CAP_1_2
XAUUSD,long,LHLHL,2022-02-24 20:00,2022-02-28 00:00,2022-02-28 20:00,2022-03-02 00:00,2022-03-02 12:00,1877.938,1930.948,1890.768,1950.078,1913.738,53.00999999999999,59.309999999999945,0.7579701943029631,0.6127128646096771,1,0,1,3.182780820705548,2022-03-04 12:00,2022-03-04 16:00:00,1957.888,1910.1620390271432,47.72596097285668,2.356579054824389,0.0278674325857229,2.9545368798339964,2.356579054824389,1.0673436209900744,2.9545368798339964,2.356579054824389,1.422496239281827,2.9545368798339964,1,1,0,2022-03-08 12:00,2053.3399219457133,1,2.0,TP2,1.1188455008488956,0.1316809981453372,Research_2015_2024,H4,W5_CLASSIC,W3_CAP_1_2
