variant,OOS_2025_2026_events,Research_2015_2024_events,OOS_2025_2026_win_rate_2r,Research_2015_2024_win_rate_2r,OOS_2025_2026_pf_2r,Research_2015_2024_pf_2r,OOS_2025_2026_avg_r_2r,Research_2015_2024_avg_r_2r,OOS_2025_2026_total_r_2r,Research_2015_2024_total_r_2r,OOS_2025_2026_max_dd_r,Research_2015_2024_max_dd_r,OOS_2025_2026_avg_mfe_120,Research_2015_2024_avg_mfe_120,OOS_2025_2026_avg_mae_120,Research_2015_2024_avg_mae_120
BASE_W5_CLASSIC,75.0,531.0,12.0,25.423728813559322,0.4760723619294912,1.166098726563915,-0.36993241411451405,0.08941905047863496,-27.744931058588552,47.481515804155165,30.3709077917336,17.19790183493543,1.6679785719204452,1.6959231265399488,1.631869898187266,1.4949049876626346
EARLY_BREAK_005,26.0,217.0,19.230769230769234,26.72811059907834,0.7894834632529705,1.1642590028223252,-0.13378746303125186,0.09206611124365983,-3.478474038812548,19.978346139874184,10.770230394192456,19.16952558150055,1.9921993481315698,1.7453383169497718,1.363727174231792,1.6065860453331402
H1_STRONG_SYMBOLS,26.0,205.0,3.8461538461538463,33.65853658536586,0.2591824615517986,1.8749588953249259,-0.5731038552595928,0.37451460832240263,-14.900700236749415,76.77549470609254,16.900700236749415,6.75412704704442,1.0185937452126725,1.832225255839137,1.7077130059476329,1.206748665345287
H4_XAU_EUR_USD_W2_MOD_PREATR3,6.0,25.0,66.66666666666666,28.000000000000004,8.213591466325555,1.5636956790025993,1.2022652443875925,0.278096856553086,7.213591466325555,6.9524214138271505,0.0,4.0,2.7821375426291195,1.8722532126035614,1.691729389678336,1.7466892872348874
LONG_ONLY,49.0,292.0,14.285714285714285,29.45205479452055,0.6618738599199525,1.3866362628424298,-0.2146114890286295,0.19686244098287942,-10.515962962402845,57.48383276700079,15.29784927946971,16.8025223052199,1.953426948900135,1.7982594553621398,1.7098786939508563,1.4665676635841636
LONG_W3_CAP_1_2,11.0,76.0,36.36363636363637,38.15789473684211,1.1428571428571428,1.767301790219602,0.09090909090909091,0.3753542256260869,1.0,28.526921147582605,6.0,5.6189241774860825,2.5401211948228224,2.1560106173740974,2.0941328092604574,1.5092978636237782
LONG_W3_CAP_W2_MOD,8.0,46.0,37.5,39.130434782608695,1.2,1.966916720767064,0.125,0.4484778418853076,1.0,20.62998072672415,5.0,5.771783217488348,3.0866896430871114,2.2941591886271966,1.740622516457389,1.4436653367998356
LONG_W3_CAP_W2_MOD_EARLY,4.0,21.0,25.0,47.61904761904761,0.6666666666666666,2.499450058180232,-0.25,0.6224085890503291,-1.0,13.070580370056911,2.0,4.0,1.3599395096482376,2.759891327123749,1.3593644754115008,1.4964820088525228
W2_MODERATE_0618,31.0,245.0,22.58064516129032,26.122448979591837,0.7786522537719345,1.235454816219359,-0.14994524744481857,0.12287704499422901,-4.648302670789376,30.104876023586108,12.813564744450419,11.348683415754566,2.4451239744609543,1.6990118560609249,1.5172373281020852,1.4008051025338446
W2_SHALLOW_0382,3.0,28.0,33.33333333333333,32.142857142857146,1.0,2.022087166774005,0.0,0.43803735718885906,0.0,12.265046001288054,1.0,3.0,1.2472878585150136,1.8781886346965144,2.0416791089398334,1.4105398960549542
W3_CAP_1_2,14.0,135.0,28.57142857142857,31.851851851851855,0.9584418592383381,1.3307245887773511,-0.02671594763249693,0.1841725084913872,-0.374023266854957,24.86328864633727,8.0,7.256648962629956,2.244406387168774,1.908291590347636,1.975302262860393,1.693175355515296
W3_CAP_1_3,27.0,178.0,22.22222222222222,29.775280898876407,0.7265415814865397,1.1954965373885662,-0.18230561234230683,0.11220196158790266,-4.922251533242284,19.971949162646673,8.548228266387326,14.004780096901188,1.7947186173263547,1.7862124231527172,1.9023070443876782,1.6771641676170224
XAU_W3_CAP_1_3,5.0,25.0,60.0,28.000000000000004,6.213591466325555,1.2552617098862433,1.0427182932651111,0.14294655753629623,5.213591466325555,3.573663938407406,1.0,5.152859040002268,4.678406393706884,2.21723602429944,1.3838848925500007,1.5929955228454855
