variant,period,events,win_rate_2r,sl_rate,pf_2r,avg_r_2r,total_r_2r,max_dd_r,max_losing_streak,avg_mfe_120,avg_mae_120,median_wave3_vs_wave1,median_wave2_retrace,median_entry_over_wave3
BASE_W5_CLASSIC,Research_2015_2024,531,25.423728813559322,51.60075329566855,1.166098726563915,0.08941905047863496,47.481515804155165,17.19790183493543,11,1.6959231265399488,1.4949049876626346,1.4866666666666692,0.6330318226554843,0.0629539951573642
BASE_W5_CLASSIC,OOS_2025_2026,75,12.0,68.0,0.4760723619294912,-0.36993241411451405,-27.744931058588552,30.3709077917336,10,1.6679785719204452,1.631869898187266,1.4378593542680278,0.6584615384615357,0.0702504581551674
LONG_ONLY,Research_2015_2024,292,29.45205479452055,48.63013698630137,1.3866362628424298,0.19686244098287942,57.48383276700079,16.8025223052199,9,1.7982594553621398,1.4665676635841636,1.4866666666666692,0.6147155466786987,0.06183782712424865
LONG_ONLY,OOS_2025_2026,49,14.285714285714285,61.224489795918366,0.6618738599199525,-0.2146114890286295,-10.515962962402845,15.29784927946971,7,1.953426948900135,1.7098786939508563,1.4500768049155237,0.6584615384615357,0.0664702030124343
W3_CAP_1_2,Research_2015_2024,135,31.851851851851855,54.074074074074076,1.3307245887773511,0.1841725084913872,24.86328864633727,7.256648962629956,6,1.908291590347636,1.693175355515296,1.0922939068100372,0.5774550484094018,0.0752212389380507
W3_CAP_1_2,OOS_2025_2026,14,28.57142857142857,64.28571428571429,0.9584418592383381,-0.02671594763249693,-0.374023266854957,8.0,8,2.244406387168774,1.975302262860393,1.079674061837785,0.5460801805087931,0.049313710746649
W3_CAP_1_3,Research_2015_2024,178,29.775280898876407,55.0561797752809,1.1954965373885662,0.11220196158790266,19.971949162646673,14.004780096901188,8,1.7862124231527172,1.6771641676170224,1.1201023620749333,0.5792680647452424,0.06992860761283365
W3_CAP_1_3,OOS_2025_2026,27,22.22222222222222,66.66666666666666,0.7265415814865397,-0.18230561234230683,-4.922251533242284,8.548228266387326,4,1.7947186173263547,1.9023070443876782,1.199552405818722,0.5765582655826555,0.0584560464078533
W2_SHALLOW_0382,Research_2015_2024,28,32.142857142857146,42.857142857142854,2.022087166774005,0.43803735718885906,12.265046001288054,3.0,3,1.8781886346965144,1.4105398960549542,1.1931733089275371,0.3412189038680705,0.0388777485277294
W2_SHALLOW_0382,OOS_2025_2026,3,33.33333333333333,66.66666666666666,1.0,0.0,0.0,1.0,1,1.2472878585150136,2.0416791089398334,1.0341221794166116,0.3610851262862572,0.0484300159659439
W2_MODERATE_0618,Research_2015_2024,245,26.122448979591837,49.795918367346935,1.235454816219359,0.12287704499422901,30.104876023586108,11.348683415754566,9,1.6990118560609249,1.4008051025338446,1.355704697986669,0.5238095238095356,0.0595238095238059
W2_MODERATE_0618,OOS_2025_2026,31,22.58064516129032,67.74193548387096,0.7786522537719345,-0.14994524744481857,-4.648302670789376,12.813564744450419,11,2.4451239744609543,1.5172373281020852,1.298102981029809,0.4930648876943754,0.0501974055273541
EARLY_BREAK_005,Research_2015_2024,217,26.72811059907834,53.91705069124424,1.1642590028223252,0.09206611124365983,19.978346139874184,19.16952558150055,9,1.7453383169497718,1.6065860453331402,1.49138920780712,0.6188895037815901,0.026046511627899
