sample,nwave_spec,rule,base_trades,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,coverage_pct,symbols,periods,base_win_rate,base_total_r,base_avg_r,base_pf,base_max_dd_r,delta_win_rate,delta_total_r,delta_avg_r,delta_pf
practical_core4,P3_N3_A45_B45_ATR0.5_NOOV,latest_low_age_49_240,26,9,77.77777777777779,11.72732434105892,1.3030360378954355,6.7360697200065225,1.023594866471269,1,34.61538461538461,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,35.47008547008548,5.565544707602156,1.0660445135317138,5.338015881568668
practical_core4,P3_N3_A45_B45_ATR0_NOOV,latest_low_age_49_240,26,9,77.77777777777779,11.72732434105892,1.3030360378954355,6.7360697200065225,1.023594866471269,1,34.61538461538461,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,35.47008547008548,5.565544707602156,1.0660445135317138,5.338015881568668
practical_core4,P3_N3_A45_B45_ATR0.5_NOOV,latest_low_age_49_480,26,10,70.0,10.716880778908694,1.0716880778908693,4.508059476267892,2.031336457073458,2,38.46153846153847,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,27.692307692307693,4.55510114545193,0.8346965535271476,3.110005637830038
practical_core4,P3_N3_A45_B45_ATR0_NOOV,latest_low_age_49_480,26,10,70.0,10.716880778908694,1.0716880778908693,4.508059476267892,2.031336457073458,2,38.46153846153847,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,27.692307692307693,4.55510114545193,0.8346965535271476,3.110005637830038
practical_core4,P3_N3_A45_B45_ATR0.5_OV,latest_low_age_49_480,26,10,70.0,10.71601832523462,1.071601832523462,4.50777716102649,2.031336457073458,2,38.46153846153847,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,27.692307692307693,4.554238691777856,0.8346103081597402,3.1097233225886356
practical_core4,P3_N3_A45_B45_ATR0_OV,latest_low_age_49_480,26,10,70.0,10.71601832523462,1.071601832523462,4.50777716102649,2.031336457073458,2,38.46153846153847,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,27.692307692307693,4.554238691777856,0.8346103081597402,3.1097233225886356
practical_core4,P3_N3_A45_B45_ATR0.5_NOOV,latest_low_age_25_240,26,10,70.0,10.687672893593147,1.0687672893593148,4.465366564158016,1.0396514474657725,1,38.46153846153847,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,27.692307692307693,4.5258932601363835,0.831775764995593,3.0673127257201616
practical_core4,P3_N3_A45_B45_ATR0_NOOV,latest_low_age_25_240,26,10,70.0,10.687672893593147,1.0687672893593148,4.465366564158016,1.0396514474657725,1,38.46153846153847,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,27.692307692307693,4.5258932601363835,0.831775764995593,3.0673127257201616
practical_core4,P3_N3_A45_B45_ATR0.5_NOOV,latest_low_age_le_240,26,13,61.53846153846154,10.558544867913234,0.8121957590702488,3.034204278176419,1.0677291762383996,1,50.0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,19.230769230769234,4.3967652344564705,0.5752042347065272,1.636150439738565
practical_core4,P3_N3_A45_B45_ATR0_NOOV,latest_low_age_le_240,26,13,61.53846153846154,10.558544867913234,0.8121957590702488,3.034204278176419,1.0677291762383996,1,50.0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,19.230769230769234,4.3967652344564705,0.5752042347065272,1.636150439738565
practical_core4,P3_N3_A45_B45_ATR0.5_OV,latest_low_age_49_240,26,8,75.0,9.742950866775388,1.2178688583469235,5.765472824415407,1.023594866471269,1,30.76923076923077,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,32.69230769230769,3.5811712333186243,0.9808773339832018,4.367418985977553
practical_core4,P3_N3_A45_B45_ATR0_OV,latest_low_age_49_240,26,8,75.0,9.742950866775388,1.2178688583469235,5.765472824415407,1.023594866471269,1,30.76923076923077,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,32.69230769230769,3.5811712333186243,0.9808773339832018,4.367418985977553
practical_core4,P3_N3_A45_B45_ATR0.5_NOOV,latest_low_age_25_480,26,11,63.63636363636363,9.677229331442922,0.8797481210402656,3.363422568950703,2.031336457073458,2,42.30769230769231,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,21.328671328671327,3.515449697986158,0.6427565966765438,1.9653687305128489
practical_core4,P3_N3_A45_B45_ATR0_NOOV,latest_low_age_25_480,26,11,63.63636363636363,9.677229331442922,0.8797481210402656,3.363422568950703,2.031336457073458,2,42.30769230769231,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,21.328671328671327,3.515449697986158,0.6427565966765438,1.9653687305128489
practical_core4,P3_N3_A45_B45_ATR0.5_OV,latest_low_age_25_480,26,11,63.63636363636363,9.676366877768848,0.8796697161608044,3.363211936092044,2.031336457073458,2,42.30769230769231,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,21.328671328671327,3.514587244312084,0.6426781917970827,1.96515809765419
practical_core4,P3_N3_A45_B45_ATR0_OV,latest_low_age_25_480,26,11,63.63636363636363,9.676366877768848,0.8796697161608044,3.363211936092044,2.031336457073458,2,42.30769230769231,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,21.328671328671327,3.514587244312084,0.6426781917970827,1.96515809765419
practical_core4,P3_N3_A45_B45_ATR0.5_NOOV,latest_low_age_le_480,26,14,57.14285714285714,9.548101305763009,0.6820072361259292,2.539781081059166,2.031336457073458,2,53.84615384615385,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,14.835164835164832,3.386321672306245,0.4450157117622075,1.141727242621312
practical_core4,P3_N3_A45_B45_ATR0_NOOV,latest_low_age_le_480,26,14,57.14285714285714,9.548101305763009,0.6820072361259292,2.539781081059166,2.031336457073458,2,53.84615384615385,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,14.835164835164832,3.386321672306245,0.4450157117622075,1.141727242621312
practical_core4,P3_N3_A45_B45_ATR0.5_OV,latest_low_age_le_480,26,14,57.14285714285714,9.547238852088936,0.6819456322920668,2.539641996878123,2.031336457073458,2,53.84615384615385,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,14.835164835164832,3.385459218632173,0.44495410792834517,1.1415881584402692
practical_core4,P3_N3_A45_B45_ATR0_OV,latest_low_age_le_480,26,14,57.14285714285714,9.547238852088936,0.6819456322920668,2.539641996878123,2.031336457073458,2,53.84615384615385,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,14.835164835164832,3.385459218632173,0.44495410792834517,1.1415881584402692
practical_core4,P3_N3_A45_B45_ATR0.5_OV,latest_low_age_25_240,26,9,66.66666666666666,8.703299419309616,0.9670332688121795,3.8219541434142563,1.0396514474657725,1,34.61538461538461,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,24.35897435897435,2.541519785852852,0.7300417444484579,2.423900304976402
practical_core4,P3_N3_A45_B45_ATR0_OV,latest_low_age_25_240,26,9,66.66666666666666,8.703299419309616,0.9670332688121795,3.8219541434142563,1.0396514474657725,1,34.61538461538461,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,24.35897435897435,2.541519785852852,0.7300417444484579,2.423900304976402
practical_core4,P3_N3_A45_B45_ATR0.5_OV,latest_low_age_le_240,26,12,58.333333333333336,8.574171393629703,0.7145142828024752,2.65189581982489,1.0677291762383996,1,46.15384615384615,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,16.02564102564103,2.412391760172939,0.4775227584387535,1.2538419813870358
practical_core4,P3_N3_A45_B45_ATR0_OV,latest_low_age_le_240,26,12,58.333333333333336,8.574171393629703,0.7145142828024752,2.65189581982489,1.0677291762383996,1,46.15384615384615,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,16.02564102564103,2.412391760172939,0.4775227584387535,1.2538419813870358
practical_core4,P5_N3_A45_B45_ATR0.5_NOOV,latest_low_age_49_480,26,8,62.5,6.698658470216509,0.8373323087770637,3.150458228921769,2.091396338717213,2,30.76923076923077,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,20.192307692307693,0.5368788367597457,0.6003407844133419,1.752404390483915
