strategy,symbol,label,trades,win_rate,total_r,avg_r,median_r,pf,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,oos_trades,oos_total_r
SQZ_DEFAULT_RR2,XAUUSD,SQZ_DEFAULT_RR2_XAUUSD,16,68.75,16.189374427850076,1.0118359017406298,1.9695131925356104,4.142258627256121,1.044972053134844,2,2.68428227966056,0.6389356731414385,4,7.946512898201664
SQZ_WIDE_RR2,XAUUSD,SQZ_WIDE_RR2_XAUUSD,16,68.75,16.189374427850076,1.0118359017406298,1.9695131925356104,4.142258627256121,1.044972053134844,2,2.68428227966056,0.6389356731414385,4,7.946512898201664
SQZ_WIDE_RR2,EURJPY,SQZ_WIDE_RR2_EURJPY,28,53.57142857142857,15.05438812746442,0.537656718838015,1.22880026473369,2.141903871333835,2.647092299966692,2,1.4206070478715773,0.8497404247148027,3,2.9644211434246888
CAP_NO_D1_RR2,XAUUSD,CAP_NO_D1_RR2_XAUUSD,48,45.83333333333333,15.033574952770664,0.31319947818272215,-1.0039459678650529,1.5657021695852515,4.073334286950285,4,1.288266024711305,0.9054894080744273,8,0.9210842891021249
SQZ_DEFAULT_RR2,EURJPY,SQZ_DEFAULT_RR2_EURJPY,25,52.0,13.269018846541865,0.5307607538616747,1.64565887452795,2.090083914992614,3.45903395490612,3,1.4140622126461346,0.8701309705903343,3,2.9644211434246888
SQZ_DEFAULT_RR15,XAUUSD,SQZ_DEFAULT_RR15_XAUUSD,16,68.75,11.124420911993502,0.6952763069995939,1.4761359447224798,3.15918210674074,1.044972053134844,2,2.470970408761352,0.6061469056667393,4,5.9465128982016715
SQZ_STRICT_RR2,XAUUSD,SQZ_STRICT_RR2_XAUUSD,10,70.0,10.730813138641222,1.0730813138641222,1.9695131925356104,4.450526694119145,2.0717988343600062,2,1.5558739665936958,0.6441237470061839,3,5.953167768567186
SQZ_DEFAULT_RR15,EURJPY,SQZ_DEFAULT_RR15_EURJPY,25,56.00000000000001,9.61714055071941,0.38468562202877643,1.4773757303154402,1.8619267067716354,4.1109122507285685,3,1.1697056185405024,0.8237487118860932,3,1.9644211434247043
CAP_DEFAULT_RR15,CHFJPY,CAP_DEFAULT_RR15_CHFJPY,26,57.692307692307686,9.594831741117263,0.36903199004297166,1.4257609720198823,1.8446940783671488,2.6277046753775224,2,1.2249668224783847,0.7734519065568644,2,2.94862527693547
CAP_DEFAULT_RR2,XAUUSD,CAP_DEFAULT_RR2_XAUUSD,32,43.75,7.373209707779816,0.23041280336811926,-1.008571804677485,1.4000522947093785,4.167788623683064,4,1.2559618185084152,0.9260043361369348,3,-0.024659650370529862
