group,trades,win_rate,total_r,shelf_range_atr_mean,shelf_range_atr_median,sharp_drop_atr_mean,sharp_drop_atr_median,signal_range_atr_mean,signal_range_atr_median,body_ratio_mean,body_ratio_median,close_location_mean,close_location_median,bars_held_mean,bars_held_median,mfe_r_mean,mfe_r_median,mae_r_mean,mae_r_median,r_after_cost_mean,r_after_cost_median
win,23,100.0,45.13,1.7045,1.6974,4.1261,3.9778,1.1966,1.1222,0.6671,0.6659,0.7714,0.7803,39.5217,29.0,2.1456,2.0932,0.4359,0.4388,1.9622,1.9832
loss,20,0.0,-20.41,1.6105,1.6496,4.1967,3.9005,1.1235,1.1305,0.7049,0.743,0.8574,0.8368,17.95,10.0,0.4941,0.4473,1.2196,1.1579,-1.0206,-1.0151
all,43,53.49,24.72,1.6608,1.6937,4.1589,3.9377,1.1626,1.1222,0.6847,0.7318,0.8114,0.8188,29.4884,24.0,1.3775,2.0209,0.8005,0.9092,0.5748,1.8807
