max_l60_age,min_l60_depth_atr,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,score
24,0.25,11,100.0,21.24214610276719,1.9311041911606537,inf,0.0,0,48.708771249731114
30,0.25,11,100.0,21.24214610276719,1.9311041911606537,inf,0.0,0,48.708771249731114
36,0.25,11,100.0,21.24214610276719,1.9311041911606537,inf,0.0,0,48.708771249731114
48,0.25,11,100.0,21.24214610276719,1.9311041911606537,inf,0.0,0,48.708771249731114
18,0.25,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
18,0.3,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
18,0.35,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
18,0.4,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
24,0.3,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
24,0.35,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
24,0.4,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
30,0.3,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
30,0.35,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
30,0.4,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
36,0.3,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
36,0.35,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
36,0.4,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
48,0.3,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
48,0.35,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
48,0.4,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
60,0.3,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
60,0.35,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
60,0.4,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,46.80595420752633
60,0.25,12,91.66666666666666,20.221253207843954,1.6851044339869963,20.807418886350984,1.0208928949232323,1,45.270986916842695
24,0.15,12,91.66666666666666,20.17441692652879,1.6812014105440658,19.894694811659154,1.0677291762383996,1,45.15389621355478
24,0.2,12,91.66666666666666,20.17441692652879,1.6812014105440658,19.894694811659154,1.0677291762383996,1,45.15389621355478
30,0.15,12,91.66666666666666,20.17441692652879,1.6812014105440658,19.894694811659154,1.0677291762383996,1,45.15389621355478
30,0.2,12,91.66666666666666,20.17441692652879,1.6812014105440658,19.894694811659154,1.0677291762383996,1,45.15389621355478
36,0.15,12,91.66666666666666,20.17441692652879,1.6812014105440658,19.894694811659154,1.0677291762383996,1,45.15389621355478
36,0.2,12,91.66666666666666,20.17441692652879,1.6812014105440658,19.894694811659154,1.0677291762383996,1,45.15389621355478
48,0.15,12,91.66666666666666,20.17441692652879,1.6812014105440658,19.894694811659154,1.0677291762383996,1,45.15389621355478
48,0.2,12,91.66666666666666,20.17441692652879,1.6812014105440658,19.894694811659154,1.0677291762383996,1,45.15389621355478
12,0.25,9,100.0,17.395210359094495,1.9328011510104994,inf,0.0,0,44.71201726515749
12,0.3,9,100.0,17.395210359094495,1.9328011510104994,inf,0.0,0,44.71201726515749
12,0.35,9,100.0,17.395210359094495,1.9328011510104994,inf,0.0,0,44.71201726515749
12,0.4,9,100.0,17.395210359094495,1.9328011510104994,inf,0.0,0,44.71201726515749
18,0.15,11,90.9090909090909,18.310992203465553,1.6646356548605048,18.149472554430908,1.0677291762383996,1,43.111076956390185
18,0.2,11,90.9090909090909,18.310992203465553,1.6646356548605048,18.149472554430908,1.0677291762383996,1,43.111076956390185
12,0.15,10,90.0,16.327481182856094,1.6327481182856094,16.291781423804178,1.0677291762383996,1,40.85624071633134
12,0.2,10,90.0,16.327481182856094,1.6327481182856094,16.291781423804178,1.0677291762383996,1,40.85624071633134
60,0.15,13,84.61538461538461,19.153524031605556,1.4733480024311967,10.170411581906208,1.0677291762383996,1,40.67889734733709
60,0.2,13,84.61538461538461,19.153524031605556,1.4733480024311967,10.170411581906208,1.0677291762383996,1,40.67889734733709
