sample,rule,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,symbols,periods,score
practical_no_AUD_USD,D1_RSI35_55_strict_L60_guard_age24_depth0.25,11,100.0,21.24214610276719,1.9311041911606537,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",48.708771249731114
practical_no_AUD_USD,D1_RSI35_55_strict_L60_guard_age24_depth0.30,10,100.0,19.378721379703954,1.9378721379703954,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",46.80595420752633
practical_no_AUD_USD,D1_RSI35_55_strict_L60_guard_age24_depth0.20,12,91.66666666666666,20.17441692652879,1.6812014105440658,19.894694811659154,1.0677291762383996,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",45.15389621355478
practical_no_AUD_USD,D1_RSI35_55_strict_no_L60,9,100.0,17.395210359094495,1.9328011510104994,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",44.71201726515749
practical_core4,D1_RSI35_55_strict_L60_guard_age24_depth0.25,8,100.0,15.702630881227567,1.9628288601534458,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",43.11960404214824
practical_core4,D1_RSI35_55_strict_L60_guard_age24_depth0.30,8,100.0,15.702630881227567,1.9628288601534458,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",43.11960404214824
practical_core4,D1_RSI35_55_strict_no_L60,7,100.0,13.719119860618108,1.9598742658025867,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",41.038365455433635
practical_core4,D1_RSI35_55_strict_L60_guard_age24_depth0.20,9,88.88888888888889,14.634901704989167,1.6261001894432408,14.706567199510081,1.0677291762383996,1,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",39.04377366541021
practical_no_AUD_USD,D1_RSI35_55_strict_current,14,78.57142857142857,18.136078331604114,1.295434166543151,6.838919066731445,1.0677291762383996,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",34.50960298803892
practical_no_AUD_USD,D1_RSI35_55_quality,16,75.0,18.902596076914648,1.1814122548071655,5.56066347934992,1.0677291762383996,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",33.15416977870664
practical_core4,D1_RSI35_55_strict_current,11,72.72727272727273,12.59656311006449,1.1451421009149536,5.055469499735893,1.0677291762383996,1,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",25.599023413985677
practical_core4,D1_RSI35_55_quality,12,66.66666666666666,11.557927777720126,0.9631606481433438,3.7886020998559036,1.0677291762383996,1,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",21.96491511516167
practical_no_AUD_USD,baseline,37,43.24324324324324,8.364486897808169,0.22606721345427483,1.371805576356133,4.758918598939829,4,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",8.116728550039154
practical_core4,baseline,26,42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,3,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",7.692046820812312
