timeframe,events,median_mfe_24,median_mae_24,median_fwd_24,pct_mfe24_ge_3,pct_hit1_first_24,median_mfe24_vs_prev_leg,median_mfe_48,median_mae_48,median_fwd_48,pct_mfe48_ge_3,pct_hit1_first_48,median_mfe48_vs_prev_leg,median_mfe_120,median_mae_120,median_fwd_120,pct_mfe120_ge_3,pct_hit1_first_120,median_mfe120_vs_prev_leg,median_prev_leg_avg_atr
H1,1078,2.258415377133568,2.1242121391673976,-0.09897656405589203,38.49721706864564,47.031539888682744,0.55564021315605,3.178581001005168,3.0680497871751435,-0.4746406820104517,52.13358070500927,47.031539888682744,0.7690008433453239,4.766421954569063,5.264491237879749,-0.8414860484463023,67.16141001855289,47.031539888682744,1.2305214370422854,3.913282587958491
H4,500,2.1168799043928446,2.1969515075786883,-0.39273767855106156,36.8,49.6,0.6865755141182528,2.930760810659849,3.429300441346686,-0.7159207497070386,49.0,49.6,0.8773526671471623,4.520616504773841,5.535848930318851,-1.2392151390614854,63.6,49.6,1.3819370091902963,3.2462392848053963
