symbol,mode,r_after_cost,year,period,group
GBPJPY,none,-1.04,2016,IS_2015_2024,fx
GBPJPY,none,-0.5049373798020571,2016,IS_2015_2024,fx
GBPJPY,none,-1.04,2017,IS_2015_2024,fx
GBPJPY,none,-1.04,2017,IS_2015_2024,fx
GBPJPY,none,-1.04,2018,IS_2015_2024,fx
GBPJPY,none,1.96,2018,IS_2015_2024,fx
GBPJPY,none,-1.04,2018,IS_2015_2024,fx
GBPJPY,none,-1.04,2018,IS_2015_2024,fx
GBPJPY,none,1.96,2019,IS_2015_2024,fx
GBPJPY,none,-1.04,2019,IS_2015_2024,fx
GBPJPY,none,-1.04,2019,IS_2015_2024,fx
GBPJPY,none,-1.04,2019,IS_2015_2024,fx
GBPJPY,none,-1.04,2019,IS_2015_2024,fx
GBPJPY,none,-1.04,2020,IS_2015_2024,fx
GBPJPY,none,-1.04,2020,IS_2015_2024,fx
GBPJPY,none,-1.04,2020,IS_2015_2024,fx
GBPJPY,none,1.96,2020,IS_2015_2024,fx
GBPJPY,none,1.96,2020,IS_2015_2024,fx
GBPJPY,none,-1.04,2021,IS_2015_2024,fx
GBPJPY,none,-1.04,2021,IS_2015_2024,fx
GBPJPY,none,-1.04,2021,IS_2015_2024,fx
GBPJPY,none,-1.04,2021,IS_2015_2024,fx
GBPJPY,none,-1.04,2021,IS_2015_2024,fx
GBPJPY,none,-1.04,2021,IS_2015_2024,fx
GBPJPY,none,-1.04,2021,IS_2015_2024,fx
GBPJPY,none,-1.04,2021,IS_2015_2024,fx
GBPJPY,none,-1.04,2021,IS_2015_2024,fx
GBPJPY,none,-1.04,2022,IS_2015_2024,fx
GBPJPY,none,-1.04,2022,IS_2015_2024,fx
GBPJPY,none,-1.04,2022,IS_2015_2024,fx
GBPJPY,none,-1.04,2022,IS_2015_2024,fx
GBPJPY,none,-1.04,2023,IS_2015_2024,fx
GBPJPY,none,-1.04,2023,IS_2015_2024,fx
GBPJPY,none,-1.04,2023,IS_2015_2024,fx
GBPJPY,none,-1.04,2023,IS_2015_2024,fx
GBPJPY,none,1.96,2023,IS_2015_2024,fx
GBPJPY,none,-1.04,2023,IS_2015_2024,fx
GBPJPY,none,1.96,2024,IS_2015_2024,fx
GBPJPY,none,-1.04,2024,IS_2015_2024,fx
GBPJPY,none,1.96,2024,IS_2015_2024,fx
GBPJPY,none,-1.04,2025,OOS_2025_2026,fx
GBPJPY,none,1.96,2025,OOS_2025_2026,fx
GBPJPY,none,-1.04,2025,OOS_2025_2026,fx
GBPJPY,none,1.96,2025,OOS_2025_2026,fx
GBPJPY,align,-1.04,2015,IS_2015_2024,fx
GBPJPY,align,-1.04,2015,IS_2015_2024,fx
GBPJPY,align,-1.04,2017,IS_2015_2024,fx
GBPJPY,align,-1.04,2019,IS_2015_2024,fx
GBPJPY,align,-1.04,2020,IS_2015_2024,fx
GBPJPY,align,-1.04,2021,IS_2015_2024,fx
GBPJPY,align,-1.04,2021,IS_2015_2024,fx
GBPJPY,align,-1.04,2021,IS_2015_2024,fx
GBPJPY,align,-1.04,2021,IS_2015_2024,fx
GBPJPY,align,-1.04,2022,IS_2015_2024,fx
GBPJPY,align,-1.04,2022,IS_2015_2024,fx
GBPJPY,align,-1.04,2022,IS_2015_2024,fx
GBPJPY,align,-1.04,2023,IS_2015_2024,fx
GBPJPY,align,-1.04,2023,IS_2015_2024,fx
GBPJPY,align,-1.04,2023,IS_2015_2024,fx
GBPJPY,align,1.96,2024,IS_2015_2024,fx
GBPJPY,align,-1.04,2024,IS_2015_2024,fx
GBPJPY,align,1.96,2025,OOS_2025_2026,fx
GBPJPY,align,-1.04,2025,OOS_2025_2026,fx
GBPJPY,counter,1.96,2015,IS_2015_2024,fx
GBPJPY,counter,-1.04,2015,IS_2015_2024,fx
GBPJPY,counter,-1.04,2015,IS_2015_2024,fx
GBPJPY,counter,-1.04,2015,IS_2015_2024,fx
GBPJPY,counter,-1.04,2015,IS_2015_2024,fx
GBPJPY,counter,-1.04,2016,IS_2015_2024,fx
GBPJPY,counter,-1.04,2016,IS_2015_2024,fx
GBPJPY,counter,-0.5049373798020571,2016,IS_2015_2024,fx
GBPJPY,counter,-1.04,2017,IS_2015_2024,fx
GBPJPY,counter,-1.04,2018,IS_2015_2024,fx
GBPJPY,counter,1.96,2018,IS_2015_2024,fx
GBPJPY,counter,-1.04,2018,IS_2015_2024,fx
GBPJPY,counter,-1.04,2018,IS_2015_2024,fx
GBPJPY,counter,1.96,2019,IS_2015_2024,fx
GBPJPY,counter,-1.04,2019,IS_2015_2024,fx
GBPJPY,counter,-1.04,2019,IS_2015_2024,fx
GBPJPY,counter,-1.04,2019,IS_2015_2024,fx
GBPJPY,counter,-1.04,2020,IS_2015_2024,fx
GBPJPY,counter,-1.04,2020,IS_2015_2024,fx
GBPJPY,counter,1.96,2020,IS_2015_2024,fx
GBPJPY,counter,1.96,2020,IS_2015_2024,fx
GBPJPY,counter,-1.04,2021,IS_2015_2024,fx
GBPJPY,counter,-1.04,2021,IS_2015_2024,fx
GBPJPY,counter,-1.04,2021,IS_2015_2024,fx
GBPJPY,counter,-1.04,2021,IS_2015_2024,fx
GBPJPY,counter,-1.04,2021,IS_2015_2024,fx
GBPJPY,counter,-1.04,2022,IS_2015_2024,fx
GBPJPY,counter,-1.04,2023,IS_2015_2024,fx
