symbol,side,signal_dt,r_clean,r_after_cost,exit_reason,year,period,group
XAUUSD,long,2026-01-30 16:00:00,-1.0,-1.04,SL,2026,OOS_2025_2026,fx
XAUUSD,long,2026-02-17 04:00:00,-1.0,-1.04,SL,2026,OOS_2025_2026,fx
XAUUSD,long,2026-03-19 12:00:00,-1.0,-1.04,SL,2026,OOS_2025_2026,fx
XAUUSD,long,2026-05-18 00:00:00,-1.0,-1.04,SL,2026,OOS_2025_2026,fx
XAUUSD,short,2015-01-20 08:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
XAUUSD,short,2015-03-26 08:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
XAUUSD,short,2015-06-01 12:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
XAUUSD,short,2015-08-24 12:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
XAUUSD,short,2015-09-01 12:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
XAUUSD,short,2016-01-20 16:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
XAUUSD,short,2016-02-11 00:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
XAUUSD,short,2016-02-11 16:00:00,2.0,1.96,TP,2016,IS_2015_2024,fx
XAUUSD,short,2016-06-10 12:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
XAUUSD,short,2016-07-04 00:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
XAUUSD,short,2016-10-28 16:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
XAUUSD,short,2016-11-09 04:00:00,2.0,1.96,TP,2016,IS_2015_2024,fx
XAUUSD,short,2017-05-31 16:00:00,-1.0,-1.04,SL,2017,IS_2015_2024,fx
XAUUSD,short,2017-11-27 12:00:00,2.0,1.96,TP,2017,IS_2015_2024,fx
XAUUSD,short,2018-06-14 12:00:00,2.0,1.96,TP,2018,IS_2015_2024,fx
XAUUSD,short,2018-09-13 12:00:00,2.0,1.96,TP,2018,IS_2015_2024,fx
XAUUSD,short,2018-11-20 12:00:00,-1.0,-1.04,SL,2018,IS_2015_2024,fx
XAUUSD,short,2019-04-08 12:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
XAUUSD,short,2019-04-25 12:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
XAUUSD,short,2019-06-05 12:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
XAUUSD,short,2019-10-25 12:00:00,2.0,1.96,TP,2019,IS_2015_2024,fx
XAUUSD,short,2019-12-12 12:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
XAUUSD,short,2020-01-05 20:00:00,-1.0,-1.04,SL,2020,IS_2015_2024,fx
XAUUSD,short,2020-01-08 00:00:00,2.0,1.96,TP,2020,IS_2015_2024,fx
XAUUSD,short,2020-02-23 20:00:00,-1.0,-1.04,SL,2020,IS_2015_2024,fx
XAUUSD,short,2020-04-14 12:00:00,2.0,1.96,TP,2020,IS_2015_2024,fx
XAUUSD,short,2020-08-27 12:00:00,-1.0,-1.04,SL,2020,IS_2015_2024,fx
XAUUSD,short,2021-02-10 12:00:00,2.0,1.96,TP,2021,IS_2015_2024,fx
XAUUSD,short,2021-05-04 12:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
XAUUSD,short,2021-07-14 12:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
XAUUSD,short,2021-10-08 12:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
XAUUSD,short,2021-10-22 12:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
XAUUSD,short,2022-02-17 08:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
XAUUSD,short,2022-09-06 00:00:00,2.0,1.96,TP,2022,IS_2015_2024,fx
XAUUSD,short,2022-11-02 16:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
XAUUSD,short,2022-11-09 12:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
XAUUSD,short,2022-11-15 12:00:00,2.0,1.96,TP,2022,IS_2015_2024,fx
XAUUSD,short,2023-03-12 20:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
XAUUSD,short,2023-04-12 12:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
XAUUSD,short,2023-05-03 20:00:00,2.0,1.96,TP,2023,IS_2015_2024,fx
XAUUSD,short,2023-07-11 04:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
XAUUSD,short,2023-07-18 08:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
XAUUSD,short,2023-10-18 12:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
XAUUSD,short,2023-11-27 00:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
XAUUSD,short,2024-01-30 12:00:00,-1.0,-1.04,SL,2024,IS_2015_2024,fx
XAUUSD,short,2024-03-08 16:00:00,-1.0,-1.04,SL,2024,IS_2015_2024,fx
XAUUSD,short,2024-04-04 16:00:00,-1.0,-1.04,SL,2024,IS_2015_2024,fx
XAUUSD,short,2024-04-12 12:00:00,2.0,1.96,TP,2024,IS_2015_2024,fx
XAUUSD,short,2024-09-18 16:00:00,-1.0,-1.04,SL,2024,IS_2015_2024,fx
XAUUSD,short,2025-02-11 00:00:00,2.0,1.96,TP,2025,OOS_2025_2026,fx
USDJPY,long,2015-03-18 20:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
USDJPY,long,2015-04-14 08:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
USDJPY,long,2015-04-30 04:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
USDJPY,long,2015-06-28 20:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
USDJPY,long,2015-08-23 20:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
USDJPY,long,2015-08-24 12:00:00,0.5147632311977751,0.47476323119777514,timeout,2015,IS_2015_2024,fx
USDJPY,long,2015-10-13 12:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
USDJPY,long,2016-01-07 00:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
USDJPY,long,2016-01-20 08:00:00,2.0,1.96,TP,2016,IS_2015_2024,fx
USDJPY,long,2016-06-15 16:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
USDJPY,long,2016-06-23 20:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
USDJPY,long,2016-07-28 20:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
USDJPY,long,2016-09-21 00:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
USDJPY,long,2017-03-21 00:00:00,-1.0,-1.04,SL,2017,IS_2015_2024,fx
USDJPY,long,2017-08-01 12:00:00,-1.0,-1.04,SL,2017,IS_2015_2024,fx
USDJPY,long,2017-08-18 12:00:00,-1.0,-1.04,SL,2017,IS_2015_2024,fx
USDJPY,long,2018-05-29 08:00:00,-1.0,-1.04,SL,2018,IS_2015_2024,fx
USDJPY,long,2019-01-02 08:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
USDJPY,long,2019-03-08 12:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
USDJPY,long,2019-04-23 00:00:00,2.0,1.96,TP,2019,IS_2015_2024,fx
USDJPY,long,2019-05-06 00:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
USDJPY,long,2019-05-29 00:00:00,2.0,1.96,TP,2019,IS_2015_2024,fx
USDJPY,long,2019-06-05 12:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
USDJPY,long,2019-08-25 20:00:00,2.0,1.96,TP,2019,IS_2015_2024,fx
USDJPY,long,2021-07-19 12:00:00,2.0,1.96,TP,2021,IS_2015_2024,fx
USDJPY,long,2021-08-03 12:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
USDJPY,long,2021-08-24 12:00:00,2.0,1.96,TP,2021,IS_2015_2024,fx
USDJPY,long,2021-10-27 12:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
USDJPY,long,2021-11-30 12:00:00,1.1089370122018234,1.0689370122018234,timeout,2021,IS_2015_2024,fx
USDJPY,long,2022-08-11 12:00:00,2.0,1.96,TP,2022,IS_2015_2024,fx
USDJPY,long,2022-10-23 20:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
USDJPY,long,2022-11-02 16:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
USDJPY,long,2022-11-10 20:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
USDJPY,long,2022-11-15 12:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
USDJPY,long,2023-03-12 20:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
USDJPY,long,2023-04-26 12:00:00,2.0,1.96,TP,2023,IS_2015_2024,fx
USDJPY,long,2023-07-06 04:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
USDJPY,long,2023-07-28 04:00:00,2.0,1.96,TP,2023,IS_2015_2024,fx
USDJPY,long,2023-10-17 08:00:00,2.0,1.96,TP,2023,IS_2015_2024,fx
USDJPY,long,2023-12-07 16:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
USDJPY,long,2023-12-28 12:00:00,2.0,1.96,TP,2023,IS_2015_2024,fx
USDJPY,long,2024-03-08 12:00:00,2.0,1.96,TP,2024,IS_2015_2024,fx
USDJPY,long,2024-04-05 00:00:00,2.0,1.96,TP,2024,IS_2015_2024,fx
USDJPY,long,2024-05-01 20:00:00,-1.0,-1.04,SL,2024,IS_2015_2024,fx
USDJPY,long,2024-05-30 04:00:00,-1.0,-1.04,SL,2024,IS_2015_2024,fx
USDJPY,long,2024-08-05 04:00:00,2.0,1.96,TP,2024,IS_2015_2024,fx
USDJPY,long,2024-08-19 04:00:00,-1.0,-1.04,SL,2024,IS_2015_2024,fx
USDJPY,long,2025-07-23 00:00:00,-1.0,-1.04,SL,2025,OOS_2025_2026,fx
USDJPY,long,2025-09-17 16:00:00,2.0,1.96,TP,2025,OOS_2025_2026,fx
USDJPY,long,2026-01-23 04:00:00,-1.0,-1.04,SL,2026,OOS_2025_2026,fx
USDJPY,long,2026-04-16 00:00:00,-1.0,-1.04,SL,2026,OOS_2025_2026,fx
USDJPY,long,2026-05-01 04:00:00,-1.0,-1.04,SL,2026,OOS_2025_2026,fx
USDJPY,short,2015-10-30 04:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
USDJPY,short,2015-12-16 16:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
USDJPY,short,2016-03-10 12:00:00,2.0,1.96,TP,2016,IS_2015_2024,fx
USDJPY,short,2017-03-09 08:00:00,-1.0,-1.04,SL,2017,IS_2015_2024,fx
USDJPY,short,2017-09-27 12:00:00,-1.0,-1.04,SL,2017,IS_2015_2024,fx
USDJPY,short,2017-11-06 00:00:00,2.0,1.96,TP,2017,IS_2015_2024,fx
USDJPY,short,2018-06-13 16:00:00,-1.0,-1.04,SL,2018,IS_2015_2024,fx
USDJPY,short,2018-10-31 12:00:00,-1.0,-1.04,SL,2018,IS_2015_2024,fx
USDJPY,short,2018-11-07 00:00:00,-1.0,-1.04,SL,2018,IS_2015_2024,fx
USDJPY,short,2019-01-23 12:00:00,2.0,1.96,TP,2019,IS_2015_2024,fx
USDJPY,short,2019-03-28 12:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
USDJPY,short,2019-04-17 00:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
USDJPY,short,2019-10-10 00:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
USDJPY,short,2019-10-30 16:00:00,2.0,1.96,TP,2019,IS_2015_2024,fx
USDJPY,short,2019-11-26 00:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
USDJPY,short,2020-02-12 08:00:00,-1.0,-1.04,SL,2020,IS_2015_2024,fx
USDJPY,short,2020-02-20 08:00:00,2.0,1.96,TP,2020,IS_2015_2024,fx
USDJPY,short,2020-08-03 00:00:00,-1.0,-1.04,SL,2020,IS_2015_2024,fx
USDJPY,short,2021-02-15 08:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
USDJPY,short,2021-06-10 12:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
USDJPY,short,2021-06-23 08:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
USDJPY,short,2021-09-08 04:00:00,2.0,1.96,TP,2021,IS_2015_2024,fx
USDJPY,short,2022-02-10 12:00:00,2.0,1.96,TP,2022,IS_2015_2024,fx
USDJPY,short,2022-03-16 16:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
USDJPY,short,2022-03-28 08:00:00,2.0,1.96,TP,2022,IS_2015_2024,fx
USDJPY,short,2022-07-13 12:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
USDJPY,short,2023-02-23 12:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
USDJPY,short,2023-05-30 04:00:00,2.0,1.96,TP,2023,IS_2015_2024,fx
USDJPY,short,2023-08-03 04:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
USDJPY,short,2023-08-14 00:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
USDJPY,short,2023-10-26 04:00:00,2.0,1.96,TP,2023,IS_2015_2024,fx
USDJPY,short,2024-03-27 00:00:00,2.0,1.96,TP,2024,IS_2015_2024,fx
USDJPY,short,2024-04-03 12:00:00,2.0,1.96,TP,2024,IS_2015_2024,fx
USDJPY,short,2024-04-10 20:00:00,-1.0,-1.04,SL,2024,IS_2015_2024,fx
USDJPY,short,2024-05-14 12:00:00,2.0,1.96,TP,2024,IS_2015_2024,fx
USDJPY,short,2024-08-29 12:00:00,-1.0,-1.04,SL,2024,IS_2015_2024,fx
USDJPY,short,2025-01-10 12:00:00,2.0,1.96,TP,2025,OOS_2025_2026,fx
USDJPY,short,2025-03-19 04:00:00,-1.0,-1.04,SL,2025,OOS_2025_2026,fx
USDJPY,short,2025-06-10 00:00:00,-1.0,-1.04,SL,2025,OOS_2025_2026,fx
EURJPY,long,2015-01-23 12:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
EURJPY,long,2015-02-20 12:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
EURJPY,long,2015-04-13 12:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
EURJPY,long,2015-06-25 08:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
EURJPY,long,2015-08-24 12:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
EURJPY,long,2015-11-06 12:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
EURJPY,long,2015-11-16 00:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
EURJPY,long,2016-01-21 12:00:00,2.0,1.96,TP,2016,IS_2015_2024,fx
EURJPY,long,2016-03-22 08:00:00,2.0,1.96,TP,2016,IS_2015_2024,fx
EURJPY,long,2016-05-26 00:00:00,2.0,1.96,TP,2016,IS_2015_2024,fx
EURJPY,long,2016-06-01 04:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
