timeframe,strategy,filter,trades,win_rate,total_r,avg_r,pf,max_dd_r
H4,VFIB_618_BODY50_RR2,買いのみ + 急落速度 >=0.30ATR/本,375,44.266666666666666,83.27572528163675,0.22206860075103135,1.4132064943863638,12.72740553118328
H4,VFIB_618_RR2,買いのみ + 急落速度 >=0.30ATR/本,405,43.20987654320987,82.12800451130998,0.20278519632422218,1.3706714668265236,14.440598076079771
H4,VFIB_618_BODY60_RR2,買いのみ + 回復本数 <= 下落本数 x1.5,317,45.42586750788644,78.02759184154517,0.24614382284399108,1.4712062933861476,12.4998087219753
H4,VFIB_618_BODY50_RR2,買いのみ + 下落幅 >=4ATR,341,44.868035190615835,70.14629718797882,0.20570761638703466,1.3905138203815972,16.05043311551955
H4,VFIB_618_BODY60_RR2,買いのみ + 下落幅 >=4ATR,309,45.63106796116505,69.73298704184987,0.22567309722281512,1.4357509651292142,18.053462290240365
H4,VFIB_618_BODY60_RR2,買いのみ + 回復本数 <= 下落本数,259,45.173745173745175,67.05603467367052,0.25890360877865065,1.4909088834927078,10.797932318305513
H4,VFIB_618_BODY60_RR2,買いのみ + 実体60%以上 + 回復<=下落本数,259,45.173745173745175,67.05603467367052,0.25890360877865065,1.4909088834927078,10.797932318305513
H4,VFIB_618_BODY50_RR2,買いのみ + 回復本数 <= 下落本数 x1.5,347,42.93948126801153,62.19012229917623,0.1792222544644848,1.3266202964004106,26.245046345348396
H4,VFIB_618_RR2,買いのみ + 回復本数 <= 下落本数 x1.5,376,42.28723404255319,62.02903605179775,0.1649708405632919,1.2967712851017417,27.3124301116924
H4,VFIB_618_RR2,買いのみ + 下落幅 >=4ATR,367,42.77929155313351,56.22769641943662,0.15320898206930958,1.2793689631712069,14.436503253759126
H4,VFIB_618_RR2,買いのみ + 回復本数 <= 下落本数,312,42.30769230769231,55.67593295500022,0.17844850306089816,1.32005664612931,24.09968023038529
H4,VFIB_618_BODY50_RR2,買いのみ + 回復本数 <= 下落本数,289,42.21453287197232,49.42091799205953,0.17100663665072502,1.306187052324875,22.017940884268413
H4,VFIB_618_BODY60_RR2,買いのみ + 実体60%以上 + 速度>=0.30 + 回復<=下落本数,182,43.956043956043956,42.99435353609803,0.23623271173680238,1.441158926227311,12.228054564081667
