timeframe,strategy,filter,trades,win_rate,total_r,avg_r,pf,max_dd_r
D1,VFIB_618_BODY60_RR2,買いのみ: 急落後V字,122,50.81967213114754,24.838596253287278,0.2035950512564531,1.44886015425655,13.96619224426561
D1,VFIB_618_BODY60_RR2,買いのみ + 実体60%以上,122,50.81967213114754,24.838596253287278,0.2035950512564531,1.44886015425655,13.96619224426561
D1,VFIB_618_BODY60_RR2,買いのみ + 急落速度 >=0.30ATR/本,113,51.32743362831859,24.468394960127984,0.21653446867369897,1.4868462725922922,11.953301252287647
D1,VFIB_618_BODY60_RR2,全V字,220,46.81818181818182,22.544841840273943,0.10247655381942701,1.2123264750178488,14.171206852267016
D1,VFIB_618_RR2,買いのみ: 急落後V字,146,45.89041095890411,22.100509808977243,0.1513733548560085,1.3076495717377805,10.828130919908917
D1,VFIB_618_BODY50_RR2,買いのみ + 回復本数 <= 下落本数 x1.5,105,48.57142857142857,21.99907562985992,0.2095150059986659,1.458355336781261,9.838626192384355
D1,VFIB_618_BODY60_RR2,買いのみ + 回復本数 <= 下落本数,82,53.65853658536586,21.65362224786712,0.2640685639983795,1.6290335305672792,7.214507233883803
D1,VFIB_618_BODY60_RR2,買いのみ + 実体60%以上 + 回復<=下落本数,82,53.65853658536586,21.65362224786712,0.2640685639983795,1.6290335305672792,7.214507233883803
D1,VFIB_618_BODY60_RR2,買いのみ + 実体60%以上 + 速度>=0.30 + 回復<=下落本数,73,54.794520547945204,21.28342095470783,0.29155371170832645,1.725268755085853,5.152296451942779
D1,VFIB_618_BODY50_RR2,買いのみ + 回復本数 <= 下落本数,90,50.0,21.217003914877985,0.23574448794308872,1.5340147139327474,8.226058333681
D1,VFIB_618_RR2,買いのみ + 急落速度 >=0.30ATR/本,139,46.043165467625904,20.92834283312363,0.15056361750448655,1.307798922184834,11.085388689478307
D1,VFIB_618_BODY60_RR2,買いのみ + 回復本数 <= 下落本数 x1.5,97,50.51546391752577,20.31151114025934,0.2093970220645293,1.4648794759441577,9.161422144026934
D1,VFIB_618_RR2,買いのみ + 回復本数 <= 下落本数 x1.5,116,46.55172413793103,20.008100037908314,0.17248362101645098,1.3563522365247345,8.838626837790649
D1,VFIB_618_RR2,買いのみ + 下落幅 >=4ATR,68,52.94117647058824,19.597976336015286,0.288205534353166,1.7722981343121047,4.782038604113165
D1,VFIB_618_BODY50_RR2,買いのみ + 急落速度 >=0.30ATR/本,123,47.96747967479675,19.596260857178304,0.15931919396079922,1.3403371353620008,12.16944648861028
D1,VFIB_618_BODY50_RR2,買いのみ: 急落後V字,131,47.32824427480916,19.533434464587636,0.14911018675257737,1.3117516286486266,14.254259285247667
D1,VFIB_618_BODY50_RR2,買いのみ + 実体50%以上,131,47.32824427480916,19.533434464587636,0.14911018675257737,1.3117516286486266,14.254259285247667
D1,VFIB_618_RR2,全V字,276,43.11594202898551,17.949978600411498,0.06503615434931702,1.1270906364873137,14.93949898777609
D1,VFIB_618_RR2,買いのみ + 回復本数 <= 下落本数,99,46.464646464646464,16.9030199381835,0.17073757513316667,1.3555871914110424,8.8404991042221
D1,VFIB_618_BODY60_RR2,買いのみ + 下落幅 >=4ATR,60,56.666666666666664,14.818301514062941,0.24697169190104903,1.6722038928161178,6.067115863844757
D1,VFIB_618_BODY50_RR2,全V字,249,43.77510040160642,14.08402644418322,0.05656235519752297,1.1125403048769449,13.994354042744888
D1,VFIB_618_BODY50_RR2,買いのみ + 下落幅 >=4ATR,63,50.79365079365079,9.860455535952221,0.15651516723733686,1.3905954447074103,5.5837716859820095
H1,VFIB_618_RR2,全V字,2262,35.94164456233422,113.36051670971898,0.05011517095920379,1.075852246115212,43.81050097000723
H1,VFIB_618_RR2,買いのみ: 急落後V字,1235,37.24696356275304,101.69629107750515,0.08234517496154263,1.1271245929738292,45.683335662831354
H1,VFIB_618_RR2,買いのみ + 下落幅 >=4ATR,1235,37.24696356275304,101.69629107750515,0.08234517496154263,1.1271245929738292,45.683335662831354
H1,VFIB_618_BODY60_RR2,買いのみ: 急落後V字,1074,37.243947858473,89.09455107349176,0.08295582036637966,1.1280213862585624,34.0931940469576
H1,VFIB_618_BODY60_RR2,買いのみ + 実体60%以上,1074,37.243947858473,89.09455107349176,0.08295582036637966,1.1280213862585624,34.0931940469576
H1,VFIB_618_BODY60_RR2,買いのみ + 下落幅 >=4ATR,1074,37.243947858473,89.09455107349176,0.08295582036637966,1.1280213862585624,34.0931940469576
H1,VFIB_618_BODY60_RR2,全V字,2001,35.63218390804598,88.95316608914746,0.044454355866640406,1.067025596594761,44.16236585999393
H1,VFIB_618_BODY50_RR2,全V字,2123,35.56288271314178,88.09586701160842,0.041495933590018096,1.0624890054147658,44.53455248930541
H1,VFIB_618_RR2,買いのみ + 回復本数 <= 下落本数,687,38.28238719068413,77.57168843436531,0.11291366584332652,1.1775728613013265,28.49901374730655
H1,VFIB_618_BODY50_RR2,買いのみ: 急落後V字,1161,36.69250645994832,77.2997934757785,0.06658035613762145,1.101929611493076,43.09398609393798
H1,VFIB_618_BODY50_RR2,買いのみ + 実体50%以上,1161,36.69250645994832,77.2997934757785,0.06658035613762145,1.101929611493076,43.09398609393798
H1,VFIB_618_BODY50_RR2,買いのみ + 下落幅 >=4ATR,1161,36.69250645994832,77.2997934757785,0.06658035613762145,1.101929611493076,43.09398609393798
H1,VFIB_618_RR2,買いのみ + 回復本数 <= 下落本数 x1.5,851,37.485311398354874,75.05135523044041,0.08819195679252692,1.1367355729545097,42.33406824022119
H1,VFIB_618_BODY50_RR2,買いのみ + 回復本数 <= 下落本数,640,38.125,70.18659121347656,0.10966654877105712,1.1723151273900247,28.024005634141698
H1,VFIB_618_BODY60_RR2,買いのみ + 回復本数 <= 下落本数,593,37.77403035413153,58.676077115739226,0.09894785348354002,1.1545333884321813,21.15036931624944
H1,VFIB_618_BODY60_RR2,買いのみ + 実体60%以上 + 回復<=下落本数,593,37.77403035413153,58.676077115739226,0.09894785348354002,1.1545333884321813,21.15036931624944
H1,VFIB_618_BODY60_RR2,買いのみ + 回復本数 <= 下落本数 x1.5,736,36.95652173913043,54.67257880193585,0.07428339511132588,1.1142189381360055,26.19383373835215
H1,VFIB_618_BODY50_RR2,買いのみ + 回復本数 <= 下落本数 x1.5,786,36.76844783715013,53.885834983947426,0.0685570419643097,1.1051839859000563,41.96865639685416
H1,VFIB_618_BODY60_RR2,買いのみ + 急落速度 >=0.30ATR/本,736,36.82065217391305,52.59770798926276,0.0714642771593244,1.1094879937476745,26.346538527925908
H1,VFIB_618_RR2,買いのみ + 急落速度 >=0.30ATR/本,862,36.31090487238979,49.16963942290496,0.057041345038172805,1.0867902739941993,47.32315705693269
H1,VFIB_618_BODY60_RR2,買いのみ + 実体60%以上 + 速度>=0.30 + 回復<=下落本数,279,37.634408602150536,27.03140853090373,0.09688676892797035,1.15100877918557,20.526211771077843
H1,VFIB_618_BODY50_RR2,買いのみ + 急落速度 >=0.30ATR/本,797,35.257214554579676,20.796413906119014,0.02609336751081432,1.039062766234198,55.145003609004974
H4,VFIB_618_RR2,全V字,887,41.826381059751974,126.915170775707,0.14308361981477677,1.2517694402325723,18.587488960638623
H4,VFIB_618_BODY50_RR2,全V字,812,42.48768472906404,126.86296201670525,0.15623517489742025,1.2783844081709306,16.120241768158778
H4,VFIB_618_BODY60_RR2,全V字,750,42.13333333333333,106.41051941797939,0.14188069255730584,1.2514806789155066,14.382202959859697
H4,VFIB_618_BODY60_RR2,買いのみ: 急落後V字,423,45.62647754137116,105.57420619187143,0.2495844118011145,1.4750402627934491,15.493475989448086
H4,VFIB_618_BODY60_RR2,買いのみ + 実体60%以上,423,45.62647754137116,105.57420619187143,0.2495844118011145,1.4750402627934491,15.493475989448086
H4,VFIB_618_BODY50_RR2,買いのみ: 急落後V字,466,44.20600858369099,97.71176173991094,0.20968189214573163,1.3876583016585637,17.46500703028986
H4,VFIB_618_BODY50_RR2,買いのみ + 実体50%以上,466,44.20600858369099,97.71176173991094,0.20968189214573163,1.3876583016585637,17.46500703028986
H4,VFIB_618_RR2,買いのみ: 急落後V字,502,43.22709163346614,96.42873294722838,0.19208910945663024,1.3490962914294085,20.069331152965738
H4,VFIB_618_BODY60_RR2,買いのみ + 急落速度 >=0.30ATR/本,343,45.18950437317784,83.36659655347665,0.24305130190517976,1.4603751291476703,15.067327447266972
