min_drop_atr,max_recovery_to_drop_bars,min_drop_speed_atr_per_bar,filter,trades,win_rate,total_r,avg_r,pf,max_dd_r
3.5,999.0,0.2,H4 BODY60 long sweep,400,45.5,102.6311951490475,0.25657798787261876,1.4879671729997537,15.109620456818476
3.0,1.5,0.2,H4 BODY60 long sweep,294,45.23809523809524,75.08458079872123,0.2553897306078953,1.4886013622902878,12.499808721975302
3.5,1.5,0.2,H4 BODY60 long sweep,294,45.23809523809524,75.08458079872123,0.2553897306078953,1.4886013622902878,12.499808721975302
3.0,1.5,0.6,H4 BODY60 long sweep,60,43.333333333333336,15.147391210258823,0.25245652017098036,1.4842543813935363,5.04409172461716
3.5,1.5,0.6,H4 BODY60 long sweep,60,43.333333333333336,15.147391210258823,0.25245652017098036,1.4842543813935363,5.04409172461716
3.0,999.0,0.0,H4 BODY60 long sweep,423,45.62647754137116,105.57420619187143,0.2495844118011145,1.4750402627934491,15.493475989448086
3.5,999.0,0.0,H4 BODY60 long sweep,423,45.62647754137116,105.57420619187143,0.2495844118011145,1.4750402627934491,15.493475989448086
3.0,1.0,0.4,H4 BODY60 long sweep,108,45.370370370370374,26.802445458513883,0.24817079128253597,1.4783928003537918,10.405112573347921
3.5,1.0,0.4,H4 BODY60 long sweep,108,45.370370370370374,26.802445458513883,0.24817079128253597,1.4783928003537918,10.405112573347921
3.0,1.5,0.0,H4 BODY60 long sweep,317,45.42586750788644,78.02759184154517,0.24614382284399108,1.4712062933861476,12.4998087219753
3.5,1.5,0.0,H4 BODY60 long sweep,317,45.42586750788644,78.02759184154517,0.24614382284399108,1.4712062933861476,12.4998087219753
3.0,999.0,0.3,H4 BODY60 long sweep,343,45.18950437317784,83.36659655347665,0.24305130190517976,1.4603751291476703,15.067327447266972
3.5,999.0,0.3,H4 BODY60 long sweep,343,45.18950437317784,83.36659655347665,0.24305130190517976,1.4603751291476703,15.067327447266972
4.0,999.0,0.4,H4 BODY60 long sweep,190,46.8421052631579,45.619086720907916,0.24010045642583114,1.4750410515647334,11.136414445095506
6.0,999.0,0.2,H4 BODY60 long sweep,80,51.24999999999999,19.189616877801893,0.23987021097252365,1.594231552141237,10.642974902031598
3.0,1.0,0.3,H4 BODY60 long sweep,182,43.956043956043956,42.99435353609803,0.23623271173680238,1.441158926227311,12.228054564081667
3.5,1.0,0.3,H4 BODY60 long sweep,182,43.956043956043956,42.99435353609803,0.23623271173680238,1.441158926227311,12.228054564081667
3.0,1.5,0.3,H4 BODY60 long sweep,237,44.72573839662447,55.8199822031504,0.23552735106814515,1.4485962730568454,11.423065957477258
3.5,1.5,0.3,H4 BODY60 long sweep,237,44.72573839662447,55.8199822031504,0.23552735106814515,1.4485962730568454,11.423065957477258
6.0,999.0,0.0,H4 BODY60 long sweep,84,52.38095238095239,19.470512996262663,0.23179182138407933,1.584658923772178,10.642974902031598
3.0,999.0,0.4,H4 BODY60 long sweep,260,45.38461538461539,59.464270607127396,0.22870873310433615,1.4327864520825644,10.306118368397083
3.5,999.0,0.4,H4 BODY60 long sweep,260,45.38461538461539,59.464270607127396,0.22870873310433615,1.4327864520825644,10.306118368397083
4.0,999.0,0.2,H4 BODY60 long sweep,291,45.36082474226804,66.51204436215549,0.22856372633043123,1.440045341365944,17.87666022986905
3.0,2.0,0.2,H4 BODY60 long sweep,325,44.30769230769231,73.46702618737157,0.2260523882688356,1.4241309739473282,12.762294779437116
3.5,2.0,0.2,H4 BODY60 long sweep,325,44.30769230769231,73.46702618737157,0.2260523882688356,1.4241309739473282,12.762294779437116
4.0,999.0,0.0,H4 BODY60 long sweep,309,45.63106796116505,69.73298704184987,0.22567309722281512,1.4357509651292142,18.053462290240365
6.0,999.0,0.3,H4 BODY60 long sweep,70,51.42857142857142,15.422045351812866,0.22031493359732665,1.5531045936994166,10.825010419784673
3.0,2.0,0.0,H4 BODY60 long sweep,348,44.54022988505747,76.4100372301955,0.2195690725005618,1.4127228053453766,17.58826662035256
3.5,2.0,0.0,H4 BODY60 long sweep,348,44.54022988505747,76.4100372301955,0.2195690725005618,1.4127228053453766,17.58826662035256
3.0,1.5,0.4,H4 BODY60 long sweep,155,45.16129032258064,33.79370426540546,0.21802389848648684,1.4185126949080635,8.06934847020129
3.5,1.5,0.4,H4 BODY60 long sweep,155,45.16129032258064,33.79370426540546,0.21802389848648684,1.4185126949080635,8.06934847020129
4.0,999.0,0.3,H4 BODY60 long sweep,250,45.2,54.15356104797889,0.21661424419191555,1.4182661889550128,14.870944675585179
3.0,2.0,0.3,H4 BODY60 long sweep,268,43.656716417910445,54.202427591800735,0.2022478641485102,1.3764636161688963,11.498717932970692
3.5,2.0,0.3,H4 BODY60 long sweep,268,43.656716417910445,54.202427591800735,0.2022478641485102,1.3764636161688963,11.498717932970692
3.0,2.0,0.6,H4 BODY60 long sweep,78,42.30769230769231,15.705131053909605,0.20134783402448211,1.3693238301226829,6.459693705470628
3.5,2.0,0.6,H4 BODY60 long sweep,78,42.30769230769231,15.705131053909605,0.20134783402448211,1.3693238301226829,6.459693705470628
3.0,0.75,0.2,H4 BODY60 long sweep,178,42.13483146067416,35.14230448237333,0.19742867686726592,1.3549808188020005,10.793099120798441
3.5,0.75,0.2,H4 BODY60 long sweep,178,42.13483146067416,35.14230448237333,0.19742867686726592,1.3549808188020005,10.793099120798441
4.0,1.0,0.4,H4 BODY60 long sweep,82,43.90243902439025,15.906575288847796,0.1939826254737536,1.3723706856063953,10.208716890891079
3.0,0.75,0.0,H4 BODY60 long sweep,201,42.78606965174129,38.08531552519726,0.1894791817173993,1.3433694667543001,13.24125901953198
3.5,0.75,0.0,H4 BODY60 long sweep,201,42.78606965174129,38.08531552519726,0.1894791817173993,1.3433694667543001,13.24125901953198
4.0,1.0,0.2,H4 BODY60 long sweep,175,42.285714285714285,32.89234599408891,0.18795626282336522,1.3441355274026208,18.27279575164028
4.0,1.0,0.0,H4 BODY60 long sweep,193,43.005181347150256,36.11328867378329,0.18711548535639008,1.3457110065954887,19.290391676181383
5.0,1.0,0.0,H4 BODY60 long sweep,102,44.11764705882353,18.179857983403423,0.17823390179807277,1.3546915581176429,7.638541422194668
4.0,1.5,0.0,H4 BODY60 long sweep,239,43.51464435146444,41.23261219816125,0.17252138995046548,1.3237020523819871,19.470302962283068
4.0,1.5,0.2,H4 BODY60 long sweep,221,42.98642533936652,38.01166951846688,0.17199850460844743,1.3207817119231509,18.75118873634383
3.0,0.75,0.3,H4 BODY60 long sweep,128,41.40625,21.907603136862722,0.17115314950674002,1.3052112565537366,12.493197243926417
3.5,0.75,0.3,H4 BODY60 long sweep,128,41.40625,21.907603136862722,0.17115314950674002,1.3052112565537366,12.493197243926417
5.0,1.5,0.0,H4 BODY60 long sweep,127,44.881889763779526,21.277817920802867,0.16754187339214857,1.3430347205002204,8.803784394271725
6.0,1.5,0.2,H4 BODY60 long sweep,61,47.540983606557376,10.04631105037994,0.1646936237767203,1.3854091096127716,8.570291725577452
3.0,2.0,0.4,H4 BODY60 long sweep,185,43.24324324324324,30.300101645451466,0.16378433321865657,1.302117478889359,10.998712261100021
3.5,2.0,0.4,H4 BODY60 long sweep,185,43.24324324324324,30.300101645451466,0.16378433321865657,1.302117478889359,10.998712261100021
5.0,1.0,0.2,H4 BODY60 long sweep,92,42.391304347826086,14.649673670596146,0.15923558337604507,1.3082255969850538,7.360597801680469
6.0,1.5,0.0,H4 BODY60 long sweep,65,49.23076923076923,10.327207168840717,0.15888011028985718,1.3814184101876408,8.289395607116669
4.0,1.5,0.4,H4 BODY60 long sweep,121,43.80165289256198,18.994759885823633,0.15698148665969944,1.299693035556403,12.353289987366393
5.0,2.0,0.0,H4 BODY60 long sweep,136,44.85294117647059,21.154957307099735,0.155551156669851,1.315507451456233,10.044267733082323
5.0,1.5,0.4,H4 BODY60 long sweep,66,45.45454545454545,10.243969800136489,0.15521166363843164,1.3239135102097574,7.914158127233219
6.0,1.0,0.0,H4 BODY60 long sweep,50,48.0,7.722094326214393,0.15444188652428786,1.344465160006134,8.067983579705643
4.0,1.0,0.3,H4 BODY60 long sweep,135,41.48148148148148,20.700441587856904,0.1533366043544956,1.280102890837434,17.085478533465164
4.0,0.75,0.4,H4 BODY60 long sweep,51,43.13725490196079,7.77691651752378,0.15248855916713294,1.2860081890540342,7.145445975906006
5.0,1.5,0.2,H4 BODY60 long sweep,117,43.58974358974359,17.74763360799559,0.15168917613671443,1.3044095074274358,8.504037150391294
6.0,2.0,0.2,H4 BODY60 long sweep,67,47.76119402985074,9.951637316340603,0.1485319002438896,1.3422078333290044,9.57916816636683
4.0,2.0,0.6,H4 BODY60 long sweep,56,41.07142857142857,8.100508049469349,0.1446519294548098,1.267631885596216,5.365281106021141
6.0,2.0,0.0,H4 BODY60 long sweep,71,49.29577464788733,10.23253343480138,0.14412018922255465,1.3400658008276332,9.29827204790605
4.0,1.5,0.3,H4 BODY60 long sweep,180,42.22222222222222,25.653186204290254,0.14251770113494586,1.2649565268109872,17.26538981956685
5.0,2.0,0.2,H4 BODY60 long sweep,126,43.65079365079365,17.624772994292456,0.13987915074835283,1.2783258479657935,10.044267733082323
4.0,2.0,0.0,H4 BODY60 long sweep,261,42.5287356321839,36.162433442885764,0.13855338483864277,1.2536566437913956,18.14241923306485
4.0,2.0,0.2,H4 BODY60 long sweep,243,41.9753086419753,32.94149076319139,0.13556169038350366,1.2464145602803245,17.12482330852374
5.0,2.0,0.4,H4 BODY60 long sweep,75,45.33333333333333,10.121109186433353,0.13494812248577803,1.276170572946525,8.623059142962326
6.0,1.5,0.3,H4 BODY60 long sweep,51,47.05882352941176,6.27873952439092,0.12311253969393961,1.289928782893189,9.3568529487241
6.0,2.0,0.3,H4 BODY60 long sweep,57,47.368421052631575,6.184065790351579,0.1084923822868698,1.2506693500412323,10.36572938951348
4.0,2.0,0.3,H4 BODY60 long sweep,202,41.089108910891085,20.583007449014772,0.10189607648027114,1.1837660589026864,16.552623792670715
5.0,1.5,0.3,H4 BODY60 long sweep,97,42.2680412371134,9.197612680712647,0.09482074928569739,1.1882915672579333,7.522934472902931
4.0,0.75,0.0,H4 BODY60 long sweep,152,39.473684210526315,13.70760003196542,0.09018157915766724,1.1559069748243145,17.611691256446054
5.0,1.0,0.3,H4 BODY60 long sweep,73,41.0958904109589,6.266231651257813,0.08583878974325772,1.1645762737702081,6.091721347715826
5.0,2.0,0.3,H4 BODY60 long sweep,106,42.45283018867924,9.07475206700951,0.08561086855669349,1.1684561399105469,9.015971225283252
4.0,2.0,0.4,H4 BODY60 long sweep,142,41.54929577464789,12.048533121943805,0.08484882480242116,1.1533537335685555,11.954384584996179
4.0,0.75,0.2,H4 BODY60 long sweep,134,38.059701492537314,10.486657352271044,0.0782586369572466,1.1326746960750367,16.594095331904946
5.0,0.75,0.0,H4 BODY60 long sweep,82,39.02439024390244,4.513904542828415,0.05504761637595628,1.0983840646166922,10.609333453243558
4.0,0.75,0.3,H4 BODY60 long sweep,97,37.11340206185567,4.2164677092998275,0.04346873927113224,1.0735040652321872,14.025374037116856
5.0,0.75,0.2,H4 BODY60 long sweep,72,36.11111111111111,0.9837202300211345,0.013662780972515757,1.0233362852719197,10.041903032057144
5.0,0.75,0.3,H4 BODY60 long sweep,53,32.075471698113205,-7.399721789317191,-0.13961739225126774,0.7737086914648718,9.522448546721858
