min_drop_atr,max_recovery_to_drop_bars,min_drop_speed_atr_per_bar,filter,trades,win_rate,total_r,avg_r,pf,max_dd_r
4.0,999.0,0.6,H4 BODY60 long sweep,102,50.0,39.135152769733565,0.3836779683307212,1.8198883288184375,6.69595589209355
6.0,999.0,0.4,H4 BODY60 long sweep,53,58.490566037735846,20.294263396433806,0.38291063012139254,2.1210739490863406,6.183179615818451
5.0,999.0,0.4,H4 BODY60 long sweep,97,52.57731958762887,33.94490465639783,0.3499474706845137,1.8306262761671162,7.234864979825628
3.0,999.0,0.6,H4 BODY60 long sweep,150,46.0,43.369136829649804,0.28912757886433205,1.5518090840198684,7.066160894656823
3.5,999.0,0.6,H4 BODY60 long sweep,150,46.0,43.369136829649804,0.28912757886433205,1.5518090840198684,7.066160894656823
5.0,999.0,0.0,H4 BODY60 long sweep,158,49.36708860759494,44.97875277706421,0.2846756504877482,1.6311108298036818,10.512171958810825
5.0,999.0,0.2,H4 BODY60 long sweep,148,48.64864864864865,41.44856846425693,0.28005789502876305,1.6136633582294397,10.512171958810825
3.0,1.0,0.2,H4 BODY60 long sweep,236,44.91525423728814,64.11302363084661,0.2716653543679941,1.51423292744439,11.242243517830403
3.5,1.0,0.2,H4 BODY60 long sweep,236,44.91525423728814,64.11302363084661,0.2716653543679941,1.51423292744439,11.242243517830403
3.0,0.75,0.4,H4 BODY60 long sweep,66,46.96969696969697,17.886563904131428,0.2710085440019913,1.5357430173649593,7.396223149171341
3.5,0.75,0.4,H4 BODY60 long sweep,66,46.96969696969697,17.886563904131428,0.2710085440019913,1.5357430173649593,7.396223149171341
3.0,1.0,0.0,H4 BODY60 long sweep,259,45.173745173745175,67.05603467367052,0.25890360877865065,1.4909088834927078,10.797932318305513
3.5,1.0,0.0,H4 BODY60 long sweep,259,45.173745173745175,67.05603467367052,0.25890360877865065,1.4909088834927078,10.797932318305513
5.0,999.0,0.3,H4 BODY60 long sweep,128,48.4375,32.89854753697399,0.2570199026326093,1.5663500081703876,9.128455403010143
3.0,999.0,0.2,H4 BODY60 long sweep,400,45.5,102.6311951490475,0.25657798787261876,1.4879671729997537,15.109620456818476
