trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,is_r,is_trades,oos_r,oos_trades,oos_wr,symbol,direction,h4,retrace,recovery,body,hours,months
26,50.0,5.470488688014349,0.21040341107747496,1.4050137062488968,3.1424325719309136,-1.055999086574313,-2.1031498997125135,5.470488688014349,26,0.0,0,,AUDJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug
46,36.95652173913043,-6.37748667266093,-0.1386410146230637,0.7877695573636635,12.368658383300932,-4.253180365694662,-6.051009087437627,-2.7896799945115474,42,-3.5878066781493825,4,0.0,CHFJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug
51,35.294117647058826,-7.917915207119058,-0.15525323935527563,0.7686910820061864,13.215770490398665,-3.6787793356479153,-5.313164177556809,-9.845265205479379,48,1.9273499983603208,3,66.66666666666666,EURJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug
54,44.44444444444444,4.642033757853701,0.08596358810840188,1.1529202219447063,5.153694478984496,-2.636665786401811,-4.275810324852859,8.91784408270656,49,-4.275810324852859,5,0.0,GBPJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug
51,45.09803921568628,-4.8662890175913525,-0.0954174317174775,0.8603845905314229,18.70170280396403,-6.091041378646041,-5.992910663785626,-9.134218003359283,48,4.267928985767931,3,100.0,SILVER,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug
40,67.5,26.131934034414286,0.6532983508603571,2.9310732483757596,2.081693961603568,-2.122314222163909,-0.20318971428424182,20.21808231826434,36,5.913851716149942,4,100.0,USDJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug
56,41.07142857142857,-1.172587680452306,-0.02093906572236261,0.965825485489906,4.270075505029199,-2.842873921979347,-2.016081849278227,0.8434941688259221,54,-2.016081849278227,2,0.0,XAUUSD,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug
25,52.0,6.503137669109744,0.2601255067643898,1.5213239655528454,3.1424325719309136,-1.055999086574313,-2.1031498997125135,6.503137669109744,25,0.0,0,,AUDJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug_dec
44,36.36363636363637,-6.7442585651950875,-0.1532786037544338,0.7675684184695079,12.368658383300932,-4.253180365694662,-6.051009087437627,-3.156451887045705,40,-3.5878066781493825,4,0.0,CHFJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug_dec
47,36.17021276595745,-6.242275271211265,-0.1328143674725801,0.7991442801224151,11.540130554490872,-3.1288323096385753,-4.176956051048695,-8.169625269571586,44,1.9273499983603208,3,66.66666666666666,EURJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug_dec
50,42.0,1.284029041916902,0.02568058083833804,1.0437870234345892,5.588281326783716,-3.0712526342010316,-4.275810324852859,5.5598393667697605,45,-4.275810324852859,5,0.0,GBPJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug_dec
49,46.93877551020408,-2.4319488718049884,-0.04963160962867323,0.9249875804781992,16.267362658177664,-4.777751745064851,-5.803163009373636,-6.69987785757292,46,4.267928985767931,3,100.0,SILVER,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug_dec
40,67.5,26.131934034414286,0.6532983508603571,2.9310732483757596,2.081693961603568,-2.122314222163909,-0.20318971428424182,20.21808231826434,36,5.913851716149942,4,100.0,USDJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug_dec
52,40.38461538461539,-1.9495832777287077,-0.037491986110167456,0.9395007470203861,5.0995588332473005,-3.929546569446,-2.46603781136207,0.06649857154951966,50,-2.016081849278227,2,0.0,XAUUSD,long,any,r50_886,rec25_85,any,ex_1_6_11_14,ex_aug_dec
25,52.0,6.503137669109744,0.2601255067643898,1.5213239655528454,3.1424325719309136,-1.055999086574313,-2.1031498997125135,6.503137669109744,25,0.0,0,,AUDJPY,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug_dec
39,38.46153846153847,-3.996356024888689,-0.10247066730483818,0.8388421540981401,10.247096659599151,-3.587806678149382,-4.568678892396674,-0.40854934673930643,35,-3.5878066781493825,4,0.0,CHFJPY,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug_dec
42,38.095238095238095,-3.5611663835094376,-0.08478967579784376,0.8676964460743384,7.378360584721817,-3.1288323096385753,-4.176956051048695,-4.007855299802535,40,0.4466889162930976,2,50.0,EURJPY,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug_dec
47,44.680851063829785,3.4827292799277716,0.07410062297718663,1.1283921451801948,4.784499587483274,-3.0712526342010316,-4.1468852339938636,7.629614513921635,43,-4.1468852339938636,4,0.0,GBPJPY,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug_dec
44,50.0,1.4941384853914752,0.03395769284980626,1.0546110527327213,12.341275300981206,-3.6011051087849526,-4.4636189903088335,-2.773790500376456,41,4.267928985767931,3,100.0,SILVER,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug_dec
39,66.66666666666666,24.65822308232364,0.6322621303159908,2.8221703332041224,2.081693961603568,-2.122314222163909,-0.20318971428424182,18.7443713661737,35,5.913851716149942,4,100.0,USDJPY,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug_dec
49,42.857142857142854,1.176460178300164,0.024009391393880898,1.0404297527919266,4.9498943223460845,-3.929546569446,-2.46603781136207,3.1925420275783916,47,-2.016081849278227,2,0.0,XAUUSD,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug_dec
26,50.0,5.470488688014349,0.21040341107747496,1.4050137062488968,3.1424325719309136,-1.055999086574313,-2.1031498997125135,5.470488688014349,26,0.0,0,,AUDJPY,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug
40,37.5,-5.030073992080911,-0.12575184980202278,0.8052735871285006,10.247096659599151,-3.587806678149382,-4.568678892396674,-1.442267313931529,36,-3.5878066781493825,4,0.0,CHFJPY,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug
46,36.95652173913043,-5.23680631941723,-0.113843615639505,0.825841178928984,9.05400052062961,-3.1288323096385753,-4.176956051048695,-5.683495235710328,44,0.4466889162930976,2,50.0,EURJPY,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug
50,46.0,5.371921658045055,0.10743843316090111,1.1907831112292933,4.784499587483276,-2.636665786401811,-4.1468852339938636,9.518806892038919,46,-4.1468852339938636,4,0.0,GBPJPY,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug
46,47.82608695652174,-0.9402016603948906,-0.02043916653032371,0.9684432289835057,14.775615446767567,-4.914394742366143,-4.4636189903088335,-5.208130646162822,43,4.267928985767931,3,100.0,SILVER,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug
39,66.66666666666666,24.65822308232364,0.6322621303159908,2.8221703332041224,2.081693961603568,-2.122314222163909,-0.20318971428424182,18.7443713661737,35,5.913851716149942,4,100.0,USDJPY,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug
53,43.39622641509434,1.953455775576567,0.036857656142954096,1.0626394420646013,3.6676754917957557,-2.486310249903939,-2.016081849278227,3.9695376248547944,51,-2.016081849278227,2,0.0,XAUUSD,long,any,r50_886,rec25_85,any,ex_1_6_8_11_14,ex_aug
22,50.0,4.619216405514207,0.2099643820688276,1.4043433854793799,4.167459286656824,-1.055999086574313,-2.1031498997125135,4.619216405514207,22,0.0,0,,AUDJPY,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug_dec
36,38.88888888888889,-3.357007385372783,-0.09325020514924397,0.8525640425411943,11.731668783545263,-4.253180365694662,-6.051009087437627,-0.8063329937763473,33,-2.5506743915964356,3,0.0,CHFJPY,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug_dec
39,33.33333333333333,-7.856203760112918,-0.20144112205417739,0.7081367626057832,11.559346408406885,-4.151924816720563,-6.787476061673616,-9.78355375847324,36,1.9273499983603208,3,66.66666666666666,EURJPY,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug_dec
47,44.680851063829785,4.480188040530834,0.09532314979852838,1.1714690515992006,4.913424678342269,-3.0712526342010316,-4.275810324852859,8.755998365383693,42,-4.275810324852859,5,0.0,GBPJPY,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug_dec
48,47.91666666666667,-1.3336890054992594,-0.027785187614567903,0.9574205405683799,15.169102791871936,-4.777751745064851,-5.803163009373636,-5.601617991267194,45,4.267928985767931,3,100.0,SILVER,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug_dec
36,66.66666666666666,22.76726578782353,0.6324240496617647,2.820977447927022,2.0692889529560037,-2.122314222163909,-0.20318971428424182,18.326810744394784,33,4.440455043428746,3,100.0,USDJPY,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug_dec
48,41.66666666666667,-0.12291307344018954,-0.0025606890300039487,0.9957548808384362,5.515878022720381,-2.842873921979347,-2.2504434582528745,1.8931687758380367,46,-2.016081849278227,2,0.0,XAUUSD,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug_dec
22,50.0,4.619216405514207,0.2099643820688276,1.4043433854793799,4.167459286656824,-1.055999086574313,-2.1031498997125135,4.619216405514207,22,0.0,0,,AUDJPY,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug
37,37.83783783783784,-4.390725352565005,-0.11866825277202717,0.8155388082907798,11.731668783545263,-4.253180365694662,-6.051009087437627,-1.8400509609685698,34,-2.5506743915964356,3,0.0,CHFJPY,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug
43,32.55813953488372,-9.53184369602071,-0.2216707836283886,0.6830106966517879,13.234986344314677,-3.6787793356479153,-6.353836443909321,-11.459193694381032,40,1.9273499983603208,3,66.66666666666666,EURJPY,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug
51,47.05882352941176,7.838192756467631,0.15369005404838493,1.2885958112020397,4.91342467834227,-2.636665786401811,-4.275810324852859,12.114003081320488,46,-4.275810324852859,5,0.0,GBPJPY,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug
50,46.0,-3.7680291512856217,-0.07536058302571243,0.8883768397985371,17.603442937658297,-6.091041378646041,-5.992910663785626,-8.035958137053555,47,4.267928985767931,3,100.0,SILVER,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug
36,66.66666666666666,22.76726578782353,0.6324240496617647,2.820977447927022,2.0692889529560037,-2.122314222163909,-0.20318971428424182,18.326810744394784,33,4.440455043428746,3,100.0,USDJPY,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug
52,42.30769230769231,0.6540825238362113,0.012578510073773296,1.0210716908002586,4.6863946945022805,-2.842873921979347,-2.016081849278227,2.6701643731144387,50,-2.016081849278227,2,0.0,XAUUSD,long,any,r50_886,rec25_85,not_35_45,ex_1_6_11_14,ex_aug
30,50.0,6.3379506872364875,0.2112650229078829,1.4075219498276677,4.170826160508369,-2.067676260795856,-3.123675347370169,6.3379506872364875,30,0.0,0,,AUDJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,none
51,37.254901960784316,-6.744475408329058,-0.13224461584958938,0.7967665253245813,14.845235240720882,-4.253180365694662,-7.104125581179343,-3.1566687301796756,47,-3.5878066781493825,4,0.0,CHFJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,none
56,37.5,-5.6256644869345465,-0.10045829440954547,0.8449873919487798,11.078942818492212,-4.7090416993705,-6.343426541279394,-7.5530144852948675,53,1.9273499983603208,3,66.66666666666666,EURJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,none
59,44.06779661016949,4.4095523097864096,0.07473817474214253,1.1317654026560933,6.962165254207787,-3.079796851248439,-5.306494720345281,9.716047030131689,53,-5.306494720345281,6,0.0,GBPJPY,long,any,r50_886,rec25_85,any,ex_1_6_11_14,none
57,43.859649122807014,-7.683362311509893,-0.13479583002648934,0.8078851017281393,21.51877609788257,-7.43393036013814,-7.3357996452777225,-11.951291297277827,54,4.267928985767931,3,100.0,SILVER,long,any,r50_886,rec25_85,any,ex_1_6_11_14,none
