,,pf,pf,total_r,total_r,trades,trades,win_rate,win_rate
period,,IS_2015-2019,OOS_2020-2024,IS_2015-2019,OOS_2020-2024,IS_2015-2019,OOS_2020-2024,IS_2015-2019,OOS_2020-2024
mode,symbol,,,,,,,,
conservative,AUDJPY,0.844,1.241,-5.0,7.0,41,41,21.95,29.27
conservative,CHFJPY,0.955,2.294,-1.0,22.0,29,30,24.14,43.33
conservative,EURJPY,1.636,1.0,14.0,-0.0,34,24,35.29,25.0
conservative,GBPJPY,1.5,10.0,5.0,27.0,15,13,33.33,76.92
conservative,SILVER,2.455,2.727,16.0,19.0,20,21,45.0,47.62
conservative,USDJPY,2.769,0.923,23.0,-1.0,25,17,48.0,23.53
conservative,XAUUSD,2.87,1.857,43.0,18.0,45,34,48.89,38.24
relaxed,AUDJPY,1.19,2.114,12.0,49.0,88,75,28.41,41.33
relaxed,CHFJPY,1.154,2.714,4.0,36.0,36,40,27.78,47.5
relaxed,EURJPY,1.404,1.071,19.0,4.0,69,76,31.88,26.32
relaxed,GBPJPY,1.519,1.233,42.0,21.0,122,127,33.61,29.13
relaxed,SILVER,1.582,1.3,32.0,18.0,84,86,34.52,30.23
relaxed,USDJPY,1.397,1.853,23.0,29.0,85,55,31.76,38.18
relaxed,XAUUSD,1.787,1.824,37.0,42.0,75,82,37.33,37.8
