sample,symbol,timeframe,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_hold_bars
IS_2015_2024,AUDJPY,H4,53,39.62264150943396,6.272903364595014,0.1183566672565097,1.2017583094192616,6.096248520466745,6,57.283018867924525
IS_2015_2024,EURJPY,H4,51,35.294117647058826,2.9605749861999335,0.05805048992548889,1.088749528503069,8.097673593413054,6,53.92156862745098
IS_2015_2024,USDJPY,H4,55,36.36363636363637,2.1889925383815556,0.0397998643342101,1.0655648612656634,7.683548247218547,7,61.127272727272725
OOS_2025_2026,USDJPY,H4,6,33.33333333333333,1.9597524226090481,0.32662540376817467,1.4866342216865975,2.0109426309167184,2,60.0
OOS_2025_2026,CHFJPY,H4,10,40.0,0.29324057274950177,0.029324057274950178,1.0482107603291664,4.052795176825782,4,71.6
OOS_2025_2026,AUDJPY,H4,5,60.0,-0.6592222212204512,-0.13184444424409023,0.6737396836249931,1.0405627545472849,1,89.4
OOS_2025_2026,EURJPY,H4,9,22.22222222222222,-1.094695655415589,-0.12163285060173212,0.8450969105292881,4.044223618673933,5,35.666666666666664
OOS_2025_2026,XAUUSD,H4,7,28.57142857142857,-1.8214452411390671,-0.2602064630198667,0.637448702086942,5.023965578454117,5,63.857142857142854
OOS_2025_2026,GBPJPY,H4,5,40.0,-1.8373513087237108,-0.3674702617447422,0.3966915509241419,1.023017352796534,1,67.2
OOS_2025_2026,SILVER,H4,3,0.0,-2.627607591032894,-0.8758691970109647,0.0,2.0155399593325427,3,49.0
IS_2015_2024,CHFJPY,H4,54,33.33333333333333,-3.590263591391029,-0.06648636280353758,0.9019420281784618,13.474384845795434,7,51.888888888888886
IS_2015_2024,SILVER,H4,49,34.69387755102041,-4.741061411495666,-0.09675635533664625,0.8624417230977673,8.514929590802833,7,53.97959183673469
IS_2015_2024,XAUUSD,H4,49,24.489795918367346,-14.614031009672123,-0.2982455308096352,0.5911872695374011,17.8417346468116,8,50.30612244897959
IS_2015_2024,GBPJPY,H4,57,19.298245614035086,-25.102951840071782,-0.4404026638609084,0.4540635560465203,24.09634166981987,18,48.1578947368421
