symbol,timeframe,signal_time,direction,grade,risk_weight,score,reasons,trigger_level,stop,wall_ratio,wall_level,wall_dist_atr,channel_level,channel_dist_atr,slope_atr_per_bar,retrace,time_ratio,wave3_vs_wave1,signal_body_ratio,pivots,entry_time,entry,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,weighted_r_after_cost,year,sample
USDJPY,H4,2015-01-14 00:00:00,short,normal,1.0,11.0,"A-break,deep-retrace,wall-reaction,diagonal-return,gentle-channel,break-candle,wave3-strength",117.736,118.95699093066573,0.736,118.900352,0.09633065294177463,119.08764285714285,0.44766751535410315,-0.08642488698096494,0.7035398230088521,0.25,0.8491680085882952,0.5199999999999886,1634-1647-1648-1652-1653,2015-01-14 04:00:00,117.502,113.1370272080028,2015-02-06 12:00:00,118.95699093066573,SL,107,1.4549909306657298,-1.0,-1.0068728950739338,-1.0068728950739338,2015,IS_2015_2024
SILVER,H4,2015-01-29 08:00:00,short,half,0.5,10.0,"A-break,deep-retrace,wall-reaction,gentle-channel,time-balanced,break-candle,wave3-strength",17.523,18.226530529696245,0.736,18.213368,0.1264716890747588,18.458749999999995,1.3034239042046263,-0.001199102027788638,0.707889125799576,0.5,2.5080213903743127,0.8668280871670624,1687-1691-1695-1701-1704,2015-01-29 12:00:00,17.479,15.236408410911263,2015-02-25 20:00:00,16.532,time_exit,120,0.7475305296962453,1.2668378914033211,1.2200170612036205,0.6100085306018103,2015,IS_2015_2024
AUDJPY,H4,2015-02-20 16:00:00,long,half,0.5,9.0,"A-break,deep-retrace,wall-reaction,gentle-channel,break-candle,wave3-strength",93.366,92.09186899025808,0.618,92.257308,0.2147857873177266,91.8215294117647,0.8824037748608213,0.04487551926532806,0.6655518394648855,2.5,1.5764499121265476,0.6617405582922823,1790-1801-1807-1811-1821,2015-02-20 20:00:00,93.398,97.31639302922575,2015-03-11 12:00:00,92.09186899025808,SL,79,1.306131009741918,-1.0,-1.0095702497733812,-0.5047851248866906,2015,IS_2015_2024
XAUUSD,H4,2015-03-02 00:00:00,long,half,0.5,8.0,"A-break,deep-retrace,wall-reaction,channel-kairi,time-balanced,break-candle,wave3-strength",1219.941,1203.2105957472043,0.764,1205.522792,0.1859182467679196,1216.3275714285714,2.039415641170416,0.26175196423145164,0.8214285714285658,1.5,0.8821164812564302,0.7689021785561747,1829-1833-1836-1840-1846,2015-03-02 04:00:00,1221.152,1274.9762127583874,2015-03-03 00:00:00,1203.2105957472043,SL,5,17.94140425279579,-1.0,-1.019507949047277,-0.5097539745236385,2015,IS_2015_2024
EURJPY,H4,2015-03-04 08:00:00,short,half,0.5,9.0,"A-break,half-retrace,wall-reaction,gentle-channel,time-balanced,break-candle,wave3-strength",133.43,134.65393942972477,0.618,134.61656,0.09169089356394856,134.9944444444444,1.039408682815695,-0.05573236905179074,0.5989583333333401,0.7777777777777778,1.8285714285713968,0.7738095238094936,1800-1801-1809-1818-1825,2015-03-04 12:00:00,133.12,128.5181817108257,2015-03-11 08:00:00,128.5181817108257,TP,30,1.533939429724768,3.0,2.991851047207104,1.495925523603552,2015,IS_2015_2024
SILVER,H4,2015-03-11 12:00:00,short,half,0.5,7.0,"A-break,deep-retrace,wall-reaction,near-diagonal,too-fast-pullback,break-candle",15.602,15.869860797227911,0.618,15.831896,0.06657547277684916,15.75,0.6654622169039945,-0.2340086916585495,0.6424731182795673,0.16666666666666666,0.5849056603773574,0.6098765432098745,1871-1881-1883-1889-1890,2015-03-11 16:00:00,15.387,13.938417608316268,2015-03-18 16:00:00,15.869860797227911,SL,31,0.48286079722791087,-1.0,-1.0724846585204972,-0.5362423292602486,2015,IS_2015_2024
GBPJPY,H4,2015-03-18 08:00:00,short,half,0.5,6.0,"A-break,half-retrace,wall-reaction,channel-kairi,steep-channel,time-balanced,break-candle,wave3-strength",178.21,180.2756406775913,0.5,179.98000000000002,0.3279013360279136,177.39799999999997,5.031463833940086,-0.4954953522200228,0.5508474576271166,0.7777777777777778,1.499999999999988,0.9771428571428616,3447-3449-3452-3461-3468,2015-03-18 12:00:00,177.25,168.1730779672261,2015-03-18 20:00:00,180.2756406775913,SL,2,3.025640677591298,-1.0,-1.0066101702519097,-0.5033050851259548,2015,IS_2015_2024
USDJPY,H4,2015-03-18 16:00:00,short,half,0.5,6.0,"A-break,bad-retrace,near-wall,diagonal-return,gentle-channel,time-balanced,break-candle,wave3-strength",120.654,121.63043861317081,0.764,121.428696,0.430832956503048,121.45975000000001,0.33747138507970575,-0.089441191145855,0.9053254437869795,1.3333333333333333,0.8644501278772451,0.8166986564299651,1900-1905-1912-1915-1919,2015-03-18 20:00:00,120.065,115.36868416048756,2015-04-15 04:00:00,119.503,time_exit,120,1.5654386131708122,0.3590048151819002,0.3526168291466409,0.17630841457332044,2015,IS_2015_2024
SILVER,H4,2015-04-06 00:00:00,long,normal,1.0,9.0,"A-break,deep-retrace,near-wall,diagonal-return,gentle-channel,wave3-strength",17.082,16.55387314749165,0.764,16.64652,0.35318801513416537,16.581125,0.03486188825458873,0.058597641959844786,0.8684210526315803,2.5,1.446700507614207,0.30263157894736226,1980-1983-1988-1990-1995,2015-04-06 04:00:00,17.104,18.754380557525046,2015-04-08 12:00:00,16.55387314749165,SL,14,0.5501268525083489,-1.0,-1.0636216898710085,-1.0636216898710085,2015,IS_2015_2024
USDJPY,H4,2015-04-17 08:00:00,short,half,0.5,7.0,"A-break,deep-retrace,wall-reaction,time-balanced",118.789,119.54028877007335,0.736,119.49188,0.06093941482775592,119.144,0.9543672724465777,-0.2918554349989535,0.7141361256544538,1.0,0.5386350817822901,0.27624309392262936,2051-2058-2062-2065-2068,2015-04-17 12:00:00,118.715,116.23913368977998,2015-04-21 04:00:00,119.54028877007335,SL,11,0.8252887700733424,-1.0,-1.012116970886569,-0.5060584854432845,2015,IS_2015_2024
