time,open,high,low,close,EMA,Blocked Long,Blocked Short
1672614000,158.578,158.578,157.875,158.403,,0,0
1672617600,158.403,158.534,158.174,158.245,,0,0
1672621200,158.245,158.476,158.207,158.281,,0,0
1672624800,158.281,158.404,158.251,158.251,,0,0
1672628400,158.251,158.251,158.1,158.135,,0,0
1672632000,158.135,158.188,158.112,158.166,,0,0
1672635600,158.166,158.176,158.086,158.119,,0,0
1672639200,158.119,158.176,157.998,158.109,,0,0
1672642800,158.109,158.174,157.945,157.96,,0,0
1672646400,157.96,158.153,157.715,157.774,,0,0
1672650000,157.774,157.942,157.646,157.674,,0,0
1672653600,157.674,157.707,157.558,157.653,,0,0
1672657200,157.653,157.764,157.61,157.632,,0,0
1672660800,157.632,157.671,157.52,157.574,,0,0
1672664400,157.574,157.59,157.426,157.444,,0,0
1672668000,157.444,157.622,157.44,157.534,,0,0
1672671600,157.534,157.666,157.5,157.515,,0,0
1672675200,157.515,157.625,157.36,157.532,,0,0
1672678800,157.532,157.606,157.508,157.585,,0,0
1672682400,157.585,157.594,157.52,157.564,,0,0
1672686000,157.564,157.574,157.49,157.508,,0,0
1672689600,157.508,157.566,157.49,157.52,,0,0
1672693200,157.52,157.534,157.418,157.454,,0,0
1672696800,157.454,157.647,157.421,157.546,,0,0
1672700400,157.546,158.392,157.432,157.778,,0,0
1672704000,157.778,157.913,157.436,157.442,,0,0
1672707600,157.442,157.458,156.383,156.852,,0,0
1672711200,156.852,157.108,156.716,156.937,,0,0
1672714800,156.937,157.012,156.648,156.708,,0,0
1672718400,156.708,156.721,156.453,156.46,,0,0
1672722000,156.46,156.838,156.437,156.69,,0,0
1672725600,156.69,156.835,156.454,156.636,,0,0
1672729200,156.636,156.94,156.462,156.506,,0,0
1672732800,156.506,156.615,155.734,155.796,,0,0
1672736400,155.796,155.851,155.356,155.51,,0,0
1672740000,155.51,155.803,155.41,155.643,,0,0
1672743600,155.643,156.212,155.604,156.156,,0,0
1672747200,156.156,156.742,156.13,156.594,,0,0
1672750800,156.594,156.88,156.4,156.7,,0,0
1672754400,156.7,157.108,156.554,156.618,,0,0
1672758000,156.618,157.332,156.616,157.01,,0,0
1672761600,157.01,157.074,156.508,156.594,,0,0
1672765200,156.594,156.675,156.38,156.492,,0,0
1672768800,156.492,156.61,156.411,156.483,,0,0
1672772400,156.483,156.738,156.424,156.728,,0,0
1672776000,156.728,156.862,156.722,156.803,,0,0
1672779600,156.803,156.848,156.661,156.76,,0,0
1672783200,156.76,156.856,156.752,156.798,,0,0
1672786800,156.798,157.272,156.78,157.114,,0,0
1672790400,157.114,157.253,156.811,157.09,157.20152,0,0
1672794000,157.09,157.26,156.628,156.702,157.18193098039214,0,0
1672797600,156.702,156.946,156.692,156.785,157.16636505959244,0,0
1672801200,156.785,156.883,156.596,156.642,157.14580172392215,0,0
1672804800,156.642,156.944,156.636,156.896,157.13600557788598,0,0
1672808400,156.896,156.978,156.784,156.824,157.1237700650277,0,0
1672812000,156.824,156.824,156.638,156.702,157.1072300624776,0,0
1672815600,156.702,156.784,156.507,156.64,157.08890731492946,0,0
1672819200,156.64,157.303,156.613,157.195,157.0930678123832,0,0
1672822800,157.195,157.478,157.15,157.294,157.10094750601522,0,0
1672826400,157.294,157.676,157.292,157.394,157.1124397606813,0,0
1672830000,157.394,157.516,157.148,157.358,157.12206957398791,0,0
1672833600,157.358,157.784,157.353,157.64,157.14238057108642,0,0
1672837200,157.64,157.656,157.48,157.594,157.16009113692616,0,0
1672840800,157.594,158.173,157.56,158.118,157.19765619038003,1,0
1672844400,158.118,159.13,157.91,159.01,157.26872849663962,0,0
1672848000,159.01,159.228,158.812,159.21,157.34485679088905,0,0
1672851600,159.21,160.179,159.161,159.93,157.44623495595224,0,0
1672855200,159.93,159.968,159.748,159.813,157.53904927140508,0,0
1672858800,159.813,160,159.688,159.923,157.63253753527155,0,0
1672862400,159.923,160.022,159.82,159.998,157.72530076918247,0,0
1672866000,159.998,160.01,159.912,159.954,157.81270073901845,0,0
1672869600,159.954,159.954,159.656,159.662,157.8852222786648,0,0
1672873200,159.662,159.78,159.287,159.446,157.94642924812894,0,0
1672876800,159.446,159.49,159.053,159.237,157.99703986584936,0,0
1672880400,159.237,159.326,159.007,159.207,158.04448928287488,0,0
1672884000,159.207,159.27,158.96,159.022,158.08282303648764,0,0
1672887600,159.022,159.373,158.988,159.31,158.13094762329206,0,0
1672891200,159.31,159.388,159.118,159.279,158.17596928512376,0,0
1672894800,159.279,159.6,159.268,159.479,158.2270685288444,0,0
1672898400,159.479,159.604,159.234,159.25,158.26718348849755,0,0
