symbol,timeframe,events,median_bars_after_h3,median_mfe_24,median_mae_24,median_fwd_24,pct_mfe24_ge_3,pct_hit1_first_24,median_mfe24_vs_prev_leg,median_mfe_48,median_mae_48,median_fwd_48,pct_mfe48_ge_3,pct_hit1_first_48,median_mfe48_vs_prev_leg,median_mfe_120,median_mae_120,median_fwd_120,pct_mfe120_ge_3,pct_hit1_first_120,median_mfe120_vs_prev_leg,median_prev_leg_avg_atr
CHFJPY,H1,240,24.0,2.058096752855949,2.132369264926101,0.26098184604711816,34.166666666666664,40.416666666666664,0.574648722423549,2.775683913017609,2.968700415083771,-0.2307976861579491,47.91666666666667,40.416666666666664,0.7056486927407856,4.284512814667599,4.87315147678996,-0.23123187519381522,63.33333333333333,40.416666666666664,1.0908054595939556,3.8084687778380255
SILVER,H1,231,19.0,1.9214450870970017,2.1097594971663303,-0.024878386460214393,30.735930735930733,46.320346320346324,0.4721582939291037,2.8900297142870577,3.0084240812338727,0.326511642718995,48.917748917748916,46.320346320346324,0.702241792247286,4.8676300250173945,4.784422289313997,0.13319238549431905,68.83116883116884,46.320346320346324,1.2310008692340444,3.954071567015488
EURJPY,H1,226,18.5,2.0508995732712787,2.22002771065283,-0.3204035706088386,35.84070796460177,45.13274336283185,0.48010023744334873,3.0037165856583252,3.510751934075953,-0.34770377161796573,50.442477876106196,45.13274336283185,0.7271937388615792,4.8770187886688845,5.63484274965889,-0.13547885614442612,65.929203539823,45.13274336283185,1.1629656614352517,4.063902520157198
USDJPY,H1,226,20.5,2.224125991623851,1.8765458032675464,0.43248674970207146,37.610619469026545,50.0,0.5475592552809312,3.471675377335938,3.2739462212019834,0.8122090655984037,55.75221238938053,50.442477876106196,0.8082403122840429,5.468642660679466,5.3486930284653775,1.429802194778266,74.33628318584071,50.442477876106196,1.3340441624673345,4.017255459434932
AUDJPY,H1,217,13.0,2.0559673846992252,2.2466445101478247,0.2447697370768821,29.493087557603687,46.54377880184332,0.5048208485255165,2.8421878858735194,3.3080585945306114,-0.02494018381983247,47.004608294930875,47.004608294930875,0.6830690347777021,4.98604863406056,4.690596140932398,0.8558811461010678,69.12442396313364,47.004608294930875,1.223160889763353,3.9531015491082355
XAUUSD,H1,214,23.0,2.336947099774803,2.268405857611522,0.2227291110014133,35.51401869158878,53.271028037383175,0.5621324926865652,3.529813138496019,3.605994981803076,0.4132417834113157,54.67289719626168,53.271028037383175,0.840099378259708,5.820694662753315,5.274243147880584,0.6299087392697399,67.7570093457944,53.271028037383175,1.3505235477221875,3.8594225042036916
GBPJPY,H1,197,16.0,2.623482651541579,1.9182624502781187,0.5095759527147639,43.14720812182741,46.192893401015226,0.5905008013572013,3.515959084523459,2.9474155590559037,0.14709704950460858,57.868020304568525,46.192893401015226,0.8240897726117165,5.932914330018958,4.788135875905374,0.9661253870128131,76.14213197969542,46.192893401015226,1.4476260659899258,4.076443776305558
CHFJPY,H4,141,16.0,2.253340163935101,1.812650825756432,0.6030497861527567,39.71631205673759,44.680851063829785,0.7645678038180765,3.5559957998931133,2.4725419261779313,0.702317415466087,56.02836879432624,44.680851063829785,1.0484554678169893,4.884829552740437,4.028207082354253,0.3210860585996124,70.2127659574468,44.680851063829785,1.6893594994906007,2.992093672631059
USDJPY,H4,124,18.0,2.339395347391095,1.8350894919105265,-0.18847168902623382,35.483870967741936,48.38709677419355,0.6069639030544169,3.5674279870654226,3.179676390245783,0.2993717184233234,54.83870967741935,48.38709677419355,0.9311768533868963,5.105186245868744,4.689940644221356,1.4099985657771996,72.58064516129032,48.38709677419355,1.4702485969948378,3.3635236820906482
EURJPY,H4,122,18.0,1.9822861372953475,2.2763685328585685,-0.3683042462527394,31.147540983606557,49.18032786885246,0.6323653928259254,2.850892908163364,3.317607892369222,-0.206224685022751,48.36065573770492,49.18032786885246,0.8713412799503473,5.248211505906032,4.674396509025854,-0.29621074013454207,68.85245901639344,49.18032786885246,1.549216569364542,3.103565259248918
SILVER,H4,121,12.0,2.786111118618203,1.8515047860898992,0.7243021733404599,47.107438016528924,55.371900826446286,0.7817375483938322,3.6426527217779876,2.582094772184935,1.0463802792300558,56.19834710743802,55.371900826446286,1.0576396704939404,6.094760345419021,4.029811248799269,1.4331682695551415,76.85950413223141,55.371900826446286,1.8552805574451587,3.3578995823008047
GBPJPY,H4,112,10.0,2.246164042525324,2.078402997780217,-0.23875183537909925,33.035714285714285,41.964285714285715,0.5786586723209359,2.936952763621517,2.9804588860999752,0.18482134614824186,48.214285714285715,41.964285714285715,0.8650690605174114,4.89236401821527,5.107342233800109,0.17894726059206562,71.42857142857143,41.964285714285715,1.405377620883014,3.410497742765552
AUDJPY,H4,111,15.0,2.242219898401808,2.104773002320863,0.23249799282234462,37.83783783783784,51.35135135135135,0.6999685862735919,3.150900830650067,2.687305804948336,0.19366144230631796,52.25225225225225,51.35135135135135,0.8531813982297405,5.186213457740544,5.112742100422631,0.794797787192584,72.07207207207207,51.35135135135135,1.4099032687088338,3.280185131377209
XAUUSD,H4,107,14.0,2.476154149215845,2.123383710437272,0.7890503099695464,43.925233644859816,47.66355140186916,0.7768994383675786,4.245308551956381,2.706465951208311,1.7017236721913356,63.55140186915887,47.66355140186916,1.2621823508036174,6.444449513243474,4.611651797408601,1.3537001994008135,78.50467289719626,47.66355140186916,1.8284100431298642,3.270057075205023
