timeframe,family,strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_fwd_4_atr,avg_fwd_8_atr,avg_fwd_16_atr,avg_fwd_24_atr,avg_mfe_16_atr,avg_mae_16_atr,hit_1atr_first_16
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6_Q,850,45.05882352941176,85.38722483525854,0.10045555862971592,1.1798503326751362,25.141215054889862,13,3.9105882352941177,0.035828767321158465,0.14663414047397447,0.03664489374616203,0.06609723450680943,2.3268840145767173,-2.253258864324306,54.470588235294116
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6,1165,43.69098712446352,76.44324929754396,0.06561652300218365,1.1142338577985718,25.051751182969287,12,3.690128755364807,0.039286409468039234,0.12085435437446058,0.04317565288490679,0.0810994311476307,2.3127601302084377,-2.2502248454100298,52.87553648068669
D1,RSI 70/30否定,RSI_70_30_REJECT_6_Q,362,46.68508287292818,52.110014291286,0.14395031572178452,1.264668340798351,14.31810011214411,7,3.6740331491712706,0.1935964170555591,0.22397583347370179,-0.03811112154707284,-0.03249009694857977,2.3812790792638676,-2.273796542214603,55.24861878453039
D1,RSI 70/30否定,RSI_70_30_REJECT_6,537,44.320297951582866,44.838017597732716,0.0834972394743626,1.1467340652955866,21.187632168449554,12,3.446927374301676,0.1429730961495525,0.09767610275669292,-0.10107997079938962,-0.05299239053434413,2.3030024273137086,-2.3243465152908347,52.327746741154556
D1,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6_Q,470,44.46808510638298,34.314731668333984,0.07301006737943401,1.1293086029471988,13.89639161132763,10,3.597872340425532,0.05978751038430584,0.10619126849014998,-0.07885475991163142,-0.12452498951576642,2.3598808175055774,-2.3763033571738665,53.404255319148945
D1,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6,650,42.769230769230774,21.286561367095594,0.03274855594937784,1.056148752769837,25.304864659496968,12,3.3184615384615386,0.045118239124629964,0.047533017673502556,-0.04567119242796359,-0.07803525436824643,2.3402818598015047,-2.3788694095398,50.61538461538462
D1,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6_Q,345,41.15942028985507,4.955653207509929,0.014364212195680954,1.0238700839524761,28.3455050628704,9,3.5101449275362318,0.09493208380888667,0.15836215426186517,0.000258059920249412,0.29670771264781143,2.292848674319627,-2.1749884785280065,49.275362318840585
D1,EMA200クロス否定,EMA200_CROSS_FAIL_6_Q,269,41.2639405204461,2.594852294889627,0.009646291059069246,1.0161733387127718,20.345733647143,9,3.9107806691449816,-0.11543645349879632,-0.026505897200863673,-0.05324087537909984,0.09241503264472138,2.11930244973977,-2.2210419048257686,49.814126394052046
D1,EMA200クロス否定,EMA200_CROSS_FAIL_6,390,41.02564102564102,-2.652575167576603,-0.006801474788657956,0.9886926134301662,23.429226111099965,8,3.8,-0.07182538794967949,0.08800880555201006,-0.12597665824477758,-0.07984594948360338,2.1510114950984875,-2.202060551905866,49.48717948717949
D1,Bollinger外側否定,BB_OUTER_REJECT_3,1335,40.97378277153558,-9.565581189639154,-0.0071652293555349465,0.9881286184668302,84.09361352627484,15,3.302621722846442,-0.018546985016786754,0.051079791722242356,0.10982584682084462,0.15124415531688673,2.3256775426931977,-2.3206646729839244,49.58801498127341
