timeframe,family,strategy,direction,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_fwd_4_atr,avg_fwd_8_atr,avg_fwd_16_atr,avg_fwd_24_atr,avg_mfe_16_atr,avg_mae_16_atr,hit_1atr_first_16
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6,long,505,46.33663366336634,74.24026007879222,0.14701041599760836,1.2673959662899812,20.011036661989586,9,3.875247524752475,0.11405340722187306,0.3062145173306643,0.33358590914919883,0.6055484979294874,2.3273787860451005,-2.0962735476794867,55.64356435643565
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6_Q,long,368,47.28260869565217,63.29275167754044,0.17199117303679468,1.3198537994647963,14.873384442017391,7,4.173913043478261,0.12053530023500338,0.2905902880959827,0.302116064430267,0.4719033816165877,2.295985157017689,-2.1476858368756946,57.065217391304344
D1,RSI 70/30否定,RSI_70_30_REJECT_6_Q,long,163,50.920245398773,40.812020323518624,0.2503804927823228,1.4975245538618227,9.97564999322355,7,3.8404907975460123,0.4130432825832059,0.4973884727977438,0.5776943109966713,0.6252264248073175,2.547748143528732,-1.8915755943015007,61.963190184049076
D1,RSI 70/30否定,RSI_70_30_REJECT_6,long,247,46.963562753036435,37.543984700715015,0.15199993805957496,1.2794344664313924,8.06953978453796,8,3.4979757085020244,0.3066136195061742,0.33908853103729436,0.3711164949463448,0.589048023874969,2.4159290316317277,-2.0222735149992337,55.87044534412956
D1,Bollinger外側否定,BB_OUTER_REJECT_6,long,615,43.2520325203252,30.989781123432078,0.05038988800558061,1.0864776224486006,32.26552897133507,14,3.432520325203252,0.08197230115941355,0.21111058374139358,0.3895847059417351,0.5949670062108539,2.4027061279571127,-2.2037110300841,52.03252032520326
D1,Bollinger外側否定,BB_OUTER_REJECT_12,long,618,43.203883495145625,30.397273789907672,0.04918652716813539,1.0843415938363756,31.91949550502775,14,3.4223300970873787,0.07932676997692677,0.2029980352274476,0.39173709424578895,0.593849416809616,2.399106988908584,-2.206216600342832,51.94174757281553
D1,Bollinger外側否定,BB_OUTER_REJECT_3,long,609,43.18555008210181,29.90061981424842,0.04909789788874946,1.0842098332315857,31.211105246922223,14,3.4417077175697863,0.07794855491699085,0.21003758442535955,0.37513445289613734,0.5733937840034449,2.389216132382916,-2.2130430209056016,52.052545155993435
D1,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6,long,242,45.45454545454545,27.561335982033786,0.11388981810757763,1.2034404954068743,19.880179464868117,8,3.487603305785124,0.1842985890756614,0.29536970570965204,0.3457106275561636,0.5094286638254851,2.3744471712641717,-2.150205848599526,53.30578512396694
D1,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6_Q,long,174,46.55172413793103,24.58422431174356,0.14128864546979059,1.2577486486147071,14.45968238930817,7,3.7758620689655173,0.22768265975453353,0.33865196378691126,0.26843938728512384,0.23416982833431252,2.3431007990820865,-2.130769808443192,56.32183908045977
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6_Q,short,482,43.36099585062241,22.094473157718085,0.04583915592887569,1.0797957112603667,33.270279207294635,13,3.7095435684647304,-0.028843440380698256,0.03649721256358151,-0.16590795374046274,-0.24397593844137186,2.35047484358444,-2.3338623375630805,52.4896265560166
