timeframe,family,strategy,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_fwd_4_atr,avg_fwd_8_atr,avg_fwd_16_atr,avg_fwd_24_atr,avg_mfe_16_atr,avg_mae_16_atr,hit_1atr_first_16
H4,RSI 70/30否定,RSI_70_30_REJECT_6_Q,XAUUSD,332,43.07228915662651,36.758672131790355,0.11071889196322396,1.1852789599242328,26.157530972110155,7,3.894578313253012,-0.04938262083083643,0.04860062851990749,0.16641202584366444,0.05134476808287574,2.1383866445636137,-2.0959735759226605,49.096385542168676
H4,RSI 70/30否定,RSI_70_30_REJECT_6,XAUUSD,457,42.01312910284464,28.43652560023485,0.06222434485828195,1.102377214424882,22.400264887613417,10,3.8183807439824946,-0.04034076693392784,0.06341278599993276,0.09672431740773133,0.05086791687455136,2.1762715315394145,-2.176914112089417,48.14004376367615
H4,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6_Q,EURJPY,252,45.23809523809524,28.15035992615865,0.11170777748475655,1.1981844830042643,11.547188205591567,6,3.5634920634920637,0.10248245987559174,0.049442236760424724,-0.10211904079270386,0.08932373109196912,2.3297412000631894,-2.269093770414724,55.55555555555556
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6_Q,SILVER,116,53.44827586206896,27.78577837499005,0.23953257219819007,1.4811162674299867,9.742710249672477,8,5.370689655172414,0.05898798334022347,0.3643259963038378,0.06886778972638204,0.17378002924996777,2.481136175311413,-2.3812615920208127,57.758620689655174
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6,GBPJPY,170,45.88235294117647,25.744993960635952,0.15144114094491737,1.2776607039005388,7.779711748976261,7,3.3,0.09033400331074115,0.27612544401830286,0.4576316942900389,0.7850091563923747,2.568121854648448,-2.0409966521723626,55.294117647058826
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6_Q,EURJPY,123,49.59349593495935,25.474079472204803,0.20710633717239676,1.4098562001693358,6.348589249228327,5,3.3821138211382116,0.14659675175676265,-0.022420719074400845,-0.10596268523387488,0.009571025353241374,2.201663560213021,-2.281063623744489,59.34959349593496
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6,EURJPY,156,46.794871794871796,22.170224315620132,0.14211682253602648,1.2656673197104347,8.104163866810763,7,3.1794871794871793,0.08705190231498453,-0.012999043203669548,-0.053144127248889894,-0.03598882060478153,2.219693775889662,-2.2642356973697733,56.41025641025641
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6_Q,GBPJPY,133,45.86466165413533,20.823511546149174,0.15656775598608402,1.2876455581537947,7.207358744040711,7,3.142857142857143,0.09888306460786671,0.3267134426681823,0.5888646349180291,0.765178766741642,2.6976447898256226,-2.097912350807906,55.639097744360896
D1,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6,CHFJPY,99,50.505050505050505,20.51535212496703,0.20722577904007103,1.413708483032572,6.693117505044434,4,3.3838383838383836,0.10096874336910046,0.08350416732661688,-0.32973474645376505,-0.09042266182045386,2.201105453601009,-2.2689358576165,55.55555555555556
D1,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6,SILVER,83,53.01204819277109,18.965049576253826,0.22849457320787742,1.4495994320246655,7.402013726109731,7,4.325301204819277,0.044897397044057194,0.5306383987936282,0.010732862861582513,-0.7182954424176938,2.5834492717245467,-2.6169062285474514,53.01204819277109
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6,SILVER,168,48.214285714285715,18.827273860168567,0.11206710631052719,1.2004638248984667,14.194912075576248,11,4.559523809523809,0.11189353214095235,0.44252727013644005,0.2857961458692236,0.041343756140938145,2.529742472991991,-2.3186931025540254,52.976190476190474
D1,Bollinger外側否定,BB_OUTER_REJECT_3,EURJPY,188,45.21276595744681,17.87183970944445,0.09506297717789601,1.17234891524258,8.1375648235812,8,3.377659574468085,0.04496131857932874,0.032593887096261834,0.09494467777222125,0.5904878195452005,2.3073764017756493,-2.2385687821134064,52.12765957446809
H4,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6,EURJPY,314,42.99363057324841,17.608878957134266,0.056079232347561354,1.0955199146327022,14.916160529666287,6,3.461783439490446,0.029292295182158482,0.040568456208822226,-0.13663791511995074,-0.1280020107546283,2.2498657648651847,-2.2556190246915793,51.59235668789809
