strategy,period,direction,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_fwd_4_atr,avg_fwd_8_atr,avg_fwd_16_atr,avg_fwd_24_atr,avg_mfe_16_atr,avg_mae_16_atr,hit_1atr_first_16
DONCHIAN20_FALSE_BREAK_6_Q,Research_2015_2024,long,345,45.79710144927536,47.088744479112265,0.13648911443220946,1.2457341419025272,14.873384442017391,7,4.191304347826087,0.08215433485861029,0.19136831672342347,0.19465864974136965,0.3485061319835457,2.2198324530133346,-2.2111792149237437,56.231884057971016
RSI_70_30_REJECT_6_Q,Research_2015_2024,long,155,50.967741935483865,38.881753418929705,0.250850022057611,1.4984695397024137,9.97564999322355,7,3.9161290322580644,0.4036773681928526,0.47763717650281906,0.5498269559598472,0.5982088315246684,2.5808019976533525,-1.9383955346268904,62.58064516129033
DONCHIAN55_FALSE_BREAK_6_Q,Research_2015_2024,long,166,45.18072289156627,17.90261714040284,0.10784709120724602,1.1917696336458437,14.45968238930817,7,3.855421686746988,0.19731239644676218,0.3222431559865727,0.2683291355194145,0.2146262134336802,2.3541094354448786,-2.163189323169619,55.42168674698795
DONCHIAN20_FALSE_BREAK_6_Q,OOS_2025_2026,long,23,69.56521739130434,16.204007198428172,0.7045220521055727,3.5903608403275062,2.0145076845437977,2,3.9130434782608696,0.6962497808809001,1.778919858684371,1.9872437038697923,2.4991439113022786,3.4382757170830054,-1.1952851661549513,69.56521739130434
DONCHIAN20_FALSE_BREAK_6_Q,Research_2015_2024,short,408,42.8921568627451,14.083472877310331,0.03451831587576062,1.0595974335778922,31.272182951705346,13,3.730392156862745,0.03745491600263899,0.1483309247517023,0.08902368152056649,0.1736211483953361,2.4096545030356578,-2.169008374426704,53.18627450980392
DONCHIAN55_FALSE_BREAK_6_Q,OOS_2025_2026,short,48,50.0,9.29347025732301,0.19361396369422937,1.382079242810817,5.853640742014226,5,3.5416666666666665,-0.1466687814545746,-0.20666255678406661,-1.8494250797627731,-2.46441496825878,2.2740930983976466,-3.5727130649270404,52.083333333333336
RSI_70_30_REJECT_6_Q,Research_2015_2024,short,177,42.93785310734463,8.863088227180508,0.05007394478633056,1.0863091274284444,10.329387722587898,11,3.457627118644068,0.019358570746870887,0.01631295093804436,-0.2399208174203697,-0.1540706222651107,2.28762341911262,-2.35833875062719,49.717514124293785
DONCHIAN20_FALSE_BREAK_6_Q,OOS_2025_2026,short,74,45.94594594594595,8.011000280407757,0.10825676054605077,1.1974226349737893,6.6370272690054,7,3.5945945945945947,-0.3943803242239632,-0.588546000761806,-1.5907313398569003,-2.643688775474849,2.0241869914750232,-3.2427868910717508,48.64864864864865
DONCHIAN55_FALSE_BREAK_6_Q,OOS_2025_2026,long,8,75.0,6.681607171340724,0.8352008964175905,4.298245031156402,1.0133317080557975,1,2.125,0.8578656233907895,0.6791347256439351,0.27072711142359385,0.639699837522433,2.1146715945541503,-1.4580648778698329,75.0
RSI_70_30_REJECT_6_Q,OOS_2025_2026,short,22,45.45454545454545,2.434905740586866,0.11067753366303937,1.2001111139157006,4.072292162431462,4,4.181818181818182,-0.03048268677937768,-0.1310209847539113,-2.977018818595107,-3.927401009002456,1.9013970052455849,-4.425525797705865,50.0
RSI_70_30_REJECT_6_Q,OOS_2025_2026,long,8,50.0,1.930266904588918,0.24128336307361475,1.4792244269989492,2.0143939228291137,2,2.375,0.5945078738963012,0.8800698385119101,1.1176243148351364,1.148692294658643,1.9073297198641999,-0.9844392504970696,50.0
DONCHIAN55_FALSE_BREAK_6_Q,Research_2015_2024,short,248,41.935483870967744,0.4370370992674122,0.0017622463680137589,1.0030002517617649,21.167640230039204,9,3.4838709677419355,-0.018050610511473827,0.0036461984559803397,0.02017021484893056,0.06725698909313638,2.388257969613916,-2.3170096938955806,51.61290322580645
