family,direction,lookback,pre_bars,trigger_atr,move_atr,wick_ratio,wick_max,close_location,range_atr,body_min,body_max,h4,rr,max_hold,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,score
wick_sweep,long,24,6,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,150,50.0,-4.582871201465128,-0.030552474676434186,0.9330550412286404,12.246699948598259,6,-4.454480463461226,-5.493814198161694,136,-2.605896582276636,14,-1.9769746191884963,-40.218516987475795
wick_sweep,long,24,6,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,149,51.006711409395976,-8.817276019429471,-0.05917634912368772,0.8842233975344412,12.437685904498721,6,-4.6050654914274896,-5.1716272771426866,135,-6.758681736584258,14,-2.058594282845215,-44.82637855614663
wick_sweep,short,24,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,align,1.2,24,78,42.30769230769231,-12.099392447208666,-0.1551204159898547,0.753161600079984,17.60170476110396,6,-3.465023222141267,-4.633943729990563,71,-11.282719035485483,7,-0.8166734117231842,-45.38563170519578
wick_sweep,short,24,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,105,45.714285714285715,-17.788801626648425,-0.16941715834903262,0.712268137323466,21.606878447174736,5,-4.708737477530981,-8.052594115053996,96,-18.239207283951558,9,0.45040565730312865,-49.14228727725286
wick_sweep,short,24,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,align,1.2,12,78,43.58974358974359,-13.247696409126606,-0.1698422616554693,0.7058901997687299,17.58011711305509,6,-3.351754920846522,-5.636994231155487,71,-12.43102299740342,7,-0.8166734117231842,-49.33985085202427
wick_sweep,short,24,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.2,24,105,42.857142857142854,-14.788801626648734,-0.14084572977760698,0.7727259777600806,20.0380312849042,6,-4.711965000930388,-7.255821638453371,96,-14.03920728395182,9,-0.7495943426969152,-51.222774963820115
wick_sweep,long,24,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,156,50.0,-5.202021578599858,-0.03334629217051191,0.9275727978971736,12.367941425773255,6,-4.454480463461226,-5.493814198161694,141,-2.1719942012735522,15,-3.0300273773263044,-51.32947102599786
wick_sweep,short,24,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,105,45.714285714285715,-17.657615489686815,-0.16816776656844587,0.6883522878447911,23.75098800094897,6,-4.708737477530981,-8.503840986996366,96,-18.10802114698994,9,0.45040565730312865,-52.70687654798357
wick_sweep,short,24,12,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,105,45.714285714285715,-17.812898619798435,-0.16964665352188987,0.7116447527100156,20.454211349756307,5,-4.708737477530981,-8.052594115053996,97,-17.306846725736303,8,-0.5060518940621319,-53.42814468590819
wick_sweep,short,24,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.2,12,105,42.857142857142854,-15.374859486233548,-0.14642723320222428,0.741260962187018,21.76665256115232,6,-4.508737477531028,-7.703840986996392,96,-14.625265143536637,9,-0.7495943426969152,-54.19362919121539
wick_sweep,short,24,6,0.05,0.8,0.55,1.0,0.65,1.0,0.0,0.65,not_oppose,1.0,24,148,48.64864864864865,-17.55816975952777,-0.11863628215897143,0.7882758134047042,25.86625543107266,5,-4.949105435139588,-7.837141360271201,136,-16.74057531043094,12,-0.8175944490968353,-54.837851756380246
wick_sweep,short,24,6,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,100,44.0,-20.1813777739632,-0.201813777739632,0.66754703962872,25.119226250943395,5,-4.708737477530981,-8.052594115053996,91,-20.63178343126632,9,0.45040565730312865,-55.57763362507877
wick_sweep,long,48,12,0.05,0.8,0.65,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,69,46.3768115942029,-5.681151069724926,-0.08233552274963661,0.8302290969720963,7.534101519853129,6,-3.3009806047663686,-3.9007639813709187,61,-2.05123049163814,8,-3.6299205780867867,-55.82205924451743
wick_sweep,long,48,6,0.05,0.8,0.65,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,69,46.3768115942029,-5.681151069724926,-0.08233552274963661,0.8302290969720963,7.534101519853129,6,-3.3009806047663686,-3.9007639813709187,61,-2.05123049163814,8,-3.6299205780867867,-55.82205924451743
wick_sweep,long,48,12,0.05,1.2,0.65,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,69,46.3768115942029,-5.681151069724926,-0.08233552274963661,0.8302290969720963,7.534101519853129,6,-3.3009806047663686,-3.9007639813709187,61,-2.05123049163814,8,-3.6299205780867867,-55.82205924451743
wick_sweep,long,24,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,155,50.967741935483865,-9.436426396564197,-0.06088017030041418,0.88133939236084,13.164011383322743,6,-4.454480463461226,-5.1716272771426866,140,-6.324779355581175,15,-3.1116470409830237,-56.24980053647207
wick_sweep,long,48,6,0.05,1.2,0.65,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,66,45.45454545454545,-6.296091444648324,-0.095395324918914,0.8048527076250513,7.436589138340947,6,-3.663526581472803,-3.9007639813709187,58,-2.666170866561537,8,-3.6299205780867867,-57.271293850652285
wick_sweep,short,24,6,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,align,1.2,12,74,41.891891891891895,-14.324798732945611,-0.19357836125602176,0.6738700964382609,18.68009508367437,8,-4.425762864642984,-6.73697220177477,67,-13.508125321222426,7,-0.8166734117231842,-57.38312666673506
wick_sweep,long,24,6,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,align,1.0,12,121,47.93388429752066,-9.769558486844202,-0.08074015278383638,0.8318001477422621,12.972602877910184,6,-4.454480463461226,-6.227378822471827,110,-6.946553978702676,11,-2.8230045081415227,-57.49258322312544
wick_sweep,short,24,6,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,align,1.2,24,74,40.54054054054054,-14.292813573487344,-0.1931461293714506,0.7015970332763241,19.818001534182915,8,-4.425762864642984,-6.73697220177477,67,-13.47614016176416,7,-0.8166734117231842,-57.99093082247892
wick_sweep,short,24,12,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,align,1.2,24,78,42.30769230769231,-12.123489440358721,-0.1554293517994708,0.7524170072128183,16.29608458075512,6,-3.351754920846522,-5.63852578951779,72,-10.150358477270263,6,-1.9731309630884573,-58.08539834646257
wick_sweep,short,24,6,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,100,44.0,-19.13387283454191,-0.19133872834541912,0.6554883991442865,26.347017002257942,6,-4.708737477530981,-8.955883853288217,91,-19.58427849184503,9,0.45040565730312865,-58.19457865561295
wick_sweep,short,24,12,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,105,45.714285714285715,-17.681712482836826,-0.1683972617413031,0.6876508606039683,22.26051463108735,7,-5.682204390617631,-9.17375624349089,97,-17.17566058877469,8,-0.5060518940621319,-59.29649029205457
wick_sweep,short,24,12,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,106,44.339622641509436,-20.932281444422017,-0.19747435324926432,0.6729906098078005,23.573594174379892,5,-4.708737477530981,-8.052594115053996,98,-20.42622955035988,8,-0.5060518940621319,-59.40126034173773
wick_sweep,short,24,12,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.2,24,105,42.857142857142854,-14.812898619798792,-0.14107522495046468,0.7721802893231495,18.18168235115001,5,-4.508737477531028,-7.052594115054011,97,-12.906846725736605,8,-1.9060518940621882,-59.91326813239056
wick_sweep,long,24,12,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,152,50.0,-4.894029797450241,-0.03219756445690948,0.929773834650771,11.294793819665024,6,-4.454480463461226,-5.483922547272474,138,-0.9062584209877003,14,-3.987771376462539,-59.91373658991144
wick_sweep,long,24,12,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,154,50.0,-5.086617971627858,-0.03302998682875232,0.9281053491249687,11.294793819665024,6,-4.454480463461226,-5.483922547272474,140,-1.0988465951653177,14,-3.987771376462539,-60.06440289196847
wick_sweep,long,24,6,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,align,1.0,24,120,49.166666666666664,-11.313057530044395,-0.09427547941703662,0.8206909274241364,13.886030624981926,6,-4.454480463461226,-5.905191901452822,109,-8.408433358246155,11,-2.9046241717982415,-60.117755604303554
wick_sweep,short,24,6,0.05,0.8,0.55,1.0,0.65,1.0,0.0,0.65,not_oppose,1.0,12,148,48.64864864864865,-18.319097838026988,-0.12377768809477695,0.7644273486422707,24.831341300887097,6,-5.082338275133274,-10.03144371027286,136,-17.50150338893015,12,-0.8175944490968353,-60.55031025076306
wick_sweep,long,48,6,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,82,46.34146341463415,-6.981204481238247,-0.08513664001510057,0.8256831648049202,9.287371720283028,6,-4.754513179867552,-4.699297070803754,72,-3.2250469400766724,10,-3.756157541161576,-60.63863310318923
wick_sweep,short,24,6,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.2,24,100,41.0,-17.981377773963423,-0.17981377773963422,0.7188238724123449,23.253483079019166,6,-5.711120021966398,-8.423460531042949,91,-17.231783431266503,9,-0.7495943426969152,-60.702905499761016
wick_sweep,short,24,6,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.2,12,100,41.0,-17.451116831088566,-0.17451116831088564,0.7006797472324976,24.266010256838253,6,-4.508737477531028,-8.384516132889015,91,-16.70152248839165,9,-0.7495943426969152,-60.761680175232186
wick_sweep,long,48,6,0.05,1.2,0.65,1.0,0.75,1.0,0.0,0.65,align,1.2,24,42,40.476190476190474,-6.925006859894879,-0.16488111571178282,0.7287443255882907,6.998947697527279,5,-3.1009806047663684,-4.072862667413412,36,-3.499248010161159,6,-3.42575884973372,-60.92190840751532
wick_sweep,long,48,6,0.05,1.2,0.65,1.0,0.75,1.0,0.0,0.65,align,1.2,12,43,39.53488372093023,-7.4950229148901455,-0.17430285848581734,0.6835482585165894,6.601409567098506,5,-3.1009806047663684,-4.072862667413412,37,-4.150883728813145,6,-3.3441391860770016,-61.10087788391796
wick_sweep,short,24,6,0.05,0.8,0.65,1.0,0.65,1.0,0.0,0.65,not_oppose,1.0,24,116,47.41379310344828,-17.42833111937996,-0.15024423378775825,0.7415526094691605,24.2517336594215,8,-5.325057665546201,-9.69138424270461,108,-16.873649583959462,8,-0.5546815354204948,-61.41993128654465
wick_sweep,short,24,12,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,align,1.2,12,78,43.58974358974359,-13.27179340227666,-0.1701511974650854,0.7050272150863466,15.378584649253515,6,-3.4030896711309393,-6.754844591977461,72,-11.298662439188202,6,-1.9731309630884573,-61.63960745653974
