family,signal_i,signal_time,direction,lookback,pre_bars,move_atr,trigger_atr,wick_ratio,close_location,range_atr,body_ratio,h4_align,h4_oppose,h4_context,entry_hour,stop,entry_i,entry_time,entry,target,exit_i,exit_time,exit,exit_reason,bars_held,risk,rr,max_hold,r_after_cost,sample,year
breakout,674,2014-02-11 00:00:00,long,24,12,2.3177290128470025,0.3069424908905865,0.2850356294536881,0.7149643705463119,2.637199768671868,0.6674584323040418,True,False,H4順,1,113.84007219498491,675,2014-02-11 01:00:00,114.173,114.67239170752264,699,2014-02-12 01:00:00,114.171,TIME,24,0.332927805015089,1.5,24,-0.06608039241122707,IS_2014_2024,2014
breakout,793,2014-02-17 23:00:00,long,24,12,1.3178600023103875,0.5814088245487166,0.3950617283950379,0.604938271604962,1.2558430610251177,0.5555555555556043,True,False,H4順,0,114.32920059798431,794,2014-02-18 00:00:00,114.452,114.63619910302353,795,2014-02-18 01:00:00,114.32920059798431,SL,1,0.12279940201568706,1.5,24,-1.162867242606404,IS_2014_2024,2014
breakout,797,2014-02-18 03:00:00,long,24,12,2.691191985290337,1.1863213649442912,0.09695290858724895,0.9030470914127511,3.9653890068972,0.6468144044321364,True,False,H4順,4,114.07958490938749,798,2014-02-18 04:00:00,114.768,115.80062263591876,822,2014-02-19 04:00:00,115.212,TIME,24,0.6884150906125086,1.5,24,0.6159074746934204,IS_2014_2024,2014
breakout,880,2014-02-21 14:00:00,long,24,12,1.854877379135363,0.777851804153569,0.35699373695196773,0.6430062630480322,2.388403937112467,0.6033402922755782,True,False,H4順,15,115.26288953187047,881,2014-02-21 15:00:00,115.608,116.12566570219431,893,2014-02-24 03:00:00,115.26288953187047,SL,12,0.3451104681295334,1.5,24,-1.0579524582618671,IS_2014_2024,2014
breakout,999,2014-02-28 13:00:00,long,24,12,4.156581534350025,0.39110977400293606,0.06557377049176699,0.934426229508233,1.0152211154968924,0.8155737704918543,True,False,H4順,14,115.52593165384852,1000,2014-02-28 14:00:00,115.803,116.21860251922722,1008,2014-03-02 22:00:00,115.52593165384852,SL,8,0.2770683461514807,1.5,24,-1.0721843555130461,IS_2014_2024,2014
breakout,1066,2014-03-05 08:00:00,long,24,12,1.6468133228938404,0.48032055251073597,0.0769230769230623,0.9230769230769377,2.0516549314385437,0.7625418060200789,True,False,H4順,9,115.16285279835138,1067,2014-03-05 09:00:00,115.464,115.91572080247292,1091,2014-03-06 09:00:00,115.659,TIME,24,0.3011472016486181,1.5,24,0.5811111610599958,IS_2014_2024,2014
breakout,1093,2014-03-06 11:00:00,long,24,12,3.427347874727734,0.432711254725153,0.18954248366009976,0.8104575163399003,1.0508701900468,0.5294117647058824,True,False,H4順,12,115.67488127507104,1094,2014-03-06 12:00:00,115.831,116.06517808739343,1094,2014-03-06 12:00:00,115.67488127507104,SL,0,0.15611872492895884,1.5,24,-1.1281076309655433,IS_2014_2024,2014
breakout,1095,2014-03-06 13:00:00,long,24,12,5.730093959602099,2.8980870602930127,0.04855491329479902,0.951445086705201,4.082809946504014,0.8578034682080886,True,False,H4順,14,115.76962722187248,1096,2014-03-06 14:00:00,116.636,117.93555916719126,1120,2014-03-07 14:00:00,117.638,TIME,24,0.8663727781275128,1.5,24,1.1334612822466457,IS_2014_2024,2014
breakout,1202,2014-03-12 23:00:00,long,24,12,2.5970528150193846,0.13850948346777137,0.11029411764705498,0.889705882352945,0.941864487580432,0.6397058823529189,True,False,H4順,0,117.45812111098924,1203,2014-03-13 00:00:00,117.603,117.82031833351613,1203,2014-03-13 00:00:00,117.45812111098924,SL,0,0.14487888901075507,1.5,24,-1.138046337437924,IS_2014_2024,2014
breakout,1207,2014-03-13 04:00:00,long,24,12,1.5587763104976873,0.9327617279684659,0.17187499999996936,0.8281250000000306,2.403895996912007,0.8020833333333507,True,False,H4順,5,117.42205186243554,1208,2014-03-13 05:00:00,117.773,118.29942220634669,1217,2014-03-13 14:00:00,117.42205186243554,SL,9,0.3509481375644583,1.5,24,-1.0569884773824647,IS_2014_2024,2014
