timeframe,variant,rr,max_hold_bars,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,target_hit_pct,stop_hit_pct,oos_trades,oos_total_r
H4,B_BREAK,2.0,120,559,44.72271914132379,60.13657642880962,0.1075788487098562,-0.30891058078616174,1.2199092361326835,34.84200532989804,11,1.060649101686127,0.7908167046855741,69.42397137745975,22.182468694096602,44.72271914132379,47,13.921387666508066
H4,B_BREAK,1.5,120,559,47.40608228980322,49.1440397908514,0.08791420356145152,-0.1103478072666956,1.1873203492541768,35.212314213711,11,0.9327488977576334,0.7683614824557595,61.70304114490161,32.021466905187836,42.93381037567084,47,20.487814808740666
H4,B_BREAK,2.0,48,559,48.658318425760285,48.81883790223619,0.08733244705230088,-0.0180412498680646,1.232553761898215,24.655627545299478,8,0.8520621339165629,0.6619196020268765,38.30769230769231,12.164579606440071,28.80143112701252,47,11.115537540670513
H1,B_BREAK,2.0,120,1172,45.22184300341297,38.344992112966544,0.032717570062258144,-0.2747772524071927,1.0667650379070446,59.89835476790269,17,0.9636651366185457,0.7833379032678014,74.93003412969283,17.150170648464165,43.9419795221843,123,29.542257642465476
H1,B_BREAK,1.5,120,1172,47.525597269624576,36.62016197742621,0.03124587199439096,-0.15504190418251534,1.066381864174211,46.70668991645381,17,0.8657683662740658,0.7575927504749281,67.6834470989761,26.791808873720136,42.32081911262799,123,27.109407420214094
H4,B_BREAK,1.0,120,559,53.84615384615385,36.275091380757445,0.06489282894589883,0.31365219653432896,1.1554379786820101,31.04178569230412,10,0.7627597728403085,0.7055261925631663,49.32021466905188,45.97495527728086,38.10375670840787,47,18.024717381829504
H4,PULLBACK_REACCEL,1.0,120,431,55.4524361948956,33.43893049045664,0.0775845254998994,0.894679171433685,1.1774263979946609,12.132702495616694,10,0.8030196044493659,0.7401765359472726,32.95823665893271,51.27610208816705,41.76334106728538,34,14.970492349426127
H4,B_BREAK,1.5,48,559,49.37388193202147,33.435266133675945,0.059812640668472174,-0.008256428255820401,1.1608841064202224,26.225979708034902,8,0.7839855586705333,0.6544304321193344,36.25402504472272,19.141323792486585,28.622540250447226,47,14.120703990613167
H4,B_BREAK,1.0,48,559,53.13059033989267,32.078559875481126,0.05738561695077125,0.09458094124212499,1.1660165065192996,25.5021126255146,8,0.677594102760967,0.6216259337011288,31.608228980322004,33.98926654740608,27.01252236135957,47,16.53054354227028
H4,PULLBACK_REACCEL,1.5,120,431,46.8677494199536,30.518911207583688,0.07080953876469533,-0.5088930312760583,1.1375061798293655,19.788880781331937,11,0.988663876138246,0.8267885892640744,45.62412993039443,35.498839907192576,48.95591647331787,34,20.112007180491087
H1,PULLBACK_REACCEL,2.0,120,994,41.649899396378274,25.140186322550065,0.025291937950251576,-1.0070132872656774,1.0454061591721935,48.32699853711051,14,1.078213107101114,0.8587319543476531,57.34808853118712,23.843058350100605,50.70422535211267,104,17.895380426087847
H1,PULLBACK_REACCEL,1.5,120,994,45.57344064386318,23.72651085392563,0.02386972922930144,-0.4716458892146379,1.0456909742478557,37.03541258766308,14,0.9553569887845063,0.8183669287734298,50.300804828973845,33.400402414486926,47.68611670020121,104,10.917777818443719
H4,A_BREAK,2.0,120,570,40.526315789473685,21.435361245458154,0.03760589692185641,-1.0050457639507024,1.0666681275624688,67.21820528264305,14,1.0744933728010542,0.8782040187570748,55.41228070175438,25.087719298245613,53.1578947368421,48,21.421888027477465
H4,PULLBACK_REACCEL,1.0,48,431,54.060324825986086,20.679025040490266,0.04797917642805166,0.19052261494531395,1.1178105739548079,9.851196627596368,6,0.7464467116213349,0.700370629352975,23.995359628770302,42.22737819025522,36.19489559164733,34,10.44667019212077
H4,PULLBACK_REACCEL,2.0,120,431,41.76334106728538,19.02631576974212,0.04414458415253392,-1.0051935870413706,1.0779929637287926,38.428744944450436,11,1.1352822200665482,0.8749656588130418,52.82830626450116,25.05800464037123,53.82830626450116,34,24.53254161714417
H4,PULLBACK_REACCEL,1.5,48,431,47.79582366589327,16.046562734342395,0.037231004023996275,-0.1251562670938395,1.0818840485463241,11.517282008476808,9,0.8822065523848499,0.752489044451213,29.475638051044083,25.754060324825982,40.13921113689095,34,13.876405671837016
H4,A_BREAK,1.5,120,570,44.3859649122807,15.997069093805514,0.028065033497904412,-0.7285269601682682,1.0532355153979767,50.62306673127136,14,0.9333244075103477,0.8432211714618948,47.13333333333333,34.03508771929825,49.64912280701754,48,16.35972857681897
H4,A_BREAK,1.5,48,570,46.14035087719298,12.731688066957268,0.022336294854310997,-0.1587837547237244,1.0487242871004707,40.896166489949366,9,0.8335133764807344,0.7639405978731809,30.401754385964914,24.736842105263158,38.94736842105263,48,13.840337793273502
H1,B_BREAK,1.0,120,1172,52.218430034129696,11.182760106965478,0.009541604186830612,0.09428370520703769,1.0222086514169144,48.165826847626036,17,0.702161173957994,0.714719407254256,55.9641638225256,41.04095563139932,38.6518771331058,123,12.47879238325137
H4,A_BREAK,1.0,120,570,52.10526315789473,10.6897732204025,0.0187539881059693,0.2891739036870933,1.0410508920816557,41.90783744645617,6,0.7661517317203488,0.7638956191169364,36.48245614035088,46.8421052631579,43.15789473684211,48,17.031727359479923
H4,PULLBACK_REACCEL,2.0,48,431,45.243619489559165,10.354714172998568,0.024024858870066283,-0.22707910876344806,1.0502939809496699,19.832757253821427,9,0.9710735673855618,0.7769188745240411,32.067285382830626,16.241299303944317,41.9953596287703,34,14.512675584434357
H1,PULLBACK_REACCEL,2.0,48,994,44.969818913480886,7.511455175387599,0.007556795951094164,-0.20385006788195004,1.0161276435000146,59.805892831224895,11,0.8961093884674379,0.7553097466861977,32.9748490945674,14.285714285714285,39.33601609657948,104,6.4517163157520105
H1,PULLBACK_REACCEL,1.0,120,994,52.41448692152918,6.114454972267733,0.006151363151174782,0.24264850633958224,1.013349521845035,42.25617382231483,14,0.7852802256008125,0.7568161098412832,39.458752515090545,46.27766599597585,42.25352112676056,104,7.323257449352792
H4,A_BREAK,1.0,48,570,51.2280701754386,5.40597089404897,0.009484159463243807,0.0795169679927279,1.0228202941695803,37.726085822282556,7,0.7110967051571513,0.7103621977887677,25.514035087719297,39.122807017543856,35.26315789473684,48,13.658659222135698
H1,PULLBACK_REACCEL,1.5,48,994,47.283702213279675,4.641861604592236,0.004669880889931827,-0.09238924128831226,1.0104249922045323,46.95599995274587,11,0.8242591297904636,0.7321759167738144,30.824949698189133,22.132796780684107,37.5251509054326,104,4.500049956121884
H1,B_BREAK,2.0,48,1172,48.37883959044368,4.0036518082198995,0.0034160851605971837,-0.052548155240242964,1.0090897129860783,54.361509853109176,16,0.7236784149633885,0.6414044624201936,39.28839590443686,6.911262798634812,27.986348122866893,123,15.00863899257145
H4,A_BREAK,2.0,48,570,43.859649122807014,-1.5177354149698346,-0.002662693710473394,-0.2236109448319838,0.994369423991103,52.461737842484915,9,0.9143352914916846,0.7779245680148602,33.319298245614036,13.157894736842104,40.0,48,14.327809800541738
H1,B_BREAK,1.5,48,1172,48.89078498293515,-4.211408106968825,-0.0035933516271065063,-0.022936588828154206,0.990308979541122,45.46824343150271,16,0.6844295718525938,0.6333550119260298,37.73805460750853,13.993174061433447,27.559726962457336,123,13.146617620313972
H1,PULLBACK_REACCEL,1.0,48,994,51.006036217303816,-12.471840388296492,-0.012547123127058845,0.0442845098308034,0.9695605419289683,53.33394985043905,11,0.7107942015757172,0.6949420306121579,26.48893360160966,36.9215291750503,34.40643863179074,104,-0.08037741472722892
H1,A_BREAK,1.0,48,1141,50.394390885188436,-22.92866730458222,-0.020095238654322715,0.01678056874728438,0.9486757107987757,51.277569301476,11,0.6648708679839438,0.6671248197594266,28.162138475021912,33.12883435582822,32.515337423312886,121,1.4486879214083965
H1,B_BREAK,1.0,48,1172,50.51194539249146,-23.229306658134096,-0.0198202275240052,0.009444994252989593,0.9447973647519494,62.949774171677014,16,0.6022025790943624,0.6194570902158959,33.99744027303754,27.218430034129693,26.621160409556317,123,7.59504249792376
H1,A_BREAK,1.0,120,1141,50.48203330411919,-25.939381575512684,-0.022733901468459845,0.05087229179427697,0.9505524386350485,52.42750051592416,9,0.7385059508364211,0.7427710540383127,45.318141980718664,42.331288343558285,41.54250657318142,121,7.142174318557773
H1,A_BREAK,1.5,48,1141,45.39877300613497,-43.04748320986805,-0.0377278555739422,-0.12189280127170207,0.9133526293163468,76.53242151564353,11,0.7700021880053536,0.717465149636148,32.25503943908852,18.75547765118317,36.37160385626643,121,11.005955312020543
H1,A_BREAK,2.0,48,1141,43.73356704645048,-43.17268940986645,-0.03783758931627208,-0.1557245209290011,0.9160132987704016,83.66417824824931,12,0.8287349780744625,0.7340412969990943,34.17353198948291,11.393514460999125,37.68624014022787,121,12.657212012304136
H1,A_BREAK,1.5,120,1141,43.03242769500438,-49.802910035501505,-0.04364847505302498,-0.5619079705400895,0.9177654427469205,86.76235546621639,12,0.9024831790036182,0.8180437429075798,55.49780893952673,28.13321647677476,47.94040315512708,121,8.116653706659317
H1,A_BREAK,2.0,120,1141,38.913234005258545,-70.18298604435176,-0.06151006664710935,-1.0067501427633547,0.8917760810534432,110.63970027081898,13,1.0048981007752926,0.8567938347820951,61.59596844872919,20.070113935144608,51.358457493426826,121,6.788329889204297
