is_oos,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
False,context,fixed_2R,55,45.45454545454545,8.250913202805373,0.1500166036873704,1.2983652287092375,6.8500425969085015,5,2.0,2.0,31.509090909090908,27.27272727272727
False,context,fixed_1_5R,56,50.0,7.417469261275025,0.13245480823705402,1.2797800549074683,7.041831079832559,5,1.4999999999999984,1.5,28.321428571428573,35.714285714285715
False,strict_synapse,fixed_2R,12,66.66666666666666,7.369975608943021,0.614164634078585,3.0596154088538854,2.029967831778607,2,2.0,2.0,36.416666666666664,33.33333333333333
False,diag_break,fixed_2R,100,41.0,5.6371714413912235,0.056371714413912234,1.1044191837454225,11.705727934922633,6,2.0,2.0,31.85,23.0
False,strict_synapse,fixed_1_5R,12,66.66666666666666,5.36997560894302,0.44749796741191833,2.5006948592784783,2.029967831778607,2,1.499999999999999,1.5,33.416666666666664,33.33333333333333
False,diag_break,fixed_1_5R,102,45.09803921568628,4.031608085082726,0.039525569461595356,1.077783487327437,12.014066554339164,6,1.499999999999999,1.5,29.03921568627451,30.392156862745097
True,context,fixed_2R,6,50.0,2.009683618502242,0.3349472697503737,1.6643169448811033,2.02077495792535,2,2.0,2.0,35.166666666666664,33.33333333333333
True,context,fixed_1_5R,7,57.14285714285714,1.6411628780878509,0.23445183972683584,1.5424994756319566,2.0207749579253496,2,1.500000000000001,1.5,35.57142857142857,42.857142857142854
True,strict_synapse,fixed_1_5R,1,0.0,-0.0039081535071151035,-0.0039081535071151035,0.0,0.0,1,1.4999999999999964,1.4999999999999964,60.0,0.0
True,strict_synapse,fixed_2R,1,0.0,-0.0039081535071151035,-0.0039081535071151035,0.0,0.0,1,2.0,2.0,60.0,0.0
True,diag_break,fixed_2R,12,33.33333333333333,-0.8767507001794734,-0.07306255834828945,0.8630453419763474,4.040077117919253,4,2.0,2.0,37.916666666666664,16.666666666666664
True,observe_loose,fixed_1_5R,29,44.827586206896555,-1.49981280093313,-0.05171768279079759,0.8970973409005184,4.157572426325995,6,1.4999999999999998,1.5,36.6551724137931,24.137931034482758
True,diag_break,fixed_1_5R,12,33.33333333333333,-1.735408063845078,-0.1446173386537565,0.7289169910366314,4.040077117919253,4,1.5,1.5,36.083333333333336,25.0
True,observe_loose,fixed_2R,29,41.37931034482759,-2.205606396796589,-0.07605539299298582,0.8488153127833463,5.554389401764957,6,2.0,2.0,39.241379310344826,13.793103448275861
True,basic_role,fixed_2R,25,36.0,-2.326003146198566,-0.09304012584794265,0.8289288515607267,4.975371940447493,6,2.0,2.0,36.68,16.0
False,observe_loose,fixed_2R,230,40.0,-2.491283195902822,-0.010831666069142704,0.9804121118162409,19.058420401308506,8,2.0,2.0,33.8304347826087,20.869565217391305
True,basic_role,fixed_1_5R,25,40.0,-2.684660509864176,-0.10738642039456703,0.802350595763552,4.164440269066926,6,1.4999999999999993,1.5,33.4,24.0
False,observe_loose,half_wave,9,33.33333333333333,-4.1186066497117615,-0.4576229610790846,0.3239506812645562,3.1019148465426793,3,0.6646350971761694,0.6430464686357004,12.333333333333334,33.33333333333333
False,basic_role,fixed_2R,181,38.12154696132597,-4.593275434609875,-0.025377212345910914,0.955144717747445,15.81087470294865,8,2.0,2.0,30.834254143646408,20.994475138121548
False,observe_loose,fixed_1_5R,242,42.561983471074385,-8.509375804041449,-0.035162709934055576,0.9343801083381723,22.87769951003615,8,1.5,1.5,30.177685950413224,29.75206611570248
False,basic_role,fixed_1_5R,188,39.8936170212766,-13.08198862359753,-0.06958504587019963,0.8751822127206024,17.88876569082676,8,1.4999999999999993,1.5,27.664893617021278,28.191489361702125
