symbol,timeframe,strategy,family,signal_time,direction,trigger_type,v_start_i,v_extreme_i,candidate_i,v_start,v_extreme,v_move_atr,v_move_bars,v_drop_speed_atr_per_bar,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,period,open,high,low,close,atr,body_ratio,ema20,ema50,ema200,ema20_slope_10_atr,rsi14,adx14,bb_width_atr,bb_pos,donchian20_high_prev,donchian55_high_prev,donchian20_break,donchian55_break,atr50,atr_ratio_50,atr_pctile_252,close_location,range5_atr,macd,macd_signal,macd_hist,macd_hist_slope3,stoch_k14,stoch_d3,cci20,roc10,williams_r14,chop14,aroon_up25,aroon_down25,ichi_tenkan,ichi_kijun,ichi_cloud_top,ichi_cloud_bottom,kc_mid,kc_pos,bb_kc_width_ratio,year,month
USDJPY,H1,REC1.20_T5_STAG_OR_REBREAK_BROAD_H1,V候補後トリガー,2015-09-10 09:00:00,long,rebreak,10496,10507,10511,121.196,119.977,3.9938777010689943,11,0.3630797910062722,4,0.36363636363636365,8,1.0098441345365057,0.618,0.8,121.208,2015-09-10 10:00:00,121.207,119.90069571058262,123.82260857883475,2015-09-14 15:00:00,119.90069571058262,SL,53,1.306304289417369,-1.0,-1.0076551842331094,Research_2015_2024,120.868,121.325,120.83,121.208,0.3052171576695297,0.6868686868686874,120.6524368933612,120.3867914756703,120.23878844189737,0.42695522066606556,69.20421724957009,30.874610458680138,3.8257653168084156,0.9830052314578753,121.31,121.31,False,False,0.22539127173434104,1.354165826036405,82.93650793650794,0.7636363636363569,2.6833353873466224,0.13486130581225098,0.08820392393692902,0.04665738187532195,0.05242953453037853,91.32047477744774,74.97629229265739,108.55074637772807,0.8000266121118482,-8.679525222552265,45.56787383921853,100.0,68.0,120.65100000000001,120.65100000000001,120.65100000000001,120.218,120.6524368933612,0.9550555994957584,0.9564413292021039,2015,2015-09
XAUUSD,H1,REC1.20_T5_STAG_OR_REBREAK_BROAD_H1,V候補後トリガー,2016-02-03 10:00:00,long,rebreak,12494,12497,12499,1130.951,1122.272,3.8524521158635348,3,1.284150705287845,2,0.6666666666666666,16,0.8901947228943468,0.618,0.8,1129.998,2016-02-03 11:00:00,1130.044,1121.708787289045,1146.5764254219102,2016-02-04 09:00:00,1146.5764254219102,TP,21,8.335212710955147,1.9834437338571131,1.9414532037846022,Research_2015_2024,1127.722,1130.612,1127.618,1129.998,2.252850843820202,0.7601870407481495,1127.2569190340803,1125.558080372495,1115.968678533541,0.21013481879304458,59.43780143848516,14.35209308301618,2.497159110749519,0.9492219397768876,1130.951,1130.951,False,False,2.2823356809816446,0.9870812880825836,10.714285714285714,0.7949231796927175,2.7933495984709578,0.5355551626132637,0.5431377982193847,-0.0075826356061209355,0.30282555799323363,90.24312728428379,63.80104488313725,99.13318968234366,0.2510717124687867,-9.75687271571621,57.56600455966753,24.0,36.0,1127.4655,1126.6115,1127.0385,1125.2694999999999,1127.2569190340803,0.8041791441096584,0.6242897776873797,2016,2016-02
GBPJPY,H1,REC1.20_T5_STAG_OR_REBREAK_BROAD_H1,V候補後トリガー,2016-09-14 01:00:00,long,rebreak,22561,22572,22574,136.01,134.46,4.9985212548474225,11,0.45441102316794746,2,0.18181818181818182,10,0.8580645161290315,0.618,0.8,135.79,2016-09-14 02:00:00,135.82,134.38247707266942,138.60504585466114,2016-09-16 10:00:00,134.38247707266942,SL,56,1.4375229273305763,-1.0,-1.0139128215764328,Research_2015_2024,135.31,135.99,135.25,135.79,0.3100917093223996,0.6486486486486268,135.33220108798523,135.50541542212343,135.7603963964811,-0.014643742276160342,59.204274252476495,13.849177384175043,3.8895517137142157,0.9361099939215862,135.98,136.33,False,False,0.2849364899367832,1.0882836009919172,87.3015873015873,0.72972972972971,2.8378701317843595,-0.04084060264682421,-0.10555911258058907,0.06471850993376486,0.04256808828635643,86.9281045751623,74.51767082006721,109.1833749634349,0.9065913650887936,-13.071895424837706,40.198897870852015,16.0,60.0,135.405,135.235,135.32,135.32,135.33220108798523,0.8690834826051468,0.9723879284285539,2016,2016-09
GBPJPY,H1,REC1.20_T5_STAG_OR_REBREAK_BROAD_H1,V候補後トリガー,2017-04-27 06:00:00,long,rebreak,26363,26368,26374,143.45,142.46,3.9390594333961624,5,0.7878118866792324,6,1.2,10,0.9090909090909326,0.618,0.8,143.36,2017-04-27 07:00:00,143.35,142.3971677416437,145.28566451671264,2017-05-03 14:00:00,145.28566451671264,TP,102,0.9528322583562954,2.0314850801250266,2.010495026708402,Research_2015_2024,143.11,143.4,143.11,143.36,0.2513290334252272,0.8620689655172651,142.94120847612749,142.43851385546742,140.42974514191596,0.7175229883330273,63.207061936652146,31.302534133922116,3.6082319111282386,0.9179286132343372,143.45,143.45,False,False,0.27006583512849175,0.9306213549953479,53.96825396825397,0.8620689655172651,1.7506930815094306,0.18196439117460272,0.17899141513724995,0.002972976037352776,0.03538933279674092,95.74468085106467,80.48391718604522,103.82535549769385,0.48363355996356994,-4.2553191489353335,47.92801177588901,40.0,12.0,143.015,142.89499999999998,142.95499999999998,141.99,142.94120847612749,0.9165769451354807,0.9020579777820597,2017,2017-04
AUDJPY,H1,REC1.20_T5_STAG_OR_REBREAK_BROAD_H1,V候補後トリガー,2017-05-09 10:00:00,long,rebreak,20840,20846,20847,83.829,83.202,3.7178569548164995,6,0.6196428258027499,1,0.16666666666666666,4,0.8102073365231249,0.618,0.8,83.71,2017-05-09 11:00:00,83.711,83.15983861458227,84.81032277083544,2017-05-17 07:00:00,83.15983861458227,SL,140,0.5511613854177284,-1.0,-1.0226793827193006,Research_2015_2024,83.553,83.727,83.511,83.71,0.16864554167091184,0.726851851851808,83.492948168675,83.46798359719278,83.46976540404853,-0.18432482500796335,60.88611891616649,14.580463002726624,3.48667381282248,0.8388536324142679,83.829,83.829,False,False,0.16544845251149098,1.0193237779555466,65.87301587301587,0.9212962962962524,3.113038120061719,0.028990303507256954,0.014297008031305984,0.01469329547595097,0.030693458808301134,81.0207336523125,63.79585326953807,78.70580750704309,-0.0167216090965705,-18.979266347687506,50.30533991797228,60.0,12.0,83.4645,83.5035,83.48400000000001,83.3385,83.492948168675,0.8217574404494783,0.87166845320562,2017,2017-05
XAUUSD,H1,REC1.20_T5_STAG_OR_REBREAK_BROAD_H1,V候補後トリガー,2018-08-21 20:00:00,long,rebreak,27603,27612,27614,1196.319,1187.638,3.818120335469531,9,0.4242355928299479,2,0.2222222222222222,5,0.9771915677917447,0.618,0.8,1196.121,2018-08-21 22:00:00,1196.798,1187.0695920376215,1214.2238159247572,2018-08-23 07:00:00,1187.0695920376215,SL,32,9.72840796237847,-1.0,-1.0359771096518207,Research_2015_2024,1193.802,1196.959,1193.802,1196.121,2.2736318495138526,0.7345581248020511,1192.4273881177314,1189.4693103785098,1192.5141085687344,0.1735237692850895,63.919785945055246,31.007488100788237,3.2830709610762905,0.8820620301996995,1196.319,1196.319,False,False,2.1801463783548005,1.0428803644045217,62.301587301587304,0.7345581248020511,3.5234376232514855,1.203762851829424,1.2668399305578504,-0.06307707872842627,0.45661696832719434,91.00954833172457,73.97204197165057,58.03801851958165,0.19207121963968898,-8.99045166827543,48.3035307160757,100.0,80.0,1192.2984999999999,1192.2984999999999,1192.2984999999999,1186.6885,1192.4273881177314,0.9061356594580577,0.8207677402690726,2018,2018-08
XAUUSD,H1,REC1.20_T5_STAG_OR_REBREAK_BROAD_H1,V候補後トリガー,2019-01-23 08:00:00,long,rebreak,30051,30057,30058,1284.775,1279.185,3.6312143338426717,6,0.6052023889737786,1,0.16666666666666666,16,1.2647584973166333,0.618,0.8,1286.255,2019-01-23 09:00:00,1286.245,1278.8001425194113,1301.1647149611777,2019-01-23 14:00:00,1278.8001425194113,SL,5,7.444857480588553,-1.0,-1.0470123170138197,Research_2015_2024,1284.455,1286.338,1284.085,1286.255,1.539429922354548,0.7989347536618902,1283.8374475927894,1283.434003318876,1285.791306737422,0.7585745427360148,63.36453374042787,15.6573559338877,3.438468275051757,0.9492771161415678,1285.615,1285.615,True,True,1.6408930068361178,0.9381659352201119,8.333333333333332,0.9631602308034359,2.020228368202156,0.8008635123226213,0.7455952758925113,0.05526823643011003,0.11120984570636472,97.50975097510171,76.96898785800646,70.50996195655739,0.11129920417178862,-2.490249024898286,66.2243505978493,100.0,4.0,1284.6715,1282.258,1283.46475,1281.528,1283.8374475927894,0.8926051410500478,0.8596170687629392,2019,2019-01
EURJPY,H1,REC1.20_T5_STAG_OR_REBREAK_BROAD_H1,V候補後トリガー,2020-05-20 13:00:00,long,rebreak,39029,39035,39037,118.18,117.57,3.5212494344512164,6,0.5868749057418695,2,0.3333333333333333,15,0.8688524590163759,0.618,0.8,118.1,2020-05-20 14:00:00,118.09,117.52669150884115,119.24661698231768,2020-05-22 03:00:00,117.52669150884115,SL,35,0.5633084911588497,-1.0,-1.0221903276733382,Research_2015_2024,117.99,118.11,117.93,118.1,0.1732339646353629,0.611111111111133,117.84384020145333,117.46244515306954,116.5480913762445,0.664849783707669,62.762129886962484,28.108489410989886,3.0458934544228073,0.9681113818605572,118.06,118.18,True,False,0.1831330651486262,0.9459458590657593,74.20634920634922,0.9444444444444138,2.193565221461338,0.12688939894063367,0.140656021332956,-0.01376662239232232,0.03229481824023439,97.43589743589612,86.04644258139695,127.23483602062335,0.16963528413909135,-2.564102564103872,68.85327032578155,16.0,40.0,117.91499999999999,117.875,117.895,117.015,117.84384020145333,0.8696731744924341,0.7614733636057018,2020,2020-05
XAUUSD,H1,REC1.20_T5_STAG_OR_REBREAK_BROAD_H1,V候補後トリガー,2021-07-26 01:00:00,long,rebreak,44784,44788,44789,1810.218,1789.407,5.085032485294612,4,1.271258121323653,1,0.25,13,0.8154821969150873,0.618,0.8,1806.378,2021-07-26 02:00:00,1806.398,1788.3838501941636,1842.3662996116725,2021-08-06 12:00:00,1788.3838501941636,SL,217,18.01414980583627,-1.0,-1.0194291711666983,Research_2015_2024,1799.275,1806.698,1798.458,1806.378,4.092599223344868,0.8620145631067755,1802.0853695951268,1803.1325153675994,1806.920320231054,-0.08673914768117069,57.43372837299288,14.242959091916049,3.118808871732639,0.8417258006492918,1810.218,1810.218,False,False,3.815230062618556,1.0727005072233944,59.12698412698413,0.9611650485436695,2.0573722322896875,-0.3379352166541594,-0.5724041317585116,0.2344689151043522,0.3006279540493354,98.14932623908298,76.71814167349514,54.71606483555758,0.4532239515789849,-1.8506737609170123,51.25519662924225,32.0,48.0,1802.488,1799.8125,1801.1502500000001,1799.8125,1802.0853695951268,0.7622190795269643,0.7797022179331597,2021,2021-07
XAUUSD,H1,REC1.20_T5_STAG_OR_REBREAK_BROAD_H1,V候補後トリガー,2022-01-24 08:00:00,long,rebreak,47722,47728,47735,1843.108,1828.424,4.315469992110584,6,0.7192449986850974,7,1.1666666666666667,11,0.8154453827294986,0.618,0.8,1840.398,2022-01-24 09:00:00,1840.428,1827.573339467842,1866.0473210643156,2022-01-26 19:00:00,1827.573339467842,SL,56,12.85466053215805,-1.0,-1.0272274790240126,Research_2015_2024,1837.828,1841.598,1837.578,1840.398,3.402642128631372,0.6393034825870517,1836.656554609206,1835.6229528031404,1825.5155399467603,0.359275428300028,59.777320518326746,16.034397975686506,3.482221430433596,0.8827575669526464,1843.108,1847.804,False,False,3.578996227504547,0.9507252627097241,48.41269841269841,0.7014925373134202,1.6163909668079723,0.46923630518745085,-0.22587877791910382,0.6951150831065547,0.09873536352594126,90.89114923333803,85.79449489022302,96.44272348141345,0.33091137462875064,-9.108850766661966,43.79499098370099,32.0,8.0,1837.0079999999998,1835.746,1838.094,1836.377,1836.656554609206,0.7748926605674804,0.870555357608399,2022,2022-01
