year,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
2015,3,33.33333333333333,-0.03730970915615939,-0.012436569718719795,0.9814702445032436,1.0076551842331094,1
2016,3,33.33333333333333,-0.08121941100614527,-0.027073137002048425,0.9598454982718261,2.0226726147907472,2
2017,2,50.0,0.9878156439891013,0.49390782199455063,1.9659094147009235,1.0226793827193006,1
2018,2,0.0,-2.082639407159159,-1.0413197035795796,0.0,1.0359771096518204,2
2019,4,75.0,4.880268445757235,1.2200671114393087,5.661137568731026,0.0,1
2020,2,0.0,-2.0337751968617246,-1.0168875984308623,0.0,1.0221903276733382,2
2021,2,50.0,0.96390964450319,0.481954822251595,1.9455386129475103,0.0,1
2022,2,50.0,0.9883949342955869,0.49419746714779345,1.9621967426676308,0.0,1
2023,2,0.0,-2.019196913320992,-1.009598456660496,0.0,1.008827397046844,2
2024,2,0.0,-2.031499796079638,-1.015749898039819,0.0,1.0175394952643861,2
2025,4,75.0,4.979311451497265,1.2448278628743163,5.958004399613981,1.0042975056425814,1
2026,3,33.33333333333333,-1.6259122244634832,-0.5419707414878278,0.18866136831561675,1.00184073077972,2
