trigger_type,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
rebreak,7,71.42857142857143,8.874673756636305,1.2678105366623293,9.648745073228397,1.004018044664515,1
stagnation,2,100.0,3.9887821619145396,1.9943910809572698,inf,0.0,0
stagnation+rebreak,2,100.0,3.982001563627807,1.9910007818139035,inf,0.0,0
