period,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
OOS_2025_2026,1,100.0,1.957848751331096,1.957848751331096,inf,0.0,0
Research_2015_2024,10,80.0,14.887608730847557,1.4887608730847557,15.508604619610534,1.0040180446645142,1
