period,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
OOS_2025_2026,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
Research_2015_2024,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1
