trigger_type,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
rebreak,13,76.92307692307693,14.59913957661067,1.1230107366623592,8.179753391239444,1.007253474550276,1
stagnation,3,66.66666666666666,2.934797933158256,0.9782659777194187,3.784479931565352,0.0,1
stagnation+rebreak,4,100.0,7.9567975361259515,1.9891993840314879,inf,0.0,0
