symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
AUDJPY,2,100.0,3.985320148045889,1.9926600740229445,inf,0.0,0
CHFJPY,4,75.0,4.932879486502677,1.2332198716256693,5.913138277460902,1.0040180446645146,1
GBPJPY,3,100.0,4.553421163197088,1.5178070543990294,inf,0.0,0
SILVER,3,66.66666666666666,1.1193428810138715,0.3731142936712905,2.0620110343915794,0.0,1
USDJPY,4,75.0,5.951123800864818,1.4877809502162045,270.2247524935082,0.022104668109995895,1
XAUUSD,4,75.0,4.948647566270536,1.237161891567634,5.913011164821281,1.0072534745502764,1
