timeframe,structure,entry_mode,raw_candidates,avg_retrace,avg_chase_atr,diag_now_rate,upper_align_avg,upper_oppose_avg
M5,ihs_5pivot,B_confirmed,25700,1.0170268988099518,0.5863557953526104,65.11673151750973,0.9788326848249027,0.8149416342412451
M5,ihs_5pivot,B_plus_diag,16735,1.4416615204307337,0.6448447406406917,100.0,0.9366596952494771,0.8814460711084553
M15,ihs_5pivot,B_confirmed,10478,0.9444743347242778,0.5749457232171171,63.01775147928994,1.0199465546860087,0.7528154227906089
M5,ihs_5pivot,A_plus_diag,9536,0.6604321352625685,0.6193825891708536,100.0,1.055998322147651,0.7039639261744967
M5,role_ab_5pivot,B_confirmed,9149,1.1862647372330344,0.6810227873908675,56.42146682697563,0.9597770248114548,0.8160454694502132
M5,classic_6pivot,B_confirmed,9121,1.1965742513357627,0.6790128192172189,56.97840149106458,0.9611884661769543,0.8151518473851551
M15,ihs_5pivot,B_plus_diag,6603,1.4141842111743859,0.640552871111666,100.0,0.9566863546872634,0.857186127517795
M30,ihs_5pivot,B_confirmed,5817,0.9444714173336048,0.5811190327070224,63.74419804022692,1.0445246690734056,0.6946879834966477
M5,classic_6pivot,B_plus_diag,5197,1.4215840392015806,0.7643307219995158,100.0,0.9430440638830094,0.83644410236675
M5,role_ab_5pivot,B_plus_diag,5162,1.1544117483660448,0.7667848528359624,100.0,0.9422704378148005,0.8366912049593181
M5,role_ab_5pivot,A_plus_diag,4238,0.9062720009852074,0.5780067080232048,100.0,0.998112317130722,0.770410571024068
M5,classic_6pivot,A_plus_diag,4180,0.7592550904001886,0.5772533919470355,100.0,0.9976076555023924,0.7751196172248804
M15,ihs_5pivot,A_plus_diag,4019,0.5508367201640049,0.6155808082201248,100.0,1.1124657875093307,0.5755162975864643
M30,ihs_5pivot,B_plus_diag,3708,1.41161702417534,0.6535612098179288,100.0,0.9484897518878102,0.8149946062567421
M15,role_ab_5pivot,B_confirmed,3450,1.2029272076156252,0.6762328803055001,55.739130434782616,0.9602898550724638,0.7915942028985508
M15,classic_6pivot,B_confirmed,3429,1.2282976338130478,0.6711580654336452,56.43044619422572,0.9623797025371829,0.7944006999125109
H1,ihs_5pivot,B_confirmed,3371,0.9333490008514523,0.5865018170301419,64.63957282705428,0.541679026994957,0.3630970038564224
M30,ihs_5pivot,A_plus_diag,2384,0.490378567923513,0.6089709420692463,100.0,1.1958892617449663,0.438758389261745
H1,ihs_5pivot,B_plus_diag,2179,1.3593256902448134,0.6634982643513597,100.0,0.4850849013308857,0.4217530977512621
M30,classic_6pivot,B_confirmed,2034,1.2715436612489412,0.6611887106516423,57.86627335299902,1.0009832841691249,0.7099311701081613
M30,role_ab_5pivot,B_confirmed,2032,1.2187335531878871,0.6553483977449616,57.381889763779526,1.0054133858267718,0.7071850393700787
M15,classic_6pivot,B_plus_diag,1935,1.5128609743187411,0.7651452484762092,100.0,0.9359173126614987,0.8217054263565892
M15,role_ab_5pivot,B_plus_diag,1923,1.177614300761486,0.7719689335255897,100.0,0.9323972958918356,0.8190327613104524
M15,role_ab_5pivot,A_plus_diag,1600,0.8840956027449277,0.581691323101435,100.0,1.088125,0.646875
M15,classic_6pivot,A_plus_diag,1567,0.7252252423698191,0.5723148176628902,100.0,1.0848755583918315,0.6515634971282706
H1,ihs_5pivot,A_plus_diag,1354,0.48171354621321155,0.5919712152321416,100.0,0.6255539143279173,0.2658788774002954
M30,classic_6pivot,B_plus_diag,1177,1.4730755991774378,0.7667334309363736,100.0,0.9600679694137638,0.703483432455395
M30,role_ab_5pivot,B_plus_diag,1166,1.1494538365510423,0.7561688821613024,100.0,0.967409948542024,0.7024013722126929
H4,ihs_5pivot,B_confirmed,1097,0.942121531889947,0.5730661972087172,66.18049225159525,0.5378304466727438,0.40929808568824066
H1,role_ab_5pivot,B_confirmed,1020,1.2287745945937687,0.6549904095033321,54.01960784313725,0.5294117647058824,0.3588235294117647
H1,classic_6pivot,B_confirmed,1010,1.2456026389771842,0.6562222726036716,55.940594059405946,0.5257425742574258,0.3574257425742574
M30,role_ab_5pivot,A_plus_diag,968,0.8485060815487528,0.5301720305479112,100.0,1.197314049586777,0.4824380165289256
M30,classic_6pivot,A_plus_diag,960,0.6402124200310462,0.5410989775322721,100.0,1.1979166666666667,0.47708333333333336
H4,ihs_5pivot,B_plus_diag,726,1.3554898778246756,0.6442036580426909,100.0,0.5,0.4476584022038568
H1,classic_6pivot,B_plus_diag,565,1.4988975422927657,0.7672782896994916,100.0,0.5079646017699115,0.3663716814159292
H1,role_ab_5pivot,B_plus_diag,551,1.2178735231886424,0.7522345789257138,100.0,0.5172413793103449,0.3666061705989111
H1,role_ab_5pivot,A_plus_diag,512,0.9209077816162811,0.5580828598191172,100.0,0.650390625,0.2578125
H1,classic_6pivot,A_plus_diag,506,0.6826562368906975,0.552633065092564,100.0,0.6521739130434783,0.25691699604743085
H4,ihs_5pivot,A_plus_diag,469,0.5301546916145804,0.5757378838055403,100.0,0.6076759061833689,0.3326226012793177
H4,role_ab_5pivot,B_confirmed,260,1.210798412287022,0.612878072543797,60.0,0.5423076923076923,0.4153846153846154
H4,classic_6pivot,B_confirmed,257,1.2476173067744192,0.5915694968004616,62.2568093385214,0.5291828793774319,0.4280155642023346
H4,role_ab_5pivot,A_plus_diag,164,0.7815898333890359,0.4663202666653751,100.0,0.6280487804878049,0.35365853658536583
H4,classic_6pivot,B_plus_diag,160,1.4061839283135071,0.6417044283325021,100.0,0.525,0.4375
H4,role_ab_5pivot,B_plus_diag,156,1.1786550797899613,0.6734821164468673,100.0,0.5448717948717948,0.4166666666666667
H4,classic_6pivot,A_plus_diag,152,0.5854156821899748,0.4857986915460887,100.0,0.6644736842105263,0.3223684210526316
