entry_mode,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
B_plus_diag,diag_break,fixed_2R,835,40.35928143712575,20.116211373863116,0.024091271106422892,1.0420988922651127,43.50744283336162,9,2.0,2.0,61.10059880239521,26.34730538922156
B_plus_diag,basic_role,fixed_2R,1039,41.1934552454283,17.17310244979729,0.016528491289506536,1.0296340364751642,43.495409789715,11,2.0,2.0,66.13282001924928,24.254090471607313
B_confirmed,context,fixed_1_5R,1281,44.340359094457455,16.989076897186667,0.013262355110996618,1.024841146157788,37.79636032960223,14,1.5,1.5,53.21077283372365,34.113973458235755
B_plus_diag,context,fixed_2R,404,40.34653465346535,16.010557781607503,0.03963009351883045,1.068842164606347,24.307209591944638,9,2.0,2.0,57.272277227722775,27.475247524752476
B_confirmed,context,fixed_2R,1266,39.652448657187996,10.176851128325385,0.008038586989198567,1.0138343411347,52.133194938765115,15,2.0,2.0,60.169826224328595,25.27646129541864
A_plus_diag,strict_synapse,fixed_1_5R,171,45.02923976608187,7.281837294441635,0.042583843827144065,1.1043096800252006,7.7080711664383195,7,1.5000000000000002,1.5,81.33333333333333,23.391812865497073
B_confirmed,diag_break,half_wave,62,48.38709677419355,6.5326325807805015,0.10536504162549196,1.192922052253347,11.8307492661252,5,1.6593603627521878,1.3693765646199036,32.854838709677416,48.38709677419355
B_confirmed,context,half_wave,30,46.666666666666664,5.097867803692144,0.16992892678973812,1.317790120344772,5.604067273849488,4,1.8207238479642014,1.472161972116445,39.46666666666667,46.666666666666664
B_plus_diag,basic_role,half_wave,23,60.86956521739131,4.471677443455057,0.19442075841108944,1.4343928798597798,4.112304354710211,2,1.32266528944795,1.2096478781390487,35.30434782608695,56.52173913043478
A_plus_diag,diag_break,half_wave,1,100.0,1.2488522711771408,1.2488522711771408,inf,0.0,0,1.4338674224624874,1.4338674224624874,14.0,100.0
A_plus_diag,strict_synapse,fixed_2R,169,41.42011834319527,0.5457148959958018,0.0032290822248272296,1.0074839537997506,14.052403688447493,11,2.0,2.0,88.24260355029585,13.017751479289942
A_plus_diag,context,fixed_2R,514,42.023346303501945,0.0022201987786658606,4.31945287678183e-06,1.0000091012549714,32.12286691673485,9,2.0,2.0,82.2976653696498,15.17509727626459
B_plus_diag,context,half_wave,6,50.0,-0.27063811949951644,-0.045106353249919406,0.9158045655934678,2.098234139473808,2,1.5697175906210878,1.286850971035296,56.166666666666664,33.33333333333333
A_plus_diag,basic_role,half_wave,4,50.0,-0.4725820837388872,-0.1181455209347218,0.8096139349167074,2.482230427590043,2,1.2799384046410955,1.1332183547698154,8.0,50.0
