timeframe,filter,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
H1,basic_role,1251,44.04476418864908,91.24456186148984,0.07293729964947229,1.1378412572150813,36.85957557189033,23,1.7417639131014395,1.5000000000000302,43.66986410871303,31.095123900879294
M15,basic_role,3806,42.53809774040988,83.78097320150124,0.022012867367709205,1.0410765455879172,159.4487286488912,26,1.7397023458124383,1.5000000000000573,57.68759852863899,28.84918549658434
H1,diag_break,718,43.871866295264624,69.05392379262975,0.09617538132678237,1.185082088794301,34.51033211536458,18,1.7464944525848474,1.5000000000000353,44.42757660167131,32.45125348189415
M15,observe_loose,5011,42.885651566553584,53.74375882978498,0.010725156421828972,1.0202725870194107,190.1229011650311,24,1.7027648259005506,1.500000000000039,58.510077828776694,29.0560766314109
H1,observe_loose,1644,42.76155717761557,43.57683018497072,0.026506587703753477,1.0500377073592155,48.014357888174274,17,1.7098306022314826,1.5000000000000222,45.66484184914842,28.467153284671532
M15,context,1028,41.92607003891051,23.5046250727225,0.022864421276967414,1.0428943496863448,53.31066542118502,21,1.7486863902583176,1.500000000000072,58.1284046692607,28.11284046692607
H4,context,113,54.86725663716814,21.22550002783125,0.18783628343213493,1.4246183418060587,9.363872156456072,8,1.7477876106194696,1.5000000000000162,32.690265486725664,27.43362831858407
H4,diag_break,251,47.410358565737056,15.324884975204228,0.061055318626311667,1.1173059958885323,18.430887937550583,12,1.7470119521912353,1.5000000000000175,29.111553784860558,26.693227091633464
H1,context,424,41.509433962264154,13.223971566556585,0.031188612185274966,1.0576765943769508,26.46009943768702,14,1.7500000000000002,1.750000000000019,44.679245283018865,30.18867924528302
H4,strict_synapse,24,62.5,9.597158819655004,0.3998816174856252,2.183077279522251,3.113115427538851,4,1.7500000000000018,1.750000000000008,39.125,29.166666666666668
H4,observe_loose,548,41.058394160583944,1.6849605628768156,0.003074745552694919,1.0057670167029829,45.21398817635935,11,1.7193368477591313,1.5000000000000122,30.885036496350367,27.189781021897808
M30,strict_synapse,143,41.95804195804196,0.12429029551684384,0.0008691629057121947,1.0017386867708025,10.392448935579395,10,1.7482517482517486,1.5000000000000615,55.30769230769231,21.678321678321677
M30,context,716,42.17877094972067,-4.361437423460426,-0.006091393049525735,0.9886463183084464,52.881677185038804,20,1.7465302524685302,1.5000000000000617,49.01675977653631,25.558659217877093
H4,basic_role,431,40.835266821345705,-6.5481598180658445,-0.015192946213609847,0.9730185406499381,39.7738103348812,16,1.7432850604871648,1.5000000000000153,28.443155452436194,26.68213457076566
M30,diag_break,1237,42.037186742118024,-6.749524296450147,-0.0054563656398141855,0.9898697557116892,101.29378125144488,22,1.7469811323908384,1.5000000000000604,48.25464834276475,25.78819725141471
H1,strict_synapse,86,39.53488372093023,-7.005852829189877,-0.08146340499057997,0.8469220837322513,14.534992600565818,14,1.7499999999999993,1.750000000000016,53.31395348837209,22.093023255813954
M5,strict_synapse,302,43.04635761589404,-7.39342979348228,-0.02448155560755722,0.949315865538003,22.62676112058403,18,1.7473907280372085,1.500000000000151,86.29801324503312,21.52317880794702
M15,diag_break,2056,41.68287937743191,-8.977943598471498,-0.004366704084859678,0.9919758092351926,90.83818638720693,26,1.7463822047957522,1.5000000000000635,57.31906614785992,27.28599221789883
M5,context,2155,41.90255220417634,-13.202486081150123,-0.006126443657146229,0.9887106260951136,56.20525733002434,18,1.7486657777399692,1.5000000000001446,71.69559164733178,27.888631090487237
M30,basic_role,2195,42.004555808656036,-19.40356661189098,-0.00883989367284327,0.9834587791995045,100.03925879761346,22,1.7414044308582524,1.500000000000039,49.76993166287016,25.69476082004556
M15,strict_synapse,188,35.1063829787234,-24.095241387873408,-0.12816617759507132,0.7465662190274642,35.23929208937412,18,1.7499999999999993,1.7500000000000178,77.1063829787234,15.957446808510639
M30,observe_loose,2964,42.037786774628884,-80.5593377844607,-0.027179263759939506,0.9492263662289324,146.4532580858676,25,1.7069751988480752,1.5000000000000266,49.15452091767881,25.775978407557353
M5,diag_break,4581,40.558829949792624,-229.46189912057497,-0.050089914673777554,0.910882710674021,264.4244863815358,26,1.7465367457987562,1.5000000000001164,71.17943680419123,26.8282034490286
M5,observe_loose,12278,42.47434435575826,-448.98219412419536,-0.036568023629597275,0.9324179006833424,524.815174871597,36,1.692684633760557,1.5000000000000564,70.69620459358201,27.63479394038117
M5,basic_role,9037,40.77680646232157,-460.97578797729034,-0.05100982493939254,0.9091630820933064,472.378759379816,38,1.7372985631575468,1.500000000000093,69.80823282062632,26.60174836782118
