feature,bin,trades,win_rate,total_r,avg_r,pf
retrace,"(0.382, 0.5]",4835,42.916235780765255,-94.18881339136112,-0.019480623245369415,0.9633759405919488
retrace,"(0.5, 0.618]",13684,41.04063139432914,-407.67008328689275,-0.029791733651482955,0.9458012106961119
retrace,"(0.618, 0.764]",16489,42.81035842076536,33.36342566153889,0.0020233747141451203,1.0037826234629679
retrace,"(0.764, 0.886]",12006,40.846243544894214,-493.90595574666173,-0.041138260515297495,0.9260679493489181
retrace,"(0.886, 1.05]",6173,43.49586910740321,70.77000510756068,0.01146444275191328,1.0217557537357644
planned_rr,"(-0.001, 0.8]",687,60.4075691411936,-60.61559477644981,-0.0882323068070594,0.7884851217560099
planned_rr,"(0.8, 1.0]",320,49.0625,-45.21969263308624,-0.1413115394783945,0.7374049028015902
planned_rr,"(1.0, 1.2]",183,57.92349726775956,19.760326456549713,0.10797992599207493,1.240202819043733
planned_rr,"(1.2, 1.5]",19900,43.30653266331658,-496.2508700643093,-0.02493722965147283,0.9528537331489614
planned_rr,"(1.5, 2.0]",31979,40.642296507082776,-335.63859722431806,-0.010495593896754685,0.9810418950368712
planned_rr,"(2.0, 3.0]",103,42.71844660194174,34.41009896726102,0.334078630750107,1.5582396644457637
planned_rr,"(3.0, 99.0]",15,13.333333333333334,-8.07709238146338,-0.538472825430892,0.44286134669641775
adjust_ratio,"(-0.001, 0.25]",1837,44.093630919978224,50.32559550420671,0.027395533752970446,1.0536172814712916
adjust_ratio,"(0.25, 0.5]",4256,43.53853383458647,-61.818460787988165,-0.014525014282891956,0.9731222552454231
adjust_ratio,"(0.5, 1.0]",9186,40.59438275636838,-419.390879482673,-0.0456554408319914,0.9179668579971569
adjust_ratio,"(1.0, 2.0]",14311,42.980923764936065,235.92482184723568,0.01648555809148457,1.030527488748571
adjust_ratio,"(2.0, 99.0]",23595,41.5172706081797,-694.5654479502066,-0.029436975967374723,0.9455914929199859
adjust_ratio,nan,2,0.0,-2.10705078639082,-1.05352539319541,0.0
chase_atr,"(0.0, 0.5]",29665,42.420360694421035,-66.03472296079936,-0.002226014595004192,0.99591884700047
chase_atr,"(0.5, 1.0]",15039,41.12640468116231,-560.2535708767248,-0.03725337927234024,0.9320914120226862
chase_atr,"(1.0, 1.5]",5345,42.09541627689429,-121.95005491366449,-0.02281572589591478,0.9567112804749187
chase_atr,"(1.5, 2.0]",1977,41.22407688416793,-88.56112661345362,-0.044795714017933044,0.9166300371473045
chase_atr,"(2.0, 3.0]",929,41.442411194833156,-54.09215270334033,-0.058226213889494435,0.8795532757865645
chase_atr,"(3.0, 999.0]",232,51.724137931034484,-0.7397935878332262,-0.003188765464798389,0.991609144617691
mid_recovery,"(-99.001, 0.25]",391,40.153452685421996,7.492592564249172,0.01916264082928177,1.030300154194573
mid_recovery,"(0.25, 0.5]",4093,42.3894453945761,-203.39538574449756,-0.04969347318458284,0.9147911195379824
mid_recovery,"(0.5, 0.75]",9171,43.822920074146765,314.07169680714765,0.034246177822172895,1.0605370295039385
mid_recovery,"(0.75, 1.0]",8683,41.33364044685017,58.55230461411304,0.00674332657078349,1.0115604293410725
mid_recovery,"(1.0, 1.5]",12554,39.97132388083479,-612.6276444214021,-0.048799398153688237,0.9167625409912007
mid_recovery,"(1.5, 999.0]",18295,42.74938507789013,-455.72498547542614,-0.024909810629976832,0.9470081199224066
trendline_slope_atr_abs,"(-0.001, 0.03]",10659,41.19523407449104,-427.84881097434516,-0.04013967642127265,0.9277115511573378
trendline_slope_atr_abs,"(0.03, 0.05]",9138,42.62420660976144,67.2381713807919,0.007358083976886835,1.0139690785192323
trendline_slope_atr_abs,"(0.05, 0.12]",19813,42.426689547266946,-184.47235002484183,-0.009310672287126726,0.9825001705383818
trendline_slope_atr_abs,"(0.12, 0.25]",10750,42.42790697674418,-60.862650578907505,-0.005661641914316977,0.9896467975471845
trendline_slope_atr_abs,"(0.25, 0.5]",2576,37.92701863354037,-282.22575161530966,-0.10955968618606741,0.8178755765700033
trendline_slope_atr_abs,"(0.5, 1.0]",241,43.56846473029046,-1.9668118425078998,-0.008161044989659335,0.985881292019252
trendline_slope_atr_abs,"(1.0, 99.0]",10,40.0,-1.4932180006957232,-0.14932180006957232,0.7609310252436928
body_ratio,"(-0.001, 0.25]",1615,45.69659442724458,82.42470414304523,0.05103696850962553,1.0972455251510362
body_ratio,"(0.25, 0.35]",1726,43.62688296639629,32.95722451301842,0.01909456808401994,1.0363775384405944
body_ratio,"(0.35, 0.45]",3694,39.87547374120195,-122.52474849722202,-0.0331685837837634,0.9415366994816299
body_ratio,"(0.45, 0.65]",13036,42.68180423442774,186.40153097986374,0.01429898212487448,1.0267072630158176
body_ratio,"(0.65, 1.0]",33116,41.704916052663364,-1070.8901327945216,-0.03233754477577369,0.9405669427222882
