parameter,value,bb_lo,bb_hi,recovery_max,macd_min,bb_width_max,use_guard,guard_macd_weak,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,research_trades,research_win_rate,research_total_r,research_avg_r,research_pf,research_max_dd_r,research_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak
bb_hi,1.0,0.75,1.0,16,0.0,4.0,True,0.03,23,78.26086956521739,28.39313806042092,1.2344842634965618,7.904260511866804,2.029065903389963,2,19,73.68421052631578,23.674897969325333,1.2460472615434386,6.756942498720948,2.029065903389963,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
bb_hi,1.05,0.75,1.05,16,0.0,4.0,True,0.03,24,75.0,27.388052237141533,1.1411688432142306,6.351848328928306,2.029065903389963,2,20,70.0,22.669812146045942,1.133490607302297,5.429865811574675,2.029065903389963,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
recovery_max,8,0.75,0.95,8,0.0,4.0,True,0.03,5,100.0,9.901942574319143,1.9803885148638287,inf,0.0,0,4,100.0,7.944093822988048,1.986023455747012,inf,0.0,0,1,100.0,1.957848751331096,1.957848751331096,inf,0.0,0
recovery_max,10,0.75,0.95,10,0.0,4.0,True,0.03,11,81.81818181818183,13.60643144285346,1.236948312986678,14.260043144414308,1.0040180446645142,1,8,75.0,10.878642151735038,1.3598302689668798,11.601697064399364,1.0040180446645142,1,3,100.0,2.7277892911184223,0.909263097039474,inf,0.0,0
recovery_max,12,0.75,0.95,12,0.0,4.0,True,0.03,16,81.25,20.521369854935237,1.2825856159334523,10.865535970873275,1.0539842287562833,1,13,76.92307692307693,17.793580563816814,1.3687369664474471,9.554166234704333,1.0539842287562833,1,3,100.0,2.7277892911184223,0.909263097039474,inf,0.0,0
recovery_max,14,0.75,0.95,14,0.0,4.0,True,0.03,18,77.77777777777779,21.509702463434106,1.1949834701907838,7.967020225885181,1.0539842287562833,1,15,73.33333333333333,18.781913172315686,1.2521275448210458,7.083485774607566,1.0539842287562833,1,3,100.0,2.7277892911184223,0.909263097039474,inf,0.0,0
recovery_max,16,0.75,0.95,16,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
recovery_max,18,0.75,0.95,18,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
recovery_max,20,0.75,0.95,20,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
recovery_max,24,0.75,0.95,24,0.0,4.0,True,0.03,24,75.0,26.849848198758515,1.1187436749482715,6.264147251941234,2.015661956267362,2,19,68.42105263157895,20.740260401486807,1.091592652709832,5.066309201780912,2.015661956267362,2,5,100.0,6.109587797271706,1.2219175594543412,inf,0.0,0
recovery_max,28,0.75,0.95,28,0.0,4.0,True,0.03,25,72.0,25.841240590776813,1.0336496236310726,5.229944847318108,2.015661956267362,2,20,65.0,19.73165279350511,0.9865826396752555,4.229868270827004,2.015661956267362,2,5,100.0,6.109587797271706,1.2219175594543412,inf,0.0,0
recovery_max,32,0.75,0.95,32,0.0,4.0,True,0.03,26,73.07692307692307,27.83074081737072,1.0704131083604123,5.555605536968694,2.015661956267362,2,21,66.66666666666666,21.721153020099017,1.0343406200047152,4.555528960477591,2.015661956267362,2,5,100.0,6.109587797271706,1.2219175594543412,inf,0.0,0
macd_min,-0.02,0.75,0.95,16,-0.02,4.0,True,0.03,24,75.0,25.33680038787278,1.0557000161613659,5.923726858666898,2.064928713417582,2,19,68.42105263157895,19.889265176976636,1.0468034303671914,4.865101656557275,2.064928713417582,2,5,100.0,5.447535210896149,1.0895070421792297,inf,0.0,0
macd_min,0.0,0.75,0.95,16,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
macd_min,0.01,0.75,0.95,16,0.01,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
macd_min,0.02,0.75,0.95,16,0.02,4.0,True,0.03,18,83.33333333333334,24.554137492167552,1.364118749564864,13.0755508229258,1.0072534745502768,1,14,78.57142857142857,19.835897401071968,1.4168498143622834,10.75515378055503,1.0072534745502768,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
macd_min,0.03,0.75,0.95,16,0.03,4.0,True,0.03,17,82.35294117647058,22.558551409118408,1.326973612301083,12.094135728420026,1.0072534745502768,1,13,76.92307692307693,17.84031131802282,1.3723316398479093,9.773738686049256,1.0072534745502768,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
macd_min,0.05,0.75,0.95,16,0.05,4.0,True,0.03,6,66.66666666666666,4.16010788004508,0.6933513133408468,3.0683969520282397,2.011271519214791,2,5,60.0,3.9446295216060214,0.7889259043212042,2.961261562111724,2.011271519214791,2,1,100.0,0.2154783584390588,0.2154783584390588,inf,0.0,0
macd_min,0.08,0.75,0.95,16,0.08,4.0,True,0.03,6,66.66666666666666,4.16010788004508,0.6933513133408468,3.0683969520282397,2.011271519214791,2,5,60.0,3.9446295216060214,0.7889259043212042,2.961261562111724,2.011271519214791,2,1,100.0,0.2154783584390588,0.2154783584390588,inf,0.0,0
bb_width_max,3.0,0.75,0.95,16,0.0,3.0,True,0.03,4,100.0,7.955240229656585,1.9888100574141463,inf,0.0,0,3,100.0,5.997391478325489,1.999130492775163,inf,0.0,0,1,100.0,1.957848751331096,1.957848751331096,inf,0.0,0
bb_width_max,3.5,0.75,0.95,16,0.0,3.5,True,0.03,10,80.0,13.813176251537309,1.381317625153731,7.71193439868127,1.0040180446645142,1,9,77.77777777777779,11.855327500206213,1.3172586111340236,6.760599807550437,1.0040180446645142,1,1,100.0,1.957848751331096,1.957848751331096,inf,0.0,0
bb_width_max,4.0,0.75,0.95,16,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
bb_width_max,4.5,0.75,0.95,16,0.0,4.5,True,0.03,24,75.0,28.180094521097285,1.1741706050457201,7.445318784683813,1.3339542977554448,2,19,68.42105263157895,21.47259759751433,1.130136715658649,5.911187808387331,1.3339542977554448,2,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0
bb_width_max,5.0,0.75,0.95,16,0.0,5.0,True,0.03,32,68.75,32.08821898431393,1.0027568432598104,4.817773460185478,3.348004902275684,4,27,62.96296296296296,25.380722060730974,0.9400267429900361,4.0197327913765015,3.348004902275684,4,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0
bb_width_max,5.5,0.75,0.95,16,0.0,5.5,True,0.03,34,67.64705882352942,33.06110214386973,0.9723853571726392,4.5117177721702095,3.348004902275684,4,29,62.06896551724138,26.353605220286767,0.9087450075960954,3.7992540421099914,3.348004902275684,4,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0
bb_width_max,6.0,0.75,0.95,16,0.0,6.0,True,0.03,38,68.42105263157895,36.909290807864295,0.9712971265227446,4.541086655605195,3.348004902275684,4,33,63.63636363636363,30.201793884281333,0.9152058752812525,3.897567711492845,3.348004902275684,4,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0
bb_width_max,7.0,0.75,0.95,16,0.0,7.0,True,0.03,39,66.66666666666666,35.90342175308876,0.9206005577715066,4.14142531950299,4.35387395705122,5,34,61.76470588235294,29.195924829505795,0.8587036714560528,3.554542520110223,4.35387395705122,5,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0
guard_macd_weak,0.0,0.75,0.95,16,0.0,4.0,True,0.0,23,78.26086956521739,28.430060559794935,1.2360895895563015,7.916992817213554,1.0539842287562833,1,19,73.68421052631578,23.711820468699347,1.2479905509841762,6.76905179361439,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
guard_macd_weak,0.01,0.75,0.95,16,0.0,4.0,True,0.01,22,77.27272727272727,26.455465604657874,1.2025211638480853,7.436576706496423,2.0300694474115506,2,18,72.22222222222221,21.737225513562286,1.2076236396423492,6.28863568289726,2.0300694474115506,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
guard_macd_weak,0.02,0.75,0.95,16,0.0,4.0,True,0.02,22,77.27272727272727,26.455465604657874,1.2025211638480853,7.436576706496423,2.0300694474115506,2,18,72.22222222222221,21.737225513562286,1.2076236396423492,6.28863568289726,2.0300694474115506,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
guard_macd_weak,0.03,0.75,0.95,16,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
guard_macd_weak,0.05,0.75,0.95,16,0.0,4.0,True,0.05,11,72.72727272727273,11.069701785701483,1.006336525972862,4.611346881260604,1.0539842287562833,1,10,70.0,10.854223427262424,1.0854223427262424,4.541049856752393,1.0539842287562833,1,1,100.0,0.2154783584390588,0.2154783584390588,inf,0.0,0
guard_macd_weak,0.08,0.75,0.95,16,0.0,4.0,True,0.08,11,72.72727272727273,11.069701785701483,1.006336525972862,4.611346881260604,1.0539842287562833,1,10,70.0,10.854223427262424,1.0854223427262424,4.541049856752393,1.0539842287562833,1,1,100.0,0.2154783584390588,0.2154783584390588,inf,0.0,0
use_guard,False,0.75,0.95,16,0.0,4.0,False,0.03,23,78.26086956521739,28.430060559794935,1.2360895895563015,7.916992817213554,1.0539842287562833,1,19,73.68421052631578,23.711820468699347,1.2479905509841762,6.76905179361439,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
use_guard,True,0.75,0.95,16,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
