parameter,value,bb_lo,bb_hi,recovery_max,macd_min,bb_width_max,use_guard,guard_macd_weak,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,research_trades,research_win_rate,research_total_r,research_avg_r,research_pf,research_max_dd_r,research_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,score
bb_lo,0.85,0.85,0.95,16,0.0,4.0,True,0.03,12,83.33333333333334,18.836039264662258,1.569669938721855,19.356517237331104,1.0040180446645142,1,11,81.81818181818183,16.878190513331162,1.5343809557573784,17.448510790385484,1.0040180446645142,1,1,100.0,1.957848751331096,1.957848751331096,inf,0.0,0,1.7944963084050778
macd_min,0.02,0.75,0.95,16,0.02,4.0,True,0.03,18,83.33333333333334,24.554137492167552,1.364118749564864,13.0755508229258,1.0072534745502768,1,14,78.57142857142857,19.835897401071968,1.4168498143622834,10.75515378055503,1.0072534745502768,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,1.6002978803723469
bb_hi,0.95,0.75,0.95,16,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,1.5454327312377327
bb_width_max,4.0,0.75,0.95,16,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,1.5454327312377327
guard_macd_weak,0.03,0.75,0.95,16,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,1.5454327312377327
recovery_max,16,0.75,0.95,16,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,1.5454327312377327
use_guard,True,0.75,0.95,16,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,1.5454327312377327
