timeframe,strategy,pattern,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r
H1,VCTX_618_800_FAST_REBREAK_ONLY_RR2,all accepted,332,38.855421686746986,47.88582664241588,0.1442344175976382,1.2325183885545812,19.521785203046107
H4,VCTX_618_800_FAST_REBREAK_ONLY_RR2,all accepted,98,47.95918367346938,17.98400357890713,0.18351024060109317,1.3772291184662304,7.267925359953815
H1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,all accepted,335,38.80597014925373,47.80708050525797,0.14270770300077007,1.2298433094887282,19.521785203046107
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,all accepted,124,50.0,32.14828015460012,0.25926032382742037,1.5470503658806365,6.413103624763709
H1,VCTX_618_800_REBREAK_ONLY_RR2,all accepted,718,36.629526462395546,43.969931269450505,0.06123945859254945,1.0947833026317184,44.557324513697644
H4,VCTX_618_800_REBREAK_ONLY_RR2,all accepted,253,45.059288537549406,45.65867426551953,0.1804690682431602,1.3589300237661943,11.340884533144584
H1,VCTX_618_800_STAG_OR_REBREAK_RR2,all accepted,718,36.908077994428965,49.99877714696609,0.0696361798704263,1.108264074017173,41.56729516393864
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,all accepted,294,45.57823129251701,49.047758161108575,0.16682910939152576,1.3308620180657624,15.392190821150379
H1,VCTX_618_800_FAST_REBREAK_ONLY_RR2,rebreak including overlap,332,38.855421686746986,47.88582664241588,0.1442344175976382,1.2325183885545812,19.521785203046107
H4,VCTX_618_800_FAST_REBREAK_ONLY_RR2,rebreak including overlap,98,47.95918367346938,17.98400357890713,0.18351024060109317,1.3772291184662304,7.267925359953815
H1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,rebreak including overlap,330,38.484848484848484,43.88402275614634,0.13298188713983738,1.2130749049572518,20.530490442326098
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,rebreak including overlap,89,49.43820224719101,20.472953475804893,0.23003318512140328,1.492322734661032,7.267925359953818
H1,VCTX_618_800_REBREAK_ONLY_RR2,rebreak including overlap,718,36.629526462395546,43.969931269450505,0.06123945859254945,1.0947833026317184,44.557324513697644
H4,VCTX_618_800_REBREAK_ONLY_RR2,rebreak including overlap,253,45.059288537549406,45.65867426551953,0.1804690682431602,1.3589300237661943,11.340884533144584
H1,VCTX_618_800_STAG_OR_REBREAK_RR2,rebreak including overlap,711,36.56821378340366,42.08974616040653,0.05919795521857458,1.0915364377260663,44.538103611251174
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,rebreak including overlap,228,46.05263157894737,47.997706376454836,0.21051625603708263,1.422307766292462,11.344044569780426
H1,VCTX_618_800_FAST_REBREAK_ONLY_RR2,stagnation+rebreak only,4,0.0,-4.056276134934354,-1.0140690337335885,0.0,3.0343532452111392
H4,VCTX_618_800_FAST_REBREAK_ONLY_RR2,stagnation+rebreak only,23,52.17391304347826,7.936153064403265,0.34505013323492456,1.7922444899565153,2.6377208112848227
H1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,stagnation+rebreak only,4,0.0,-4.056276134934354,-1.0140690337335885,0.0,3.0343532452111392
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,stagnation+rebreak only,19,57.89473684210527,10.447426889108712,0.5498645731109848,2.4929200870977075,2.0541506691375595
H1,VCTX_618_800_REBREAK_ONLY_RR2,stagnation+rebreak only,4,0.0,-4.045064121521053,-1.0112660303802632,0.0,3.023141231797838
H4,VCTX_618_800_REBREAK_ONLY_RR2,stagnation+rebreak only,47,48.93617021276596,16.092238022827363,0.34238804303888004,1.7411701248012315,4.789301118499866
H1,VCTX_618_800_STAG_OR_REBREAK_RR2,stagnation+rebreak only,4,0.0,-4.045064121521053,-1.0112660303802632,0.0,3.023141231797838
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,stagnation+rebreak only,42,50.0,16.602491096718904,0.3952974070647358,1.888287394073436,5.297348916400541
