timeframe,strategy,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,GBPJPY,7,71.42857142857143,7.0628543957927965,1.008979199398971,5.901954260648399,1.440824214230544,2,118.57142857142857
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,CHFJPY,5,60.0,4.808796431809103,0.9617592863618206,5.203858963593429,0.1337934440297055,2,120.6
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,EURJPY,8,50.0,3.580673217768181,0.4475841522210226,2.174153418265116,2.0431816763308417,3,119.375
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,XAUUSD,4,50.0,1.9633518262416574,0.49083795656041435,1.972606485354862,2.0186497373861494,2,111.0
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,USDJPY,4,50.0,0.8519713944744405,0.21299284861861012,1.446622994769656,0.9032488975864374,1,98.5
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,SILVER,4,50.0,0.5168165854980904,0.1292041463745226,1.2492141235665162,1.0250478587254472,1,62.5
H1,VCTX_618_800_STAG_OR_REBREAK_RR2,USDJPY,1,0.0,-1.003391651525918,-1.003391651525918,0.0,0.0,1,69.0
H1,VCTX_618_800_STAG_OR_REBREAK_RR2,CHFJPY,1,0.0,-1.0219228897232147,-1.0219228897232147,0.0,0.0,1,87.0
H1,VCTX_618_800_STAG_OR_REBREAK_RR2,EURJPY,2,0.0,-2.0197495802719203,-1.0098747901359602,0.0,1.0141616125470636,2,198.5
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,AUDJPY,10,30.0,-2.181972754865364,-0.2181972754865364,0.6907690371643651,5.044774967151462,5,76.0
