symbol,timeframe,strategy,family,signal_time,direction,trigger_type,v_start_i,v_extreme_i,candidate_i,v_start,v_extreme,v_move_atr,v_move_bars,v_drop_speed_atr_per_bar,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,year
AUDJPY,H1,VCTX_618_800_FAST_REBREAK_ONLY_RR2,V候補後トリガー,2015-01-20 01:00:00,long,rebreak,6469,6476,6486,96.906,95.926,4.225909620406158,7,0.6037013743437369,10,1.4285714285714286,22,0.9897959183673417,0.618,0.8,96.896,2015-01-20 02:00:00,96.926,95.86802431618108,98.95195136763785,2015-01-21 15:00:00,95.86802431618108,SL,37,1.057975683818924,-1.0,-1.011815016347888,2015
GBPJPY,H1,VCTX_618_800_FAST_REBREAK_ONLY_RR2,V候補後トリガー,2015-01-20 09:00:00,long,rebreak,12448,12454,12462,178.3,176.97,3.66860294815561,6,0.6114338246926017,8,1.3333333333333333,30,1.7218045112781732,0.618,0.8,179.26,2015-01-20 10:00:00,179.27,176.87936604350514,184.02126791298969,2015-01-23 07:00:00,176.87936604350514,SL,69,2.3906339564948667,-1.0,-1.0083659817286732,2015
EURJPY,H1,VCTX_618_800_FAST_REBREAK_ONLY_RR2,V候補後トリガー,2015-01-26 13:00:00,long,rebreak,6462,6467,6474,132.96,130.14,5.420210654115582,5,1.0840421308231163,7,1.4,14,1.1489361702127603,0.618,0.8,133.38,2015-01-26 14:00:00,133.39,130.00993125452334,140.1201374909533,2015-03-10 12:00:00,130.00993125452334,SL,706,3.380068745476649,-1.0,-1.003698149635778,2015
USDJPY,H1,VCTX_618_800_FAST_REBREAK_ONLY_RR2,V候補後トリガー,2015-02-03 13:00:00,long,rebreak,6735,6741,6745,117.704,116.876,3.661070222453204,6,0.6101783704088674,4,0.6666666666666666,9,0.9963768115942027,0.618,0.8,117.701,2015-02-03 14:00:00,117.699,116.81945915608762,119.46408168782474,2015-02-10 13:00:00,119.46408168782474,TP,119,0.8795408439123804,2.0068217411863407,1.9954521725424232,2015
GBPJPY,H1,VCTX_618_800_FAST_REBREAK_ONLY_RR2,V候補後トリガー,2015-02-24 06:00:00,long,rebreak,13025,13028,13030,183.48,182.58,3.570906356437224,3,1.190302118812408,2,0.6666666666666666,19,1.7666666666666835,0.618,0.8,184.17,2015-02-24 07:00:00,184.16,182.5169907867804,187.47601842643914,2015-03-04 19:00:00,182.5169907867804,SL,154,1.6430092132195853,-1.0,-1.012172786274759,2015
USDJPY,H1,VCTX_618_800_FAST_REBREAK_ONLY_RR2,V候補後トリガー,2015-03-13 00:00:00,long,rebreak,7387,7398,7402,121.668,120.654,6.872379813933048,11,0.6247618012666406,4,0.36363636363636365,12,0.7662721893491059,0.618,0.8,121.431,2015-03-13 01:00:00,121.43,120.61711321451034,123.05877357097931,2015-03-18 18:00:00,120.61711321451034,SL,89,0.8128867854896669,-1.0,-1.01230183609636,2015
USDJPY,H1,VCTX_618_800_FAST_REBREAK_ONLY_RR2,V候補後トリガー,2015-03-19 12:00:00,long,rebreak,7488,7502,7513,121.407,119.293,9.147419862890773,14,0.6533871330636267,11,0.7857142857142857,16,0.7582781456953651,0.618,0.8,120.896,2015-03-19 13:00:00,120.897,119.23522414539602,124.21755170920797,2015-03-24 12:00:00,119.23522414539602,SL,71,1.661775854603988,-1.0,-1.0060176587427756,2015
XAUUSD,H1,VCTX_618_800_FAST_REBREAK_ONLY_RR2,V候補後トリガー,2015-03-26 06:00:00,long,rebreak,7370,7372,7375,1194.989,1185.906,4.02146253840414,2,2.01073126920207,3,1.5,41,1.8941979522184296,0.618,0.8,1203.111,2015-03-26 07:00:00,1203.111,1185.3413422471763,1238.6503155056478,2015-03-30 11:00:00,1185.3413422471763,SL,51,17.769657752823832,-1.0,-1.0196964964023867,2015
USDJPY,H1,VCTX_618_800_FAST_REBREAK_ONLY_RR2,V候補後トリガー,2015-03-30 11:00:00,long,rebreak,7620,7634,7640,119.655,118.328,8.419692074579205,14,0.6014065767556575,6,0.42857142857142855,51,1.1793519216277317,0.618,0.8,119.893,2015-03-30 12:00:00,119.892,118.28859832152276,123.10180335695449,2015-05-26 12:00:00,123.10180335695449,TP,984,1.6034016784772405,2.0018710221152216,1.9956342817311852,2015
GBPJPY,H1,VCTX_618_800_FAST_REBREAK_ONLY_RR2,V候補後トリガー,2015-04-17 08:00:00,long,rebreak,13898,13901,13903,176.63,175.67,3.5391004079928963,3,1.1797001359976322,2,0.6666666666666666,47,2.7291666666666488,0.618,0.8,178.29,2015-04-17 09:00:00,178.3,175.6021861568386,183.66562768632278,2015-04-29 14:00:00,183.66562768632278,TP,193,2.6978138431614127,1.9888798850683846,1.9814664751139954,2015
