trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_after_cost_r,early_exit_rate,symbol,rule_name,rule_desc,early_exit_bars
75,44.0,53.204052590690644,0.7093873678758752,2.21110989008899,6.194396550002722,0.0,XAUUSD,baseline,追加フィルタなし,0
64,37.5,29.909583292803113,0.46733723895004864,1.7246849985137018,9.370884365293918,0.0,USDJPY,baseline,追加フィルタなし,0
55,30.909090909090907,11.422076454743726,0.20767411735897684,1.292308669702712,9.391596867582713,0.0,EURJPY,baseline,追加フィルタなし,0
59,42.3728813559322,39.10560608466341,0.6628068827909052,2.112917078330217,6.163523410317843,0.0,GBPJPY,baseline,追加フィルタなし,0
64,35.9375,24.350760226982267,0.3804806285465979,1.5627991010273299,9.370950919527427,0.0,CHFJPY,baseline,追加フィルタなし,0
80,25.0,-3.077272285680798,-0.03846590357100997,0.9504622160739135,17.953720538557192,0.0,AUDJPY,baseline,追加フィルタなし,0
64,43.75,36.61501950655735,0.5721096797899586,1.864623080119021,6.4116375978686335,0.0,SILVER,baseline,追加フィルタなし,0
461,36.8763557483731,191.5298258707597,0.4154659997196523,1.6235694706970731,17.953720538557207,0.0,ALL,baseline,追加フィルタなし,0
75,37.333333333333336,42.95546574346759,0.5727395432462346,2.0881635162422842,5.577335856800396,18.666666666666668,XAUUSD,baseline,追加フィルタなし,1
64,35.9375,32.26829294683449,0.5041920772942889,1.8970258195439977,9.370884365293918,17.1875,USDJPY,baseline,追加フィルタなし,1
55,30.909090909090907,15.73667192771536,0.2861213077766429,1.4527131875274257,9.391596867582715,14.545454545454545,EURJPY,baseline,追加フィルタなし,1
59,35.59322033898305,34.65798863140282,0.5874235361254716,2.2500014285308314,5.389357396201831,27.11864406779661,GBPJPY,baseline,追加フィルタなし,1
64,31.25,21.18874482703987,0.33107413792249796,1.5629730180702934,9.145001971843836,20.3125,CHFJPY,baseline,追加フィルタなし,1
80,22.5,4.168212782130013,0.05210265977662516,1.0850840251115341,11.666647160847138,26.25,AUDJPY,baseline,追加フィルタなし,1
64,39.0625,30.74016284872757,0.4803150445113683,1.7745725147014284,6.833753107331695,15.625,SILVER,baseline,追加フィルタなし,1
461,32.97180043383948,181.71553970731773,0.39417687572086274,1.6876701747458127,11.666647160847134,20.17353579175705,ALL,baseline,追加フィルタなし,1
75,36.0,43.115905225521466,0.5748787363402862,2.1845457039493086,4.5266626173126525,29.333333333333332,XAUUSD,baseline,追加フィルタなし,3
64,35.9375,33.87424806943463,0.5292851260849161,1.985674102789923,8.731898609238083,21.875,USDJPY,baseline,追加フィルタなし,3
55,25.454545454545453,8.422386516015685,0.15313430029119426,1.2540407256243216,9.758534540220882,30.909090909090907,EURJPY,baseline,追加フィルタなし,3
60,35.0,37.69406301894235,0.6282343836490392,2.5273335833121107,3.860738633301935,36.666666666666664,GBPJPY,baseline,追加フィルタなし,3
64,28.125,20.260442069328068,0.31656940733325106,1.6199532496241889,8.667681619698973,35.9375,CHFJPY,baseline,追加フィルタなし,3
80,21.25,6.395963127776525,0.07994953909720656,1.145972785759045,12.178946322841833,37.5,AUDJPY,baseline,追加フィルタなし,3
64,37.5,29.95190010526752,0.467998439144805,1.7969147573541382,8.673335558782075,25.0,SILVER,baseline,追加フィルタなし,3
462,31.16883116883117,179.71490813228624,0.3889933076456412,1.7405422429909128,12.178946322841824,31.16883116883117,ALL,baseline,追加フィルタなし,3
75,36.0,45.16763266223601,0.6022351021631468,2.315040302449897,4.332548005775401,34.66666666666667,XAUUSD,baseline,追加フィルタなし,6
64,34.375,34.60548733286588,0.5407107395760293,2.1286103289810407,7.8793300663075385,34.375,USDJPY,baseline,追加フィルタなし,6
55,23.636363636363637,6.8277338847623295,0.1241406160865878,1.214904827698689,9.631443456086222,40.0,EURJPY,baseline,追加フィルタなし,6
60,31.666666666666664,32.79630311007529,0.5466050518345882,2.388002992397742,3.8607386333019313,43.333333333333336,GBPJPY,baseline,追加フィルタなし,6
64,28.125,23.621850375585797,0.3690914121185281,1.8056788656348843,7.913391183515352,43.75,CHFJPY,baseline,追加フィルタなし,6
80,20.0,6.1993355664497525,0.07749169458062191,1.1510446858133412,11.676628095025828,45.0,AUDJPY,baseline,追加フィルタなし,6
64,32.8125,21.615227727535412,0.3377379332427408,1.5764028169520345,10.725192545946548,34.375,SILVER,baseline,追加フィルタなし,6
462,29.43722943722944,170.83357065951046,0.36976963346214387,1.7483811085534169,11.67662809502582,39.39393939393939,ALL,baseline,追加フィルタなし,6
67,46.26865671641791,53.5227144376692,0.7988464841443165,2.419950120979472,5.1757280507261925,0.0,XAUUSD,body50,実体が足全体の50%以上,0
58,37.93103448275862,28.081867012934133,0.4841701209126575,1.7559686200849496,9.370884365293914,0.0,USDJPY,body50,実体が足全体の50%以上,0
51,33.33333333333333,15.522005359723824,0.3043530462690946,1.4437969671743236,9.391596867582715,0.0,EURJPY,body50,実体が足全体の50%以上,0
57,43.859649122807014,41.171820615926805,0.7223126423846807,2.244925335869237,6.163523410317843,0.0,GBPJPY,body50,実体が足全体の50%以上,0
56,33.92857142857143,16.817191746448557,0.30030699547229567,1.4310012909150227,8.059509055137845,0.0,CHFJPY,body50,実体が足全体の50%以上,0
64,21.875,-10.490038857342352,-0.16390685714597425,0.797459471780086,14.82619013660275,0.0,AUDJPY,body50,実体が足全体の50%以上,0
56,42.857142857142854,30.14708811978351,0.5383408592818484,1.7987176596836936,5.204045744156874,0.0,SILVER,body50,実体が足全体の50%以上,0
409,37.163814180929094,174.77264843514365,0.42731698883898206,1.6438650629280604,15.510786717663137,0.0,ALL,body50,実体が足全体の50%以上,0
67,38.80597014925373,41.66131381280133,0.621810653922408,2.1953989808204146,6.178095072569469,17.91044776119403,XAUUSD,body50,実体が足全体の50%以上,1
58,36.206896551724135,29.69976960570271,0.5120649932017709,1.9113802719200275,9.370884365293918,17.24137931034483,USDJPY,body50,実体が足全体の50%以上,1
51,33.33333333333333,19.836600832695453,0.3889529575038324,1.6469679771223393,9.391596867582718,15.686274509803921,EURJPY,body50,実体が足全体の50%以上,1
57,36.84210526315789,35.84722656798557,0.6288987117190451,2.350833279420846,5.389357396201827,26.31578947368421,GBPJPY,body50,実体が足全体の50%以上,1
56,30.357142857142854,15.418273728769877,0.27532631658517637,1.4460442197976793,8.815606510854925,17.857142857142858,CHFJPY,body50,実体が足全体の50%以上,1
64,20.3125,-3.902128752853502,-0.06097076176333597,0.9077225007513956,10.196009421100468,23.4375,AUDJPY,body50,実体が足全体の50%以上,1
56,39.285714285714285,27.120518540884614,0.4842949739443681,1.7718124952645018,4.818422388687548,12.5,SILVER,body50,実体が足全体の50%以上,1
409,33.496332518337404,165.68157433598606,0.4050894238043669,1.7001732828542362,10.519775185095057,18.82640586797066,ALL,body50,実体が足全体の50%以上,1
67,37.3134328358209,40.48517050546166,0.6042562762009203,2.2226935555584784,5.28791053227031,25.37313432835821,XAUUSD,body50,実体が足全体の50%以上,3
58,36.206896551724135,31.30572472830283,0.5397538746259108,2.010457739305274,8.731898609238083,22.413793103448278,USDJPY,body50,実体が足全体の50%以上,3
51,27.450980392156865,12.522315420995787,0.24553559649011347,1.4310050251194046,9.758534540220886,33.33333333333333,EURJPY,body50,実体が足全体の50%以上,3
58,36.206896551724135,37.941614950647164,0.654165775011158,2.55294113568975,3.860738633301935,34.48275862068966,GBPJPY,body50,実体が足全体の50%以上,3
56,26.785714285714285,13.605182586104721,0.24294968903758432,1.4461469150309263,8.338286158710062,33.92857142857143,CHFJPY,body50,実体が足全体の50%以上,3
64,18.75,-2.6070169184340397,-0.04073463935053187,0.931477772703023,10.970778629238273,35.9375,AUDJPY,body50,実体が足全体の50%以上,3
56,37.5,26.332255797424555,0.47021885352543846,1.797054787594303,6.595315741777412,23.214285714285715,SILVER,body50,実体が足全体の50%以上,3
410,31.463414634146343,159.58524707050267,0.3892323099280553,1.7281772800816215,10.970778629238254,29.756097560975608,ALL,body50,実体が足全体の50%以上,3
67,37.3134328358209,41.892452074417,0.6252604787226418,2.321354227050143,5.28791053227031,29.850746268656714,XAUUSD,body50,実体が足全体の50%以上,6
58,34.48275862068966,31.32624276206523,0.5401076338287109,2.1192780667202387,7.8793300663075385,34.48275862068966,USDJPY,body50,実体が足全体の50%以上,6
51,25.49019607843137,10.314607124728834,0.20224719852409478,1.3646787388146437,9.63144345608622,41.17647058823529,EURJPY,body50,実体が足全体の50%以上,6
58,32.758620689655174,33.043855041780105,0.5697216386513811,2.413286699448333,3.8607386333019313,41.37931034482759,GBPJPY,body50,実体が足全体の50%以上,6
56,26.785714285714285,16.966590892362447,0.30297483736361513,1.625301869807796,7.58399572252644,42.857142857142854,CHFJPY,body50,実体が足全体の50%以上,6
64,17.1875,-2.80364447976081,-0.043806944996262656,0.9205163400647868,10.468460401422268,45.3125,AUDJPY,body50,実体が足全体の50%以上,6
56,32.142857142857146,17.995583419692444,0.3213497039230794,1.546109513798106,8.64717272894189,33.92857142857143,SILVER,body50,実体が足全体の50%以上,6
410,29.51219512195122,148.73568683528526,0.3627699678909397,1.719516971837265,10.468460401422249,38.29268292682927,ALL,body50,実体が足全体の50%以上,6
65,46.15384615384615,51.58882234870424,0.7936741899800652,2.4072534584744916,5.1757280507261925,0.0,XAUUSD,body60,実体が足全体の60%以上,0
53,39.62264150943396,29.256532339610132,0.5520100441435873,1.88573172777759,7.287077938936179,0.0,USDJPY,body60,実体が足全体の60%以上,0
49,34.69387755102041,17.552606359545265,0.3582164563172503,1.5327873345830358,9.391596867582711,0.0,EURJPY,body60,実体が足全体の60%以上,0
50,42.0,32.37111082239473,0.6474222164478947,2.0800098239140965,5.278519390896676,0.0,GBPJPY,body60,実体が足全体の60%以上,0
