symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak
USDJPY,4,75.0,5.951123800864818,1.4877809502162045,270.22475249350737,0.022104668109996117,1,0,0.0,0.0,0.0,,0.0,0
XAUUSD,4,75.0,4.9486475662705365,1.2371618915676341,5.913011164821281,1.0072534745502764,1,0,0.0,0.0,0.0,,0.0,0
CHFJPY,4,75.0,4.932879486502677,1.2332198716256693,5.913138277460903,1.0040180446645146,1,1,100.0,1.990450799977167,1.990450799977167,inf,0.0,0
GBPJPY,3,100.0,4.553421163197088,1.5178070543990294,inf,0.0,0,1,100.0,0.5544621813482675,0.5544621813482675,inf,0.0,0
AUDJPY,2,100.0,3.985320148045889,1.9926600740229445,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0
EURJPY,1,0.0,-1.0099032020918695,-1.0099032020918695,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0
SILVER,5,40.0,-1.0102835667712862,-0.20205671335425723,0.6826610822059368,2.1296264477851574,3,2,100.0,2.1733271097701548,1.0866635548850774,inf,0.0,0
