case,notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,research_trades,research_win_rate,research_total_r,research_avg_r,research_pf,research_max_dd_r,research_max_losing_streak,oos_positive,oos_avg_retention
Base current cost,"same trades, stressed R",23,69.56521739130434,22.35120539601785,0.9717915389572979,4.589465232124472,2.1522328484954576,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,,,,,,,,,
Spread/slippage x1.5,"same trades, stressed R",23,69.56521739130434,22.146423549611125,0.962887980417875,4.497006060890929,2.228349272743187,2,4,100.0,4.691062366765907,1.1727655916914768,inf,0.0,0,,,,,,,,,
Spread/slippage x2.0,"same trades, stressed R",23,69.56521739130434,21.94164170320441,0.9539844218784527,4.407593234562837,2.3044656969909156,2,4,100.0,4.663884642436225,1.1659711606090561,inf,0.0,0,,,,,,,,,
Spread/slippage x3.0,"same trades, stressed R",23,69.56521739130434,21.532078010390958,0.9361773047996068,4.237323599997909,2.4566985454863737,2,4,100.0,4.60952919377686,1.152382298444215,inf,0.0,0,,,,,,,,,
Extra execution -0.10R,"same trades, stressed R",23,69.56521739130434,20.051205396017853,0.871791538957298,3.894690864888795,2.3522328484954578,2,4,100.0,4.318240091095589,1.0795600227738973,inf,0.0,0,,,,,,,,,
Extra execution -0.20R,"same trades, stressed R",23,69.56521739130434,17.751205396017856,0.771791538957298,3.3274500146853674,2.552232848495458,2,4,100.0,3.9182400910955892,0.9795600227738973,inf,0.0,0,,,,,,,,,
Exclude ATR ratio>=1.5,高ボラ急増を除外,23,69.56521739130434,22.35120539601785,0.9717915389572979,4.589465232124472,2.1522328484954576,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,19.0,63.1578947368421,17.632965304922262,0.9280508055222243,3.831745079509313,2.1522328484954576,2.0,True,1.271008026451899
Exclude ATR pctile>=80,ATR上位20%を除外,16,68.75,13.457009551343088,0.841063096958943,3.587504619506878,1.0982486197391743,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,12.0,58.333333333333336,8.7387694602475,0.7282307883539584,2.6802846324010567,1.0982486197391743,2.0,True,1.6197612647497257
Exclude XAU Monday proxy,ゴールド週明けギャップ代理条件を除外,21,66.66666666666666,18.369203832390042,0.8747239920185734,3.9499804296872036,2.035395872710497,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,17.0,58.82352941176471,13.650963741294456,0.802997867134968,3.1922602770720445,2.035395872710497,2.0,True,1.4689453995469166
