symbol,timeframe,strategy,family,signal_time,direction,trigger_type,v_start_i,v_extreme_i,candidate_i,v_start,v_extreme,v_move_atr,v_move_bars,v_drop_speed_atr_per_bar,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,period,open,high,low,close,atr,body_ratio,ema20,ema50,ema200,ema20_slope_10_atr,rsi14,adx14,bb_width_atr,bb_pos,donchian20_high_prev,donchian55_high_prev,donchian20_break,donchian55_break,atr50,atr_ratio_50,atr_pctile_252,close_location,range5_atr,macd,macd_signal,macd_hist,macd_hist_slope3,stoch_k14,stoch_d3,cci20,roc10,williams_r14,chop14,aroon_up25,aroon_down25,ichi_tenkan,ichi_kijun,ichi_cloud_top,ichi_cloud_bottom,kc_mid,kc_pos,bb_kc_width_ratio,month,year
AUDJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2015-01-20 08:00:00,long,rebreak,1653,1659,1664,96.985,94.25,4.986924401400737,6,0.831154066900123,5,0.8333333333333334,26,1.119195612431447,0.618,0.8,97.311,2015-01-20 12:00:00,97.31,94.11289144471331,103.7072171105734,2015-01-23 08:00:00,94.11289144471331,SL,17,3.1971085552866896,-1.0,-1.0039097827877377,Research_2015_2024,96.883,97.367,96.846,97.311,0.5484342211467628,0.821497120921326,96.47192453349896,96.48585822796993,97.37098972736568,0.5502385001378892,62.90758736891535,18.275622543931764,3.332021243124956,1.0383895011661102,97.162,97.649,True,False,0.517192392262396,1.0604065901814663,78.57142857142857,0.8925143953934793,1.8525466880523498,0.16592329198698508,0.06070671148563925,0.10521658050134583,0.040747560962193785,97.06498951781984,81.68524584003154,147.88544536078294,0.640177057047131,-2.9350104821801546,48.85726549193025,100.0,4.0,96.6465,96.06450000000001,96.3555,95.9495,96.47192453349896,0.8824868298455901,0.833005310781239,2015-01,2015
EURJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2015-02-10 12:00:00,long,stagnation,1710,1715,1719,135.34,132.52,4.54258331348275,5,0.9085166626965498,4,0.8,23,0.8829787234042507,0.618,0.8,135.01,2015-02-10 16:00:00,135.0,132.36480196589736,140.30039606820526,2015-03-05 04:00:00,132.36480196589736,SL,102,2.6351980341026433,-1.0,-1.0047434765198757,Research_2015_2024,134.22,135.27,134.1,135.01,0.6207921364105768,0.6752136752136593,134.41170849026474,134.30412861479516,137.48458568948755,0.16199198651000346,57.66661432574458,10.822139701326492,1.8756972187984935,0.9083584810723602,135.17,135.34,False,False,0.7003208776068242,0.8864395682904422,49.2063492063492,0.7777777777777642,1.9974479818151292,0.12661469037527695,0.13735416571967168,-0.010739475344394733,0.05189758884249207,83.85093167701757,59.51763947732848,60.23571269735198,0.3046062407132233,-16.14906832298243,60.32053888784854,100.0,8.0,134.465,133.895,134.18,133.845,134.41170849026474,0.7409387436810078,0.4689243046996234,2015-02,2015
GBPJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2015-02-18 08:00:00,long,rebreak,3325,3329,3331,183.92,181.11,4.032893858281181,4,1.0082234645702952,2,0.5,25,1.0284697508896845,0.618,0.8,184.0,2015-02-18 12:00:00,184.01,180.9358074661307,190.12838506773858,2015-03-11 16:00:00,180.9358074661307,SL,94,3.0741925338692795,-1.0,-1.0065057733956595,Research_2015_2024,182.89,184.09,182.73,184.0,0.6967701354772565,0.8161764705882372,182.73392468748557,181.99665714338704,180.95480109890423,0.3352516388666319,64.66481031166643,16.287779236374195,2.845763836122755,1.1750407514807741,183.34,184.14,True,False,0.6976133241996757,0.9987913236557135,36.507936507936506,0.9338235294117628,2.4541809600216777,0.2629759504051208,0.18583012209151578,0.077145828313605,0.08796300909882462,96.51162790697663,81.35087050451132,166.28082246117822,1.1266831547128486,-3.4883720930233713,50.37699905784346,4.0,60.0,182.825,182.625,182.725,181.845,182.73392468748557,0.9542657786442135,0.7114409590306887,2015-02,2015
SILVER,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2015-03-02 00:00:00,long,stagnation,1809,1821,1831,16.785,16.085,4.6309590590333025,12,0.3859132549194419,10,0.8333333333333334,29,0.9271428571428594,0.618,0.8,16.734,2015-03-02 04:00:00,16.734,16.04721085140914,18.107578297181725,2015-03-06 08:00:00,16.04721085140914,SL,25,0.6867891485908615,-1.0,-1.050961783644678,Research_2015_2024,16.61,16.78,16.607,16.734,0.15115659436344098,0.7167630057803528,16.57000741028585,16.578497777437626,16.827657123843963,0.3738372157261798,60.60581926375896,28.628532293802277,2.006506528148729,0.9833550882948723,16.885,17.279,False,False,0.17085254858001708,0.8847195761475475,2.380952380952381,0.734104046242781,2.4544083012876676,0.04323372145151794,0.033748936610841246,0.009484784840676691,0.0064985250281855735,68.27731092436997,49.01960784313743,58.77217333928868,0.8315256688358641,-31.722689075630033,53.763400598974044,56.0,16.0,16.5945,16.478,16.536250000000003,16.478,16.57000741028585,0.7712296317682448,0.5016266320371823,2015-03,2015
AUDJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2015-03-23 00:00:00,long,stagnation+rebreak,1941,1947,1952,93.82,92.003,4.3455996728384,6,0.7242666121397333,5,0.8333333333333334,9,0.9268024215740253,0.618,0.8,93.687,2015-03-23 04:00:00,93.684,91.89846897224812,97.26406205550374,2015-03-30 08:00:00,91.89846897224812,SL,32,1.7855310277518726,-1.0,-1.0070007184449363,Research_2015_2024,93.401,93.708,93.264,93.687,0.4181241110074895,0.6441441441441434,92.97064216914266,92.88524932774926,93.21973808487047,0.6921995844991861,64.20867222543906,19.88722004675917,4.779942959880326,0.9195166897936375,93.82,93.82,False,False,0.40899400604747865,1.0223233221636772,52.38095238095239,0.9527027027027012,1.982664903017622,0.184514356606158,0.07305186939923801,0.11146248720692,0.027431271078295807,98.76832844574776,82.3407376455802,116.82484959795703,1.7275451702571054,-1.2316715542522474,46.619265947602784,40.0,64.0,92.94800000000001,92.91149999999999,92.92975,92.809,92.97064216914266,0.92831650459671,1.1949857399700814,2015-03,2015
USDJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2015-03-31 00:00:00,long,rebreak,1951,1976,1990,121.201,118.328,8.976103959965867,25,0.3590441583986347,14,0.56,17,0.6742081447963815,0.618,0.8,120.265,2015-03-31 04:00:00,120.263,118.2479819873741,124.2990360252518,2015-05-11 04:00:00,119.983,max_hold,180,2.0150180126259016,-0.1389565742070538,-0.1439193090001583,Research_2015_2024,120.025,120.364,120.025,120.265,0.3200720505036258,0.7079646017698993,119.64981900891603,119.81751173590916,119.82284303795247,0.8245096243444763,64.55679597381567,26.26400201301903,5.869681515124266,0.9587163292246793,120.226,121.407,True,False,0.3445560796936789,0.9289403652031908,30.555555555555557,0.7079646017698993,2.327600922441571,0.111896914832883,-0.04148461869420891,0.1533815335270919,0.013735021921330776,93.09623430962316,91.1133296436878,137.2748084005201,0.9298656394504778,-6.903765690376843,40.74677733516005,100.0,32.0,119.6965,119.346,119.7645,119.52125000000001,119.64981900891603,0.9805019605085805,1.4674203787810665,2015-03,2015
XAUUSD,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2015-04-05 20:00:00,long,rebreak,1964,1983,1991,1219.681,1178.391,6.400997543839459,19,0.3368946075704979,8,0.42105263157894735,16,0.9524824412690727,0.618,0.8,1217.719,2015-04-06 00:00:00,1217.719,1176.778360730995,1299.6002785380101,2015-04-24 12:00:00,1176.778360730995,SL,89,40.94063926900503,-1.0,-1.008548962748247,Research_2015_2024,1213.16,1217.847,1212.9,1217.719,6.450557076019953,0.9215686274509948,1198.5769816938757,1192.7820912254645,1194.11757943594,1.652509119795849,71.91592383952084,23.646042462138084,6.728960454048054,1.038868958421485,1208.598,1219.681,True,False,5.874529905704918,1.0980550239016809,63.888888888888886,0.9741257327673475,3.555971946248216,4.549868217271296,2.616143175567731,1.933725041703565,0.2564140173688576,99.65429698050038,82.95469161809369,137.15135545172146,2.7622243957106773,-0.34570301949961874,33.90649225924739,100.0,36.0,1206.3780000000002,1198.1190000000001,1202.2485000000001,1199.036,1198.5769816938757,1.2418746195303398,1.6822401135120135,2015-04,2015
GBPJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2015-04-17 08:00:00,long,stagnation+rebreak,3571,3594,3607,179.25,174.85,7.754074328888096,23,0.3371336664733955,13,0.5652173913043478,18,0.8204545454545475,0.618,0.8,178.46,2015-04-17 12:00:00,178.47,174.70813909522354,185.96372180955294,2015-05-08 04:00:00,185.96372180955294,TP,88,3.761860904776455,1.9920252234839726,1.986708705806621,Research_2015_2024,177.79,178.69,177.72,178.46,0.5674436191058474,0.6907216494845533,177.18029149018898,177.12586975033489,178.56090340778704,1.3363227926524301,69.75702169082777,24.669389693981504,5.6347290445697,1.0000952273682862,178.0,179.25,True,False,0.5437917865046729,1.0434942806937215,51.98412698412699,0.7628865979381546,2.238107817656352,0.3418975925812049,0.13472769167437362,0.20716990090683127,-0.012008099323175564,92.38410596026526,88.59155463339353,140.80807354978288,0.9046703607373141,-7.6158940397347346,38.44579704298763,100.0,28.0,177.635,176.76999999999998,177.2025,177.05,177.18029149018898,1.0638042559309877,1.408682261142425,2015-04,2015
EURJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2015-05-06 12:00:00,long,rebreak,2093,2104,2108,135.24,133.09,3.5653746054369493,11,0.32412496413063174,4,0.36363636363636365,7,1.1302325581395352,0.618,0.8,135.52,2015-05-06 16:00:00,135.51,132.9392444526922,140.68151109461562,2015-06-04 08:00:00,140.68151109461562,TP,124,2.570755547307783,2.011669721001468,2.00680733725087,Research_2015_2024,134.47,135.66,134.46,135.52,0.6030221892312254,0.8750000000000178,134.05746089756917,132.67315560166355,130.79493266856204,0.9207583283053591,72.39898865349477,46.38987722245316,3.3651836327195936,1.1283015393736147,135.24,135.24,True,True,0.5753693645474566,1.0480609959230598,81.34920634920636,0.8833333333333436,2.752800858151306,0.600232695178164,0.6120501378635591,-0.011817442685395085,0.10982990783752389,94.5525291828799,86.13144569749404,83.95094116875543,1.2098581030620004,-5.447470817120106,41.481237863523326,100.0,4.0,134.375,134.10500000000002,134.24,132.24,134.05746089756917,1.1063371831704008,0.8412959081798984,2015-05,2015
USDJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2015-05-18 16:00:00,long,rebreak,2180,2192,2199,120.276,118.886,5.235819848087377,12,0.4363183206739481,7,0.5833333333333334,16,0.7964028776978409,0.618,0.8,119.993,2015-05-18 20:00:00,119.991,118.81963026038282,122.33973947923434,2015-05-26 04:00:00,122.33973947923434,TP,33,1.1713697396171767,2.005122208468478,1.9965851943543358,Research_2015_2024,119.818,120.035,119.811,119.993,0.2654789584687032,0.7812500000000238,119.57837273619735,119.60726177137641,119.62964382082639,0.4655308906460075,61.13680012320633,20.053301170234484,4.18532821197313,1.0184874505412578,119.927,120.276,True,False,0.26957884284634814,0.9847915202307557,13.88888888888889,0.8124999999999841,2.610376370305424,0.042037276609320884,-0.040015999990331966,0.08205327659965285,0.028548245890318458,95.53666312433566,86.63170508760936,100.73629167160553,0.4486970206852625,-4.463336875664345,53.57247071708163,100.0,36.0,119.6105,119.4605,119.58099999999999,119.5355,119.57837273619735,0.8904520966503637,1.0463320529932825,2015-05,2015
