environment,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak
Crisis windows,1,100.0,1.993428195911128,1.993428195911128,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0
Range/choppy,5,100.0,9.957830402801253,1.9915660805602506,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0
Gold Monday proxy,2,100.0,3.982001563627807,1.9910007818139035,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0
High ATR percentile,7,71.42857142857143,8.894195844674764,1.270599406382109,9.667770174023282,1.0040180446645142,1,0,0.0,0.0,0.0,,0.0,0
Normal ATR,10,60.0,4.588206003330608,0.4588206003330608,2.118387581250219,2.017156676642146,2,3,100.0,2.7277892911184223,0.909263097039474,inf,0.0,0
Trend up,2,50.0,0.9132586168540888,0.4566293084270444,1.8664822413251356,0.0,1,0,0.0,0.0,0.0,,0.0,0
Vol spike,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0
Rate/news proxy,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0
