signal_i,signal_time,entry_hour,atr,rsi14,bb_z,range_atr,body_ratio,ema20_dist_atr,ema100_slope_atr,h4_slope_atr,family,direction,lookback,move_6_atr,move_12_atr,trigger_atr,wick_ratio,close_location,h4_align,h4_oppose,h4_neutral,h4_context,stop_anchor,range_width_atr,confirm_mode,confirm_time,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,r_after_cost,sample,year
5059,2014-10-23 16:00:00,17,0.1712822834163681,76.23000520439643,1.6413712122170028,0.8991005778784463,0.32467532467540616,2.972002767984987,-0.27290893644428216,-0.3501334760693292,stretch_reversal,short,20,4.086820808538422,6.737416018647716,2.972002767984987,0.5649350649350074,0.8896103896104136,False,False,True,H4中立,113.511,999.0,lower_high_or_bear,2014-10-23 17:00:00,5061,2014-10-23 18:00:00,113.448,113.53669234251245,113.37704612599002,0.08869234251245928,0.5178138727684877,5062,2014-10-23 19:00:00,113.37704612599002,TP,1,0.5745013894835961,IS_2014_2024,2014
7566,2015-03-23 13:00:00,14,0.31974808921965436,69.69508184770402,2.3716337816485282,1.5105641481041099,0.21325051759835978,2.3263435802804655,1.5459392311454117,0.09450525576072898,stretch_reversal,short,20,4.3940841161206174,4.294005331981226,2.3263435802804655,0.7556935817805213,0.7556935817805213,False,True,True,H4逆,124.015,999.0,lower_high_or_bear,2015-03-23 14:00:00,7568,2015-03-23 15:00:00,123.727,124.06296221338295,123.45823022929365,0.33596221338294185,1.0507090572545972,7572,2015-03-23 19:00:00,124.06296221338295,SL,4,-1.0595305043344667,IS_2014_2024,2015
8982,2015-06-12 13:00:00,14,0.3236118371507905,62.91528340526538,2.319284965329551,1.418365916528965,0.21132897603487524,1.417410896676353,-0.5557708349517398,0.18642090052731677,stretch_reversal,short,20,2.558620869032634,2.4844579452925553,1.417410896676353,0.6840958605664287,0.8954248366013039,False,True,True,H4逆,133.224,999.0,lower_high_or_bear,2015-06-12 14:00:00,8984,2015-06-12 15:00:00,133.029,133.27254177557262,132.8341665795419,0.24354177557262346,0.7525737553881334,8988,2015-06-12 19:00:00,132.8341665795419,TP,4,0.7178785653798172,IS_2014_2024,2015
9460,2015-07-10 11:00:00,12,0.4421003651635979,81.99251223762539,1.9858822482963951,1.264418770143158,0.07513416815742716,3.493259204197628,-0.18199111215754477,-0.4600166517154139,stretch_reversal,short,20,5.387916834491925,6.308522271787598,3.493259204197628,0.8550983899820793,0.8550983899820793,False,False,True,H4中立,131.194,999.0,lower_high_or_bear,2015-07-10 12:00:00,9462,2015-07-10 13:00:00,130.75,131.26031505477454,130.34174795618037,0.5103150547745372,1.1542968406861565,9464,2015-07-10 15:00:00,130.34174795618037,TP,2,0.7608085244343457,IS_2014_2024,2015
10139,2015-08-19 18:00:00,19,0.1983238817255218,79.69127056285458,1.7259662427615556,1.1597191321532694,0.08260869565220132,2.3796962900846896,0.6542876513264589,-0.09633147133776399,stretch_reversal,short,20,2.788368174264275,4.875862612140261,2.3796962900846896,0.6782608695652733,0.7608695652174746,False,False,True,H4中立,128.352,999.0,lower_high_or_bear,2015-08-19 19:00:00,10141,2015-08-19 20:00:00,128.307,128.38174858225884,128.24720113419292,0.07474858225884873,0.37690156933444857,10141,2015-08-19 20:00:00,128.24720113419292,TP,0,0.5324363968438267,IS_2014_2024,2015
10145,2015-08-20 00:00:00,1,0.1949215492465557,75.2830772029141,1.2794821402834746,1.1132683935603769,0.23502304147458375,1.9671805706925554,1.1991315880890685,0.11668183654359338,stretch_reversal,short,20,1.7186401467406123,3.657881864555274,1.9671805706925554,0.7142857142856769,0.7142857142856769,False,True,True,H4逆,128.512,999.0,lower_high_or_bear,2015-08-20 01:00:00,10147,2015-08-20 02:00:00,128.307,128.54123823238697,128.1196094140904,0.2342382323869856,1.2017051644233463,10151,2015-08-20 06:00:00,128.54123823238697,SL,4,-1.0853831579762767,IS_2014_2024,2015
11939,2015-12-02 19:00:00,20,0.21979173866301693,78.99028598684323,2.3420345012387664,1.2238858550203293,0.096654275092926,3.338057567332032,0.5780108209353685,-0.3718738390984527,stretch_reversal,short,20,4.595259158254876,5.045685550994731,3.338057567332032,0.7026022304832681,0.799256505576194,False,False,True,H4中立,121.085,999.0,lower_high_or_bear,2015-12-02 20:00:00,11941,2015-12-02 21:00:00,120.881,121.11796876079944,120.69142499136045,0.23696876079944218,1.0781513547365897,11952,2015-12-03 08:00:00,120.69142499136045,TP,11,0.7156006895907262,IS_2014_2024,2015
14943,2016-05-30 08:00:00,9,0.18364712862773674,78.37624087842988,1.5016454228427978,1.094490295067079,0.16417910447755285,2.866078992571684,0.6106393511449871,-0.05527629872328115,stretch_reversal,short,20,3.076552321954813,7.242149713628164,2.866078992571684,0.7860696517413256,0.9502487562188784,False,False,True,H4中立,112.127,999.0,lower_high_or_bear,2016-05-30 09:00:00,14945,2016-05-30 10:00:00,111.899,112.15454706929415,111.69456234456467,0.2555470692941526,1.3915113794790723,14957,2016-05-30 22:00:00,111.837,TIME,12,0.16435328378445394,IS_2014_2024,2016
19097,2017-01-26 12:00:00,13,0.20883666115905591,79.0443498029301,2.11053269608841,0.9098019425587749,0.21578947368419635,3.373710067607358,0.33865038044169543,0.031721873037058174,stretch_reversal,short,20,5.142775191095443,6.263268109825711,3.373710067607358,0.6684210526315624,0.6684210526315624,False,True,True,H4逆,114.681,999.0,lower_high_or_bear,2017-01-26 13:00:00,19099,2017-01-26 14:00:00,114.363,114.71232549917386,114.08353960066091,0.34932549917385813,1.6727211459668088,19110,2017-01-27 01:00:00,114.71232549917386,SL,11,-1.0572531923587298,IS_2014_2024,2017
22726,2017-08-25 16:00:00,17,0.1532780817179475,77.58176978586721,2.3069299857471046,1.004709859844001,0.2922077922078102,2.714370021865883,1.2032948924339537,-0.05915096747641517,stretch_reversal,short,20,2.8053586995644366,4.403760749316324,2.714370021865883,0.6883116883116691,0.6883116883116691,False,False,True,H4中立,114.252,999.0,lower_high_or_bear,2017-08-25 17:00:00,22728,2017-08-25 18:00:00,114.124,114.27499171225769,114.00320663019384,0.15099171225769226,0.9850835198703591,22729,2017-08-25 19:00:00,114.27499171225769,SL,1,-1.1324576011554657,IS_2014_2024,2017
