entry_time,symbol,strategy,direction,r_after_cost
2021-10-13 13:00:00,USDJPY,USDJPY WaveBox v1,long,-1.0295650673882422
2021-11-08 10:00:00,USDJPY,USDJPY WaveBox v1,short,1.4664389745720816
2022-01-26 07:00:00,USDJPY,USDJPY WaveBox v1,long,1.45252274740618
2022-05-03 13:00:00,CHFJPY,CHFJPY stretch short ex0,short,0.7126264612991644
2022-06-23 02:00:00,USDJPY,USDJPY WaveBox v1,short,1.4811060295755996
2022-08-24 05:00:00,USDJPY,USDJPY WaveBox v1,short,-1.0164690706931203
2022-09-28 13:00:00,CHFJPY,CHFJPY stretch short ex0,short,0.7381122954029964
2023-06-12 02:00:00,USDJPY,USDJPY WaveBox v1,long,1.4818228598975087
2023-06-28 08:00:00,USDJPY,USDJPY WaveBox v1,long,1.4737109520906455
2023-08-31 02:00:00,USDJPY,USDJPY WaveBox v1,short,1.4789567839572342
2023-10-27 03:00:00,USDJPY,USDJPY WaveBox v1,short,1.4661865448858464
2024-05-20 15:00:00,CHFJPY,CHFJPY stretch short ex0,short,0.7261931937424199
2024-06-10 19:00:00,USDJPY,USDJPY WaveBox v1,long,-1.0271345478370852
2024-07-09 00:00:00,USDJPY,USDJPY WaveBox v1,long,1.4759040416211633
2024-09-27 00:00:00,USDJPY,USDJPY WaveBox v1,long,1.4841413797734913
2024-11-18 11:00:00,USDJPY,USDJPY WaveBox v1,long,-1.0128039166650942
2024-12-03 12:00:00,USDJPY,USDJPY WaveBox v1,short,1.4822401187513574
2025-03-11 14:00:00,CHFJPY,CHFJPY stretch short ex0,short,0.7596608375469719
2025-04-18 16:00:00,USDJPY,USDJPY WaveBox v1,short,1.480196256216128
2025-06-06 03:00:00,USDJPY,USDJPY WaveBox v1,long,1.4830249089694585
2025-06-30 20:00:00,USDJPY,USDJPY WaveBox v1,short,1.4808984407993186
2025-07-04 15:00:00,USDJPY,USDJPY WaveBox v1,long,1.4733966727211971
2025-10-16 15:00:00,USDJPY,USDJPY WaveBox v1,short,1.48509710731843
2025-11-26 08:00:00,CHFJPY,CHFJPY stretch short ex0,short,0.7015285469848568
2026-04-09 09:00:00,CHFJPY,CHFJPY stretch short ex0,short,-1.1269020487988792
2026-04-29 16:00:00,CHFJPY,CHFJPY stretch short ex0,short,0.691609905335161
2026-05-10 23:00:00,USDJPY,USDJPY WaveBox v1,long,1.479742613271487
