signal_i,signal_time,entry_hour,atr,rsi14,bb_z,range_atr,body_ratio,ema20_dist_atr,ema100_slope_atr,h4_slope_atr,family,direction,lookback,move_6_atr,move_12_atr,trigger_atr,wick_ratio,close_location,h4_align,h4_oppose,h4_neutral,h4_context,stop_anchor,range_width_atr,confirm_mode,confirm_time,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,r_after_cost,sample,year
5059,2014-10-23 16:00:00,17,0.1712822834163681,76.23000520439643,1.6413712122170028,0.8991005778784463,0.32467532467540616,2.972002767984987,-0.27290893644428216,-0.3501334760693292,stretch_reversal,short,20,4.086820808538422,6.737416018647716,2.972002767984987,0.5649350649350074,0.8896103896104136,False,False,True,H4中立,113.511,999.0,lower_high_or_bear,2014-10-23 17:00:00,5061,2014-10-23 18:00:00,113.448,113.55382057085409,113.36334354331672,0.10582057085409247,0.6178138727684666,5062,2014-10-23 19:00:00,113.36334354331672,TP,1,0.611000830570232,IS_2014_2024,2014
7566,2015-03-23 13:00:00,14,0.31974808921965436,69.69508184770402,2.3716337816485282,1.5105641481041099,0.21325051759835978,2.3263435802804655,1.5459392311454117,0.09450525576072898,stretch_reversal,short,20,4.3940841161206174,4.294005331981226,2.3263435802804655,0.7556935817805213,0.7556935817805213,False,True,True,H4逆,124.015,999.0,lower_high_or_bear,2015-03-23 14:00:00,7568,2015-03-23 15:00:00,123.727,124.09493702230492,123.43265038215607,0.36793702230491476,1.1507090572546206,7572,2015-03-23 19:00:00,124.09493702230492,SL,4,-1.0543571284963977,IS_2014_2024,2015
8982,2015-06-12 13:00:00,14,0.3236118371507905,62.91528340526538,2.319284965329551,1.418365916528965,0.21132897603487524,1.417410896676353,-0.5557708349517398,0.18642090052731677,stretch_reversal,short,20,2.558620869032634,2.4844579452925553,1.417410896676353,0.6840958605664287,0.8954248366013039,False,True,True,H4逆,133.224,999.0,lower_high_or_bear,2015-06-12 14:00:00,8984,2015-06-12 15:00:00,133.029,133.3049029592877,132.80827763256985,0.2759029592876914,0.852573755388099,8988,2015-06-12 19:00:00,132.80827763256985,TP,4,0.727510744895133,IS_2014_2024,2015
9460,2015-07-10 11:00:00,12,0.4421003651635979,81.99251223762539,1.9858822482963951,1.264418770143158,0.07513416815742716,3.493259204197628,-0.18199111215754477,-0.4600166517154139,stretch_reversal,short,20,5.387916834491925,6.308522271787598,3.493259204197628,0.8550983899820793,0.8550983899820793,False,False,True,H4中立,131.194,999.0,lower_high_or_bear,2015-07-10 12:00:00,9462,2015-07-10 13:00:00,130.75,131.30452509129088,130.30637992696728,0.5545250912908841,1.2542968406861275,9464,2015-07-10 15:00:00,130.30637992696728,TP,2,0.7639331018305912,IS_2014_2024,2015
10139,2015-08-19 18:00:00,19,0.1983238817255218,79.69127056285458,1.7259662427615556,1.1597191321532694,0.08260869565220132,2.3796962900846896,0.6542876513264589,-0.09633147133776399,stretch_reversal,short,20,2.788368174264275,4.875862612140261,2.3796962900846896,0.6782608695652733,0.7608695652174746,False,False,True,H4中立,128.352,999.0,lower_high_or_bear,2015-08-19 19:00:00,10141,2015-08-19 20:00:00,128.307,128.40158097043138,128.23133522365487,0.09458097043139446,0.4769015693344161,10141,2015-08-19 20:00:00,128.23133522365487,TP,0,0.5885409727902572,IS_2014_2024,2015
10145,2015-08-20 00:00:00,1,0.1949215492465557,75.2830772029141,1.2794821402834746,1.1132683935603769,0.23502304147458375,1.9671805706925554,1.1991315880890685,0.11668183654359338,stretch_reversal,short,20,1.7186401467406123,3.657881864555274,1.9671805706925554,0.7142857142856769,0.7142857142856769,False,True,True,H4逆,128.512,999.0,lower_high_or_bear,2015-08-20 01:00:00,10147,2015-08-20 02:00:00,128.307,128.56073038731165,128.10401569015065,0.25373038731166275,1.301705164423457,10151,2015-08-20 06:00:00,128.56073038731165,SL,4,-1.0788238263926007,IS_2014_2024,2015
11939,2015-12-02 19:00:00,20,0.21979173866301693,78.99028598684323,2.3420345012387664,1.2238858550203293,0.096654275092926,3.338057567332032,0.5780108209353685,-0.3718738390984527,stretch_reversal,short,20,4.595259158254876,5.045685550994731,3.338057567332032,0.7026022304832681,0.799256505576194,False,False,True,H4中立,121.085,999.0,lower_high_or_bear,2015-12-02 20:00:00,11941,2015-12-02 21:00:00,120.881,121.13994793466574,120.67384165226741,0.2589479346657413,1.1781513547365778,11952,2015-12-03 08:00:00,120.67384165226741,TP,11,0.7227643965346447,IS_2014_2024,2015
14943,2016-05-30 08:00:00,9,0.18364712862773674,78.37624087842988,1.5016454228427978,1.094490295067079,0.16417910447755285,2.866078992571684,0.6106393511449871,-0.05527629872328115,stretch_reversal,short,20,3.076552321954813,7.242149713628164,2.866078992571684,0.7860696517413256,0.9502487562188784,False,False,True,H4中立,112.127,999.0,lower_high_or_bear,2016-05-30 09:00:00,14945,2016-05-30 10:00:00,111.899,112.17291178215693,111.67987057427446,0.27391178215692946,1.4915113794790897,14957,2016-05-30 22:00:00,111.837,TIME,12,0.15333403940953788,IS_2014_2024,2016
19097,2017-01-26 12:00:00,13,0.20883666115905591,79.0443498029301,2.11053269608841,0.9098019425587749,0.21578947368419635,3.373710067607358,0.33865038044169543,0.031721873037058174,stretch_reversal,short,20,5.142775191095443,6.263268109825711,3.373710067607358,0.6684210526315624,0.6684210526315624,False,True,True,H4逆,114.681,999.0,lower_high_or_bear,2017-01-26 13:00:00,19099,2017-01-26 14:00:00,114.363,114.73320916528976,114.06683266776818,0.370209165289765,1.7727211459668148,19110,2017-01-27 01:00:00,114.73320916528976,SL,11,-1.0540235139353076,IS_2014_2024,2017
22726,2017-08-25 16:00:00,17,0.1532780817179475,77.58176978586721,2.3069299857471046,1.004709859844001,0.2922077922078102,2.714370021865883,1.2032948924339537,-0.05915096747641517,stretch_reversal,short,20,2.8053586995644366,4.403760749316324,2.714370021865883,0.6883116883116691,0.6883116883116691,False,False,True,H4中立,114.252,999.0,lower_high_or_bear,2017-08-25 17:00:00,22728,2017-08-25 18:00:00,114.124,114.29031952042948,113.99094438365641,0.16631952042948228,1.0850835198703284,22729,2017-08-25 19:00:00,114.29031952042948,SL,1,-1.120250466982858,IS_2014_2024,2017
22768,2017-08-29 10:00:00,11,0.19714550125554992,74.33382383358277,2.4781031948871792,0.9688275856339156,0.2251308900523864,2.549600214305096,1.3934167080993076,0.3077590172273544,stretch_reversal,short,20,4.205016065395356,4.666604077398913,2.549600214305096,0.6649214659685533,0.6649214659685533,False,True,True,H4逆,115.063,999.0,lower_high_or_bear,2017-08-29 11:00:00,22770,2017-08-29 12:00:00,114.834,115.11228637531389,114.61137089974889,0.2782863753138827,1.4115786236133985,22782,2017-08-30 00:00:00,114.939,TIME,12,-0.44917757780635487,IS_2014_2024,2017
27175,2018-05-15 16:00:00,17,0.14316058732738815,74.81358713622382,2.140764528939151,1.4179880356020786,0.1921182266009897,2.392299283104301,1.3115171470175269,-0.007979756236022754,stretch_reversal,short,20,4.086320201119188,5.071228147030014,2.392299283104301,0.7980295566501949,0.9901477832511846,False,False,True,H4中立,110.422,999.0,lower_high_or_bear,2018-05-15 17:00:00,27177,2018-05-15 18:00:00,110.192,110.45779014683184,109.97936788253452,0.2657901468318471,1.856587429499869,27189,2018-05-16 06:00:00,110.314,TIME,12,-0.5342560726671588,IS_2014_2024,2018
27839,2018-06-22 08:00:00,9,0.15451042123272926,69.41192691658557,2.51949877246178,0.9319759719191197,0.05555555555552266,1.9030452396803539,0.34085872744971624,0.00011994118827081334,stretch_reversal,short,20,2.5176295352537026,3.650239223349794,1.9030452396803539,0.6944444444444774,0.6944444444444774,False,True,True,H4逆,111.4,999.0,lower_high_or_bear,2018-06-22 09:00:00,27841,2018-06-22 10:00:00,111.302,111.43862760530818,111.19269791575347,0.13662760530817764,0.884261425333791,27841,2018-06-22 10:00:00,111.19269791575347,TP,0,0.6536166980684185,IS_2014_2024,2018
32824,2019-04-12 11:00:00,12,0.10798601320031043,80.96679032009514,1.8619817023690788,0.9353063142783824,0.09900990099015056,3.540750823628288,0.947852521148103,0.21155775984022268,stretch_reversal,short,20,4.574666527262623,5.935953935172807,3.540750823628288,0.8217821782178134,0.920792079207964,False,True,True,H4逆,111.967,999.0,lower_high_or_bear,2019-04-12 12:00:00,32826,2019-04-12 13:00:00,111.962,111.99399650330008,111.93640279735995,0.031996503300078416,0.29630229278606646,32826,2019-04-12 13:00:00,111.93640279735995,TP,0,0.17493169761562974,IS_2014_2024,2019
34370,2019-07-12 09:00:00,10,0.11013359312696003,65.94142048005747,2.249295821669184,0.8989082911866711,0.2626262626262148,1.860003871957704,0.22215300450826295,0.08005118787844315,stretch_reversal,short,20,3.3958757667050303,3.2324378955801807,1.860003871957704,0.7272727272727273,0.7272727272727273,False,True,True,H4逆,109.905,999.0,lower_high_or_bear,2019-07-12 10:00:00,34372,2019-07-12 11:00:00,109.817,109.93253339828173,109.7245732813746,0.11553339828174103,1.049029592165909,34374,2019-07-12 13:00:00,109.7245732813746,TP,2,0.6268898838131564,IS_2014_2024,2019
38663,2020-03-23 16:00:00,17,0.38798655523632336,70.39883076851585,2.2677038267201506,0.8943608878112692,0.002881844380376313,2.290208061806744,0.21329823210171428,0.03637945784638541,stretch_reversal,short,20,3.997561201715535,3.8970422546704593,2.290208061806744,0.7031700288184549,0.7060518731988312,False,True,True,H4逆,113.564,999.0,lower_high_or_bear,2020-03-23 17:00:00,38665,2020-03-23 18:00:00,113.182,113.66099663880907,112.79880268895275,0.47899663880906473,1.2345701992619484,38668,2020-03-23 21:00:00,112.79880268895275,TP,3,0.7582460535636876,IS_2014_2024,2020
38921,2020-04-07 10:00:00,11,0.1940298302629353,73.0444078272564,2.1767110553768614,1.0410770329812806,0.11881188118812439,2.214266284163495,0.3799949738524863,-0.28471278911037506,stretch_reversal,short,20,4.123077358341801,3.659231155528338,2.214266284163495,0.797029702970311,0.797029702970311,True,False,True,H4順,112.242,999.0,lower_high_or_bear,2020-04-07 11:00:00,38923,2020-04-07 12:00:00,112.052,112.29050745756574,111.86119403394743,0.23850745756573133,1.229230872606151,38923,2020-04-07 12:00:00,112.29050745756574,SL,0,-1.0838548203235883,IS_2014_2024,2020
41988,2020-10-04 23:00:00,0,0.20441405633251136,64.32001209544259,2.2329476688263528,1.6583986741526338,0.04424778761062132,1.7660770421474001,-0.0982714769436517,-0.24982681349912703,stretch_reversal,short,20,3.854920811894617,4.740378511073447,1.7660770421474001,0.8466076696164988,0.8908554572271201,False,False,True,H4中立,115.231,999.0,lower_high_or_bear,2020-10-05 00:00:00,41990,2020-10-05 01:00:00,114.985,115.28210351408312,114.7473171887335,0.2971035140831191,1.4534397458452362,41998,2020-10-05 09:00:00,115.28210351408312,SL,8,-1.0673166053310799,IS_2014_2024,2020
44654,2021-03-11 12:00:00,13,0.14590754494073058,75.69877035808688,1.7614019458174444,1.1651213792203672,0.24705882352941866,2.443488985104961,0.42666960916958374,-0.07187015873099688,stretch_reversal,short,20,3.2075106204419437,5.736509378867302,2.443488985104961,0.6705882352941364,0.6705882352941364,False,False,True,H4中立,117.406,999.0,lower_high_or_bear,2021-03-11 13:00:00,44656,2021-03-11 14:00:00,117.281,117.44247688623518,117.15181849101187,0.16147688623517809,1.1067068964855242,44657,2021-03-11 15:00:00,117.15181849101187,TP,1,0.6761432644243295,IS_2014_2024,2021
