label,symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r,confirm_mode,rr,stop_buffer_atr
lower_high_or_bear rr1.0 stop0.25,CHFJPY,23,60.86956521739131,2.5163397672505643,0.10940607683698106,1.2946555145307426,3.1604330218400754,-2.62345155872452,-2.4701175193149827,3,0.7244196808981628,lower_high_or_bear,1.0,0.25
lower_high_or_bear rr1.0 stop0.15,CHFJPY,23,60.86956521739131,1.8694509103796857,0.08128047436433417,1.2160058257660131,3.243235154687896,-2.673135466364605,-2.508782182580151,3,0.6940157580785774,lower_high_or_bear,1.0,0.15
lower_high_or_bear rr0.8 stop0.25,CHFJPY,23,60.86956521739131,-0.08366023274970158,-0.003637401423900069,0.9902036484709061,3.3604330218400973,-2.62345155872452,-2.504090933323261,3,0.32441968089814033,lower_high_or_bear,0.8,0.25
lower_high_or_bear rr0.8 stop0.15,CHFJPY,23,56.52173913043478,-0.7305490896200119,-0.03176300389652226,0.916965332905538,3.752129140413497,-2.673135466364605,-2.6028543876548733,3,0.2940157580785463,lower_high_or_bear,0.8,0.15
lower_high_and_bear rr1.0 stop0.25,CHFJPY,13,46.15384615384615,-1.7234748889186053,-0.13257499145527735,0.7314733593876294,4.083197418374742,-2.62345155872452,-3.1577076313916796,2,-0.1766672956654749,lower_high_and_bear,1.0,0.25
close_down rr1.0 stop0.25,CHFJPY,13,46.15384615384615,-1.7234748889186053,-0.13257499145527735,0.7314733593876294,4.083197418374742,-2.62345155872452,-3.1577076313916796,2,-0.1766672956654749,close_down,1.0,0.25
lower_high_close_down rr1.0 stop0.25,CHFJPY,13,46.15384615384615,-1.7234748889186053,-0.13257499145527735,0.7314733593876294,4.083197418374742,-2.62345155872452,-3.1577076313916796,2,-0.1766672956654749,lower_high_close_down,1.0,0.25
lower_high_and_bear rr1.0 stop0.15,CHFJPY,13,46.15384615384615,-1.8644686025139445,-0.1434206617318419,0.7141617948718836,4.158835844278634,-2.673135466364605,-3.2378059700868116,2,-0.1964064323411575,lower_high_and_bear,1.0,0.15
close_down rr1.0 stop0.15,CHFJPY,13,46.15384615384615,-1.8644686025139445,-0.1434206617318419,0.7141617948718836,4.158835844278634,-2.673135466364605,-3.2378059700868116,2,-0.1964064323411575,close_down,1.0,0.15
lower_high_close_down rr1.0 stop0.15,CHFJPY,13,46.15384615384615,-1.8644686025139445,-0.1434206617318419,0.7141617948718836,4.158835844278634,-2.673135466364605,-3.2378059700868116,2,-0.1964064323411575,lower_high_close_down,1.0,0.15
lower_high_and_bear rr0.8 stop0.25,CHFJPY,13,46.15384615384615,-2.7234748889186755,-0.20949806837835966,0.5756679906300511,4.083197418374742,-2.62345155872452,-3.1577076313916796,2,-0.3766672956654973,lower_high_and_bear,0.8,0.25
close_down rr0.8 stop0.25,CHFJPY,13,46.15384615384615,-2.7234748889186755,-0.20949806837835966,0.5756679906300511,4.083197418374742,-2.62345155872452,-3.1577076313916796,2,-0.3766672956654973,close_down,0.8,0.25
lower_high_close_down rr0.8 stop0.25,CHFJPY,13,46.15384615384615,-2.7234748889186755,-0.20949806837835966,0.5756679906300511,4.083197418374742,-2.62345155872452,-3.1577076313916796,2,-0.3766672956654973,lower_high_close_down,0.8,0.25
lower_high_and_bear rr0.8 stop0.15,CHFJPY,13,46.15384615384615,-2.8644686025139596,-0.22034373865491996,0.5608536593834594,4.158835844278634,-2.673135466364605,-3.2378059700868116,2,-0.39640643234115747,lower_high_and_bear,0.8,0.15
close_down rr0.8 stop0.15,CHFJPY,13,46.15384615384615,-2.8644686025139596,-0.22034373865491996,0.5608536593834594,4.158835844278634,-2.673135466364605,-3.2378059700868116,2,-0.39640643234115747,close_down,0.8,0.15
lower_high_close_down rr0.8 stop0.15,CHFJPY,13,46.15384615384615,-2.8644686025139596,-0.22034373865491996,0.5608536593834594,4.158835844278634,-2.673135466364605,-3.2378059700868116,2,-0.39640643234115747,lower_high_close_down,0.8,0.15
