label,symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r,hour_set
exclude_bad_hours,CHFJPY,22,86.36363636363636,10.020507371012757,0.45547760777330715,4.075142840928299,1.5348658556763837,-1.0538595180955226,-1.534865855676384,3,2.15279928986699,exclude_bad_hours
tokyo_london_core,CHFJPY,20,85.0,8.58043919945647,0.42902195997282344,3.633207601099974,1.534865855676384,-1.0538595180955226,-1.534865855676384,3,2.15279928986699,tokyo_london_core
exclude_0_only,CHFJPY,30,73.33333333333333,7.216259685843516,0.2405419895281172,1.8910188394090541,1.8612320082077685,-1.3802256706269072,-1.188968910910083,4,1.0258972410681104,exclude_0_only
no_very_late,CHFJPY,27,74.07407407407408,6.900629891617228,0.25557888487471214,1.9858391469377412,1.8612320082077685,-1.3802256706269072,-1.188968910910083,4,1.0258972410681104,no_very_late
none,CHFJPY,31,70.96774193548387,6.156318807051716,0.19859092925973276,1.6721733174683313,2.1651461878644236,-1.430892843328746,-1.307637351549078,4,1.0258972410681104,none
