label,symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r
Combined equal-risk trades,PORTFOLIO,99,67.67676767676768,48.68647752625543,0.4917826012753074,2.4892632974932463,4.311163171840427,1.0444504698077688,1.0444504698077688,10,9.908253240364129
USDJPY only,USDJPY,69,65.21739130434783,41.47021784041192,0.6010176498610423,2.686277060522746,3.128434542842495,-0.2380125069017367,1.479742613271487,6,8.88235599929602
CHFJPY stretch short ex0,CHFJPY,30,73.33333333333333,7.216259685843516,0.2405419895281172,1.8910188394090541,1.8612320082077685,-1.3802256706269072,-1.188968910910083,4,1.0258972410681104
