label,symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r,variant
short_neutral,AUDJPY,36,52.77777777777778,-6.259282744948693,-0.1738689651374637,0.6711766146693953,8.90415408465344,-3.8595276929503233,-5.510994064597838,2,-0.41026905922183166,short_neutral
short_neutral_ex0,AUDJPY,35,51.42857142857142,-7.0012836030996,-0.2000366743742743,0.6321965519310095,9.64615494280435,-3.8595276929503233,-5.510994064597838,2,-0.41026905922183166,short_neutral_ex0
both_neutral_1R,AUDJPY,88,40.909090909090914,-22.8168490774329,-0.2592823758799193,0.5743164567595701,25.900669173014023,-6.293239275019854,-8.180875411276713,8,0.3733514782529834,both_neutral_1R
long_any,AUDJPY,153,41.830065359477125,-40.50355091518466,-0.26472909094891933,0.5577808674272983,43.577273359934246,-6.588490171711735,-12.360573402343059,12,-2.8002847297409135,long_any
long_any,CHFJPY,120,60.0,15.481706482532111,0.1290142206877676,1.324227958542995,5.616225006300937,-1.98737162139859,-3.73867065565911,12,0.04436698214078283,long_any
both_neutral_1R,CHFJPY,75,61.33333333333333,10.579874921902354,0.14106499895869806,1.35373059810344,5.328075998148384,-2.593127838440454,-2.198598613468996,7,0.5161315121833512,both_neutral_1R
short_neutral_ex0,CHFJPY,30,73.33333333333333,7.216259685843516,0.2405419895281172,1.8910188394090541,1.8612320082077685,-1.3802256706269072,-1.188968910910083,4,1.0258972410681104,short_neutral_ex0
short_neutral,CHFJPY,31,70.96774193548387,6.156318807051716,0.19859092925973276,1.6721733174683313,2.1651461878644236,-1.430892843328746,-1.307637351549078,4,1.0258972410681104,short_neutral
short_neutral,GBPJPY,40,47.5,-9.852167690440773,-0.24630419226101932,0.5655941257120329,9.914924409476468,-2.7087708397282233,-5.375587015786763,3,-1.4018309527386386,short_neutral
short_neutral_ex0,GBPJPY,40,47.5,-9.852233831458333,-0.24630584578645834,0.5655924762649395,9.91499055049403,-2.7087708397282233,-5.375587015786763,3,-1.4018309527386386,short_neutral_ex0
both_neutral_1R,GBPJPY,99,42.42424242424242,-23.420434301265814,-0.23657004344712942,0.6116205917530579,23.700414125924297,-4.896735994107001,-8.494820806166324,11,-1.9255549810997359,both_neutral_1R
long_any,GBPJPY,157,45.85987261146497,-26.394443514667458,-0.1681174746157163,0.6906665507334914,28.52039105549281,-7.95913691655014,-15.820896248961104,18,1.1711260604136364,long_any
